"","GO.IDs","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","Cat","GO.Slim.Term","gene","uniprot","uniprot_taxa.id","uniprot.name"
"25","GO:0035293",0.043029167227485,0.999527983547661,1,2,"chitin-based larval cuticle pattern formation","BP","P","developmental processes","PGEN_.00g162010","Q961D9","BCL9_DROME","Protein BCL9 homolog (Protein legless)"
"26","GO:0045061",0.046973757699782,1,1,1,"thymic T cell selection","BP","P","developmental processes","PGEN_.00g045860","Q8CIS0","CAR11_MOUSE","Caspase recruitment domain-containing protein 11"
"27","GO:0007276",0.000205630200486647,0.999998023400829,3,4,"gamete generation","BP","P","other biological processes","PGEN_.00g043230; PGEN_.00g211360; PGEN_.00g008080","Q9D4I2; Q9BXW9; Q9NQI0","MEII1_MOUSE; FACD2_HUMAN; DDX4_HUMAN","Meiosis inhibitor protein 1 (Meiosis defective protein 1); Fanconi anemia group D2 protein (Protein FACD2); Probable ATP-dependent RNA helicase DDX4 (EC 3.6.4.13) (DEAD box protein 4) (Vasa homolog)"
"28","GO:0032467",0.00238585463045055,0.999779216230722,4,19,"positive regulation of cytokinesis","BP","P","other biological processes","PGEN_.00g345650; PGEN_.00g173820; PGEN_.00g243530; PGEN_.00g145470","Q02241; Q02241; E9Q5G3; O14578","KIF23_HUMAN; KIF23_HUMAN; KIF23_MOUSE; CTRO_HUMAN","Kinesin-like protein KIF23 (Kinesin-like protein 5) (Mitotic kinesin-like protein 1); Kinesin-like protein KIF23 (Kinesin-like protein 5) (Mitotic kinesin-like protein 1); Kinesin-like protein KIF23; Citron Rho-interacting kinase (CRIK) (EC 2.7.11.1) (Serine/threonine-protein kinase 21)"
"29","GO:0042752",0.00489177295302186,0.999216952842412,5,37,"regulation of circadian rhythm","BP","P","other biological processes","PGEN_.00g072260; PGEN_.00g000380; PGEN_.00g239060; PGEN_.00g004840; PGEN_.00g050780","Q5XXP2; Q8QG60; Q93008; P54646; Q60674","OPN4_PHOSU; CRY2_CHICK; USP9X_HUMAN; AAPK2_HUMAN; NR1D2_MOUSE","Melanopsin (Opsin-4); Cryptochrome-2; Probable ubiquitin carboxyl-terminal hydrolase FAF-X (EC 3.4.19.12) (Deubiquitinating enzyme FAF-X) (Fat facets in mammals) (hFAM) (Fat facets protein-related, X-linked) (Ubiquitin thioesterase FAF-X) (Ubiquitin-specific protease 9, X chromosome) (Ubiquitin-specific-processing protease FAF-X); 5'-AMP-activated protein kinase catalytic subunit alpha-2 (AMPK subunit alpha-2) (EC 2.7.11.1) (Acetyl-CoA carboxylase kinase) (ACACA kinase) (EC 2.7.11.27) (Hydroxymethylglutaryl-CoA reductase kinase) (HMGCR kinase) (EC 2.7.11.31); Nuclear receptor subfamily 1 group D member 2 (Orphan nuclear receptor RVR) (Rev-erb-beta)"
"30","GO:0001878",0.0182980887243905,0.999045293015896,2,7,"response to yeast","BP","P","other biological processes","PGEN_.00g328720; PGEN_.00g333830","P11247; B0S6T2","PERM_MOUSE; S15A2_DANRE","Myeloperoxidase (MPO) (EC 1.11.2.2) [Cleaved into: Myeloperoxidase light chain; Myeloperoxidase heavy chain]; Solute carrier family 15 member 2 (Peptide transporter 2) (PEPT2)"
"31","GO:0045446",0.0217475581909406,1,1,1,"endothelial cell differentiation","BP","P","other biological processes","PGEN_.00g165230","Q8IWY4","SCUB1_HUMAN","Signal peptide, CUB and EGF-like domain-containing protein 1"
"32","GO:0060026",0.0254023206802017,0.998316112925849,2,9,"convergent extension","BP","P","other biological processes","PGEN_.00g010610; PGEN_.00g215970","O75581; Q6TEN1","LRP6_HUMAN; RAP1B_DANRE","Low-density lipoprotein receptor-related protein 6 (LRP-6); Ras-related protein Rap-1b"
"33","GO:0030336",0.0284385515611242,0.992763548687707,5,56,"negative regulation of cell migration","BP","P","other biological processes","PGEN_.00g101900; PGEN_.00g013900; PGEN_.00g240170; PGEN_.00g093280; PGEN_.00g064850","P35822; Q80TN7; Q99M80; Q15262; E9Q7E2","PTPRK_MOUSE; NAV3_MOUSE; PTPRT_MOUSE; PTPRK_HUMAN; ARID2_MOUSE","Receptor-type tyrosine-protein phosphatase kappa (Protein-tyrosine phosphatase kappa) (R-PTP-kappa) (EC 3.1.3.48); Neuron navigator 3 (Pore membrane and/or filament-interacting-like protein 1); Receptor-type tyrosine-protein phosphatase T (R-PTP-T) (EC 3.1.3.48) (RPTPmam4) (Receptor-type tyrosine-protein phosphatase rho) (RPTP-rho) (mRPTPrho); Receptor-type tyrosine-protein phosphatase kappa (Protein-tyrosine phosphatase kappa) (R-PTP-kappa) (EC 3.1.3.48); AT-rich interactive domain-containing protein 2 (ARID domain-containing protein 2) (BRG1-associated factor 200) (BAF200) (Zinc finger protein with activation potential) (Zipzap/p200)"
"34","GO:0001770",0.0333050575140616,1,1,1,"establishment of natural killer cell polarity","BP","P","other biological processes","PGEN_.00g192760","Q96L92","SNX27_HUMAN","Sorting nexin-27"
"35","GO:0032465",0.0370703418599095,0.994081165492231,3,23,"regulation of cytokinesis","BP","P","other biological processes","PGEN_.00g102230; PGEN_.00g015010; PGEN_.00g017170","Q9R1K9; Q80TF4; E1BLZ4","CETN2_MOUSE; KLH13_MOUSE; ZFY26_BOVIN","Centrin-2 (Caltractin isoform 1); Kelch-like protein 13 (BTB and kelch domain-containing protein 2); Zinc finger FYVE domain-containing protein 26"
"36","GO:0061138",0.0430448677165936,0.99952763518468,1,2,"morphogenesis of a branching epithelium","BP","P","other biological processes","PGEN_.00g024520","Q9P203","BTBD7_HUMAN","BTB/POZ domain-containing protein 7"
"37","GO:0044089",0.0447424441483735,1,1,1,"positive regulation of cellular component biogenesis","BP","P","other biological processes","PGEN_.00g256810","O55203","LDB2_MOUSE","LIM domain-binding protein 2 (LDB-2) (Carboxyl-terminal LIM domain-binding protein 1) (CLIM-1) (LIM domain-binding factor CLIM1)"
"38","GO:0046649",0.046973757699782,1,1,1,"lymphocyte activation","BP","P","other biological processes","PGEN_.00g045860","Q8CIS0","CAR11_MOUSE","Caspase recruitment domain-containing protein 11"
"39","GO:0060152",0.0499264670261188,0.999362252742408,1,2,"microtubule-based peroxisome localization","BP","P","other biological processes","PGEN_.00g238170","O43933","PEX1_HUMAN","Peroxisome biogenesis factor 1 (Peroxin-1) (Peroxisome biogenesis disorder protein 1)"
"40","GO:0019530",0.00188710361279867,0.999983871884387,2,3,"taurine metabolic process","BP","P","other metabolic processes","PGEN_.00g273600; PGEN_.00g086390","O08651; Q91X34","SERA_RAT; BAAT_MOUSE","D-3-phosphoglycerate dehydrogenase (3-PGDH) (EC 1.1.1.95); Bile acid-CoA:amino acid N-acyltransferase (BACAT) (BAT) (EC 2.3.1.65) (Bile acid-CoA thioesterase) (Choloyl-CoA hydrolase) (EC 3.1.2.27) (Glycine N-choloyltransferase) (Long-chain fatty-acyl-CoA hydrolase) (EC 3.1.2.2)"
"41","GO:0006544",0.00378501136413073,0.999934778041321,2,4,"glycine metabolic process","BP","P","other metabolic processes","PGEN_.00g273600; PGEN_.00g086390","O08651; Q91X34","SERA_RAT; BAAT_MOUSE","D-3-phosphoglycerate dehydrogenase (3-PGDH) (EC 1.1.1.95); Bile acid-CoA:amino acid N-acyltransferase (BACAT) (BAT) (EC 2.3.1.65) (Bile acid-CoA thioesterase) (Choloyl-CoA hydrolase) (EC 3.1.2.27) (Glycine N-choloyltransferase) (Long-chain fatty-acyl-CoA hydrolase) (EC 3.1.2.2)"
"42","GO:0006520",0.0170389544181816,0.998008414766668,3,20,"cellular amino acid metabolic process","BP","P","other metabolic processes","PGEN_.00g340030; PGEN_.00g060400; PGEN_.00g273600","Q05733; Q93099; O08651","DCHS_DROME; HGD_HUMAN; SERA_RAT","Histidine decarboxylase (HDC) (EC 4.1.1.22); Homogentisate 1,2-dioxygenase (EC 1.13.11.5) (Homogentisate oxygenase) (Homogentisic acid oxidase) (Homogentisicase); D-3-phosphoglycerate dehydrogenase (3-PGDH) (EC 1.1.1.95)"
"43","GO:0006631",0.0177393459957945,0.996848215421683,4,40,"fatty acid metabolic process","BP","P","other metabolic processes","PGEN_.00g294230; PGEN_.00g001480; PGEN_.00g086370; PGEN_.00g086390","Q704S8; Q3MHR0; A2AKK5; Q91X34","CACP_RAT; LYPA1_BOVIN; ACNT1_MOUSE; BAAT_MOUSE","Carnitine O-acetyltransferase (Carnitine acetylase) (EC 2.3.1.7) (Carnitine acetyltransferase) (CAT) (CrAT); Acyl-protein thioesterase 1 (APT-1) (EC 3.1.2.-) (Lysophospholipase 1) (Lysophospholipase I) (LPL-I) (LysoPLA I); Acyl-coenzyme A amino acid N-acyltransferase 1 (EC 2.3.1.-); Bile acid-CoA:amino acid N-acyltransferase (BACAT) (BAT) (EC 2.3.1.65) (Bile acid-CoA thioesterase) (Choloyl-CoA hydrolase) (EC 3.1.2.27) (Glycine N-choloyltransferase) (Long-chain fatty-acyl-CoA hydrolase) (EC 3.1.2.2)"
"44","GO:0042774",0.0217475581909659,1,1,1,"plasma membrane ATP synthesis coupled electron transport","BP","P","other metabolic processes","PGEN_.00g027930","Q2M2S5","COA6_BOVIN","Cytochrome c oxidase assembly factor 6 homolog"
"45","GO:0009710",0.0217478325922256,1,1,1,"tropane alkaloid biosynthetic process","BP","P","other metabolic processes","PGEN_.00g279140","P50164","TRN2_HYONI","Tropinone reductase 2 (EC 1.1.1.236) (Tropinone reductase II) (TR-II)"
"46","GO:0010028",0.0217488167458994,1,1,1,"xanthophyll cycle","BP","P","other metabolic processes","PGEN_.00g010060","Q8GX78","ANTR2_ARATH","Ascorbate transporter, chloroplastic (Phosphate transporter PHT4;4) (AtPHT4;4) (Probable anion transporter 2)"
"47","GO:0009236",0.0223165360767044,1,1,1,"cobalamin biosynthetic process","BP","P","other metabolic processes","PGEN_.00g095520","Q8C7H1","MMAA_MOUSE","Methylmalonic aciduria type A homolog, mitochondrial (EC 3.6.-.-)"
"48","GO:0034638",0.0229302891441321,1,1,1,"phosphatidylcholine catabolic process","BP","P","other metabolic processes","PGEN_.00g169510","Q8NCC3","PAG15_HUMAN","Group XV phospholipase A2 (EC 2.3.1.-) (1-O-acylceramide synthase) (ACS) (LCAT-like lysophospholipase) (LLPL) (Lysophospholipase 3) (Lysosomal phospholipase A2) (LPLA2)"
"49","GO:0046338",0.0229302891441321,1,1,1,"phosphatidylethanolamine catabolic process","BP","P","other metabolic processes","PGEN_.00g169510","Q8NCC3","PAG15_HUMAN","Group XV phospholipase A2 (EC 2.3.1.-) (1-O-acylceramide synthase) (ACS) (LCAT-like lysophospholipase) (LLPL) (Lysophospholipase 3) (Lysosomal phospholipase A2) (LPLA2)"
"50","GO:0006637",0.0236351654871092,0.99843530922687,2,11,"acyl-CoA metabolic process","BP","P","other metabolic processes","PGEN_.00g086370; PGEN_.00g086390","A2AKK5; Q91X34","ACNT1_MOUSE; BAAT_MOUSE","Acyl-coenzyme A amino acid N-acyltransferase 1 (EC 2.3.1.-); Bile acid-CoA:amino acid N-acyltransferase (BACAT) (BAT) (EC 2.3.1.65) (Bile acid-CoA thioesterase) (Choloyl-CoA hydrolase) (EC 3.1.2.27) (Glycine N-choloyltransferase) (Long-chain fatty-acyl-CoA hydrolase) (EC 3.1.2.2)"
"51","GO:0070221",0.026014038975223,1,1,1,"sulfide oxidation, using sulfide:quinone oxidoreductase","BP","P","other metabolic processes","PGEN_.00g150990","Q9Y6N5","SQOR_HUMAN","Sulfide:quinone oxidoreductase, mitochondrial (SQOR) (EC 1.8.5.-) (Sulfide dehydrogenase-like) (Sulfide quinone oxidoreductase)"
"52","GO:0006572",0.0313564968820571,1,1,1,"tyrosine catabolic process","BP","P","other metabolic processes","PGEN_.00g060400","Q93099","HGD_HUMAN","Homogentisate 1,2-dioxygenase (EC 1.13.11.5) (Homogentisate oxygenase) (Homogentisic acid oxidase) (Homogentisicase)"
"53","GO:0006566",0.0320517162388706,1,1,1,"threonine metabolic process","BP","P","other metabolic processes","PGEN_.00g273600","O08651","SERA_RAT","D-3-phosphoglycerate dehydrogenase (3-PGDH) (EC 1.1.1.95)"
"54","GO:0009070",0.0320517162388706,1,1,1,"serine family amino acid biosynthetic process","BP","P","other metabolic processes","PGEN_.00g273600","O08651","SERA_RAT","D-3-phosphoglycerate dehydrogenase (3-PGDH) (EC 1.1.1.95)"
"55","GO:0009448",0.0320517162388706,1,1,1,"gamma-aminobutyric acid metabolic process","BP","P","other metabolic processes","PGEN_.00g273600","O08651","SERA_RAT","D-3-phosphoglycerate dehydrogenase (3-PGDH) (EC 1.1.1.95)"
"56","GO:0002152",0.0434005130093928,0.999519708917374,1,2,"bile acid conjugation","BP","P","other metabolic processes","PGEN_.00g086390","Q91X34","BAAT_MOUSE","Bile acid-CoA:amino acid N-acyltransferase (BACAT) (BAT) (EC 2.3.1.65) (Bile acid-CoA thioesterase) (Choloyl-CoA hydrolase) (EC 3.1.2.27) (Glycine N-choloyltransferase) (Long-chain fatty-acyl-CoA hydrolase) (EC 3.1.2.2)"
"57","GO:1901307",0.0439806135313329,1,1,1,"positive regulation of spermidine biosynthetic process","BP","P","other metabolic processes","PGEN_.00g243110","Q6QHF9","PAOX_HUMAN","Peroxisomal N(1)-acetyl-spermine/spermidine oxidase (EC 1.5.3.13) (Polyamine oxidase)"
"58","GO:0070813",0.047457372195466,0.999424511782351,1,2,"hydrogen sulfide metabolic process","BP","P","other metabolic processes","PGEN_.00g150990","Q9Y6N5","SQOR_HUMAN","Sulfide:quinone oxidoreductase, mitochondrial (SQOR) (EC 1.8.5.-) (Sulfide dehydrogenase-like) (Sulfide quinone oxidoreductase)"
"59","GO:0042304",0.0487487259303386,1,1,1,"regulation of fatty acid biosynthetic process","BP","P","other metabolic processes","PGEN_.00g004840","P54646","AAPK2_HUMAN","5'-AMP-activated protein kinase catalytic subunit alpha-2 (AMPK subunit alpha-2) (EC 2.7.11.1) (Acetyl-CoA carboxylase kinase) (ACACA kinase) (EC 2.7.11.27) (Hydroxymethylglutaryl-CoA reductase kinase) (HMGCR kinase) (EC 2.7.11.31)"
"60","GO:0009249",0.0217475581905863,1,1,1,"protein lipoylation","BP","P","protein metabolism","PGEN_.00g236910","Q9VN27","LIPT2_DROME","Putative lipoyltransferase 2, mitochondrial (EC 2.3.1.181) (Lipoate-protein ligase B) (Lipoyl/octanoyl transferase) (Octanoyl-[acyl-carrier-protein]-protein N-octanoyltransferase)"
"61","GO:0043968",0.0312345794481878,0.997597632163341,2,11,"histone H2A acetylation","BP","P","protein metabolism","PGEN_.00g273340; PGEN_.00g122490","Q9Y4A5; Q9H2F5","TRRAP_HUMAN; EPC1_HUMAN","Transformation/transcription domain-associated protein (350/400 kDa PCAF-associated factor) (PAF350/400) (STAF40) (Tra1 homolog); Enhancer of polycomb homolog 1"
"62","GO:0050655",0.0430534942315117,0.999527443723357,1,2,"dermatan sulfate proteoglycan metabolic process","BP","P","protein metabolism","PGEN_.00g293980","Q8NCH0","CHSTE_HUMAN","Carbohydrate sulfotransferase 14 (EC 2.8.2.35) (Dermatan 4-sulfotransferase 1) (D4ST-1) (hD4ST1)"
"63","GO:0071901",0.0439727207481449,0.996070717891416,2,9,"negative regulation of protein serine/threonine kinase activity","BP","P","protein metabolism","PGEN_.00g010610; PGEN_.00g285380","O75581; Q5VWQ8","LRP6_HUMAN; DAB2P_HUMAN","Low-density lipoprotein receptor-related protein 6 (LRP-6); Disabled homolog 2-interacting protein (DAB2 interaction protein) (DAB2-interacting protein) (ASK-interacting protein 1) (AIP-1) (DOC-2/DAB-2 interactive protein)"
"64","GO:0033555",0.0275041177543068,0.998147664407902,2,8,"multicellular organismal response to stress","BP","P","stress response","PGEN_.00g029240; PGEN_.00g330550","Q86VZ4; Q5VV43","LRP11_HUMAN; K0319_HUMAN","Low-density lipoprotein receptor-related protein 11 (LRP-11); Dyslexia-associated protein KIAA0319"
"65","GO:0016241",0.0279623680089243,0.998048017462583,2,9,"regulation of macroautophagy","BP","P","stress response","PGEN_.00g052870; PGEN_.00g004840","Q9UPT5; P54646","EXOC7_HUMAN; AAPK2_HUMAN","Exocyst complex component 7 (Exocyst complex component Exo70); 5'-AMP-activated protein kinase catalytic subunit alpha-2 (AMPK subunit alpha-2) (EC 2.7.11.1) (Acetyl-CoA carboxylase kinase) (ACACA kinase) (EC 2.7.11.27) (Hydroxymethylglutaryl-CoA reductase kinase) (HMGCR kinase) (EC 2.7.11.31)"
"66","GO:0010286",0.0406041544563913,1,1,1,"heat acclimation","BP","P","stress response","PGEN_.00g110700","G5EFF5","DAF12_CAEEL","Nuclear hormone receptor family member daf-12 (Abnormal dauer formation protein 12)"
"67","GO:0072383",0.00271177984472408,0.999862096206994,3,9,"plus-end-directed vesicle transport along microtubule","BP","P","transport","PGEN_.00g345650; PGEN_.00g173820; PGEN_.00g243530","Q02241; Q02241; E9Q5G3","KIF23_HUMAN; KIF23_HUMAN; KIF23_MOUSE","Kinesin-like protein KIF23 (Kinesin-like protein 5) (Mitotic kinesin-like protein 1); Kinesin-like protein KIF23 (Kinesin-like protein 5) (Mitotic kinesin-like protein 1); Kinesin-like protein KIF23"
"68","GO:0006890",0.0292325762459154,0.995713753512144,3,25,"retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum","BP","P","transport","PGEN_.00g345650; PGEN_.00g173820; PGEN_.00g192300","Q02241; Q02241; Q5TYW4","KIF23_HUMAN; KIF23_HUMAN; NBAS_DANRE","Kinesin-like protein KIF23 (Kinesin-like protein 5) (Mitotic kinesin-like protein 1); Kinesin-like protein KIF23 (Kinesin-like protein 5) (Mitotic kinesin-like protein 1); Neuroblastoma-amplified sequence (Neuroblastoma-amplified gene protein homolog)"
"69","GO:0010155",0.0466435391006095,1,1,1,"regulation of proton transport","BP","P","transport","PGEN_.00g343660","Q96PH1","NOX5_HUMAN","NADPH oxidase 5 (EC 1.6.3.-)"
"70","GO:1904878",0.0221810720869195,1,1,1,"negative regulation of calcium ion transmembrane transport via high voltage-gated calcium channel","BP",NA,NA,"PGEN_.00g329100","Q80UK0","SESD1_MOUSE","SEC14 domain and spectrin repeat-containing protein 1 (Huntingtin-interacting protein-like protein)"
"71","GO:1905662",0.0227445214522977,1,1,1,"negative regulation of telomerase RNA reverse transcriptase activity","BP",NA,NA,"PGEN_.00g206220","Q9Y6F1","PARP3_HUMAN","Protein mono-ADP-ribosyltransferase PARP3 (EC 2.4.2.-) (ADP-ribosyltransferase diphtheria toxin-like 3) (ARTD3) (DNA ADP-ribosyltransferase PARP3) (EC 2.4.2.-) (IRT1) (NAD(+) ADP-ribosyltransferase 3) (ADPRT-3) (Poly [ADP-ribose] polymerase 3) (PARP-3) (hPARP-3) (Poly[ADP-ribose] synthase 3) (pADPRT-3)"
