"","GO.IDs","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","Cat","GO.Slim.Term","gene","uniprot","uniprot_taxa.id","uniprot.name"
"11","GO:0042475",0.0361482286410583,0.992476970487409,4,20,"odontogenesis of dentin-containing tooth","BP","P","developmental processes","PGEN_.00g149640; PGEN_.00g190430; PGEN_.00g010610; PGEN_.00g125500","Q80YX1; O75096; O75581; Q0VGT2","TENA_MOUSE; LRP4_HUMAN; LRP6_HUMAN; GLI2_MOUSE","Tenascin (TN) (Hexabrachion) (Tenascin-C) (TN-C); Low-density lipoprotein receptor-related protein 4 (LRP-4) (Multiple epidermal growth factor-like domains 7); Low-density lipoprotein receptor-related protein 6 (LRP-6); Zinc finger protein GLI2 (Tax helper protein)"
"12","GO:0060444",0.0450315632443804,0.993015859220251,3,11,"branching involved in mammary gland duct morphogenesis","BP","P","developmental processes","PGEN_.00g299380; PGEN_.00g010610; PGEN_.00g122380","C0HL13; O75581; Q91VN0","LRP2_PIG; LRP6_HUMAN; LRP5_MOUSE","Low-density lipoprotein receptor-related protein 2 (LRP-2) (Glycoprotein 330) (gp330) (Megalin); Low-density lipoprotein receptor-related protein 6 (LRP-6); Low-density lipoprotein receptor-related protein 5 (LRP-5) (Low-density lipoprotein receptor-related protein 7) (LRP-7)"
"13","GO:0048570",0.0498208403369076,0.99573269729298,2,6,"notochord morphogenesis","BP","P","developmental processes","PGEN_.00g204470; PGEN_.00g237190","P41221; O15550","WNT5A_HUMAN; KDM6A_HUMAN","Protein Wnt-5a; Lysine-specific demethylase 6A (EC 1.14.11.-) (Histone demethylase UTX) (Ubiquitously-transcribed TPR protein on the X chromosome) (Ubiquitously-transcribed X chromosome tetratricopeptide repeat protein)"
"14","GO:0048589",0.00481066096964379,0.999334217037354,5,15,"developmental growth","BP","P","other biological processes","PGEN_.00g125500; PGEN_.00g020710; PGEN_.00g165030; PGEN_.00g341580; PGEN_.00g290300","Q0VGT2; Q13686; P04818; Q13485; P69478","GLI2_MOUSE; ALKB1_HUMAN; TYSY_HUMAN; SMAD4_HUMAN; CHSTB_RAT","Zinc finger protein GLI2 (Tax helper protein); Nucleic acid dioxygenase ALKBH1 (EC 1.14.11.-) (Alkylated DNA repair protein alkB homolog 1) (Alpha-ketoglutarate-dependent dioxygenase ABH1) (DNA 6mA demethylase) (DNA N6-methyl adenine demethylase ALKBH1) (EC 1.14.11.51) (DNA lyase ABH1) (EC 4.2.99.18) (DNA oxidative demethylase ALKBH1) (EC 1.14.11.33) (mRNA N(3)-methylcytidine demethylase) (EC 1.14.11.-); Thymidylate synthase (TS) (TSase) (EC 2.1.1.45); Mothers against decapentaplegic homolog 4 (MAD homolog 4) (Mothers against DPP homolog 4) (Deletion target in pancreatic carcinoma 4) (SMAD family member 4) (SMAD 4) (Smad4) (hSMAD4); Carbohydrate sulfotransferase 11 (EC 2.8.2.5) (Chondroitin 4-O-sulfotransferase 1) (Chondroitin 4-sulfotransferase 1) (C4S-1) (C4ST-1) (C4ST1)"
"15","GO:0032467",0.00536565125591062,0.999192865721297,5,19,"positive regulation of cytokinesis","BP","P","other biological processes","PGEN_.00g289090; PGEN_.00g145440; PGEN_.00g173820; PGEN_.00g267550; PGEN_.00g145470","E9Q5G3; P49025; Q02241; E9Q5G3; O14578","KIF23_MOUSE; CTRO_MOUSE; KIF23_HUMAN; KIF23_MOUSE; CTRO_HUMAN","Kinesin-like protein KIF23; Citron Rho-interacting kinase (CRIK) (EC 2.7.11.1) (Rho-interacting, serine/threonine-protein kinase 21); Kinesin-like protein KIF23 (Kinesin-like protein 5) (Mitotic kinesin-like protein 1); Kinesin-like protein KIF23; Citron Rho-interacting kinase (CRIK) (EC 2.7.11.1) (Serine/threonine-protein kinase 21)"
"16","GO:0071300",0.0175111095471253,0.997380238366399,4,12,"cellular response to retinoic acid","BP","P","other biological processes","PGEN_.00g149640; PGEN_.00g208580; PGEN_.00g204470; PGEN_.00g023280","Q80YX1; Q3L254; P41221; Q8R1B8","TENA_MOUSE; WNT7B_CHICK; WNT5A_HUMAN; RORB_MOUSE","Tenascin (TN) (Hexabrachion) (Tenascin-C) (TN-C); Protein Wnt-7b; Protein Wnt-5a; Nuclear receptor ROR-beta (Nuclear receptor RZR-beta) (Nuclear receptor subfamily 1 group F member 2) (Retinoid-related orphan receptor-beta)"
"17","GO:0032480",0.0202076843121363,0.997929040717936,3,8,"negative regulation of type I interferon production","BP","P","other biological processes","PGEN_.00g057390; PGEN_.00g220380; PGEN_.00g256920","Q9ES54; Q9UHD2; O95786","NPL4_RAT; TBK1_HUMAN; DDX58_HUMAN","Nuclear protein localization protein 4 homolog (Protein NPL4); Serine/threonine-protein kinase TBK1 (EC 2.7.11.1) (NF-kappa-B-activating kinase) (T2K) (TANK-binding kinase 1); Antiviral innate immune response receptor RIG-I (DEAD box protein 58) (Probable ATP-dependent RNA helicase DDX58) (EC 3.6.4.13) (RIG-I-like receptor 1) (RLR-1) (Retinoic acid-inducible gene 1 protein) (RIG-1) (Retinoic acid-inducible gene I protein) (RIG-I)"
"18","GO:0032479",0.0276662026750353,0.996980619164727,3,7,"regulation of type I interferon production","BP","P","other biological processes","PGEN_.00g211820; PGEN_.00g137730; PGEN_.00g220380","Q9WUN2; Q9Y2E6; Q9UHD2","TBK1_MOUSE; DTX4_HUMAN; TBK1_HUMAN","Serine/threonine-protein kinase TBK1 (EC 2.7.11.1) (T2K) (TANK-binding kinase 1); E3 ubiquitin-protein ligase DTX4 (EC 2.3.2.27) (Protein deltex-4) (Deltex4) (RING finger protein 155) (RING-type E3 ubiquitin transferase DTX4); Serine/threonine-protein kinase TBK1 (EC 2.7.11.1) (NF-kappa-B-activating kinase) (T2K) (TANK-binding kinase 1)"
"19","GO:0032727",0.0278873138605306,0.996758485853628,3,8,"positive regulation of interferon-alpha production","BP","P","other biological processes","PGEN_.00g211820; PGEN_.00g220380; PGEN_.00g256920","Q9WUN2; Q9UHD2; O95786","TBK1_MOUSE; TBK1_HUMAN; DDX58_HUMAN","Serine/threonine-protein kinase TBK1 (EC 2.7.11.1) (T2K) (TANK-binding kinase 1); Serine/threonine-protein kinase TBK1 (EC 2.7.11.1) (NF-kappa-B-activating kinase) (T2K) (TANK-binding kinase 1); Antiviral innate immune response receptor RIG-I (DEAD box protein 58) (Probable ATP-dependent RNA helicase DDX58) (EC 3.6.4.13) (RIG-I-like receptor 1) (RLR-1) (Retinoic acid-inducible gene 1 protein) (RIG-1) (Retinoic acid-inducible gene I protein) (RIG-I)"
"20","GO:0042752",0.0316182940696407,0.990769124566598,6,37,"regulation of circadian rhythm","BP","P","other biological processes","PGEN_.00g213360; PGEN_.00g302170; PGEN_.00g163510; PGEN_.00g023280; PGEN_.00g004830; PGEN_.00g333150","Q14995; Q63504; A1A4K3; Q8R1B8; Q8BRK8; Q01320","NR1D2_HUMAN; NR1D2_RAT; DDB1_BOVIN; RORB_MOUSE; AAPK2_MOUSE; TOP2A_MOUSE","Nuclear receptor subfamily 1 group D member 2 (Orphan nuclear hormone receptor BD73) (Rev-erb alpha-related receptor) (RVR) (Rev-erb-beta) (V-erbA-related protein 1-related) (EAR-1R); Nuclear receptor subfamily 1 group D member 2 (EAR4) (Rev-erb-beta); DNA damage-binding protein 1 (Damage-specific DNA-binding protein 1); Nuclear receptor ROR-beta (Nuclear receptor RZR-beta) (Nuclear receptor subfamily 1 group F member 2) (Retinoid-related orphan receptor-beta); 5'-AMP-activated protein kinase catalytic subunit alpha-2 (AMPK subunit alpha-2) (EC 2.7.11.1) (Acetyl-CoA carboxylase kinase) (ACACA kinase) (EC 2.7.11.27) (Hydroxymethylglutaryl-CoA reductase kinase) (HMGCR kinase) (EC 2.7.11.31); DNA topoisomerase 2-alpha (EC 5.6.2.2) (DNA topoisomerase II, alpha isozyme)"
"21","GO:0045668",0.0396222179965156,0.991508701712336,4,20,"negative regulation of osteoblast differentiation","BP","P","other biological processes","PGEN_.00g252700; PGEN_.00g122380; PGEN_.00g023280; PGEN_.00g242340","Q9ESQ5; Q91VN0; Q8R1B8; Q01705","TRPM4_RAT; LRP5_MOUSE; RORB_MOUSE; NOTC1_MOUSE","Transient receptor potential cation channel subfamily M member 4 (Calcium-activated non-selective cation channel 1) (Long transient receptor potential channel 4) (LTrpC-4) (LTrpC4) (MLS2s) (Melastatin-like 2); Low-density lipoprotein receptor-related protein 5 (LRP-5) (Low-density lipoprotein receptor-related protein 7) (LRP-7); Nuclear receptor ROR-beta (Nuclear receptor RZR-beta) (Nuclear receptor subfamily 1 group F member 2) (Retinoid-related orphan receptor-beta); Neurogenic locus notch homolog protein 1 (Notch 1) (Motch A) (mT14) (p300) [Cleaved into: Notch 1 extracellular truncation (NEXT); Notch 1 intracellular domain (NICD)]"
"22","GO:0030048",0.0435691702422865,0.993942108979965,3,8,"actin filament-based movement","BP","P","other biological processes","PGEN_.00g020100; PGEN_.00g227520; PGEN_.00g062920","Q9U1M8; Q17LW0; Q29122","MYOI_DICDI; MYO7A_AEDAE; MYO6_PIG","Myosin-I heavy chain (Class VII unconventional myosin) (DdMVII) (DdM7); Myosin-VIIa (Protein crinkled); Unconventional myosin-VI (Unconventional myosin-6)"
"23","GO:0009247",0.00244991525632412,0.999793801687296,4,12,"glycolipid biosynthetic process","BP","P","other metabolic processes","PGEN_.00g129780; PGEN_.00g134400; PGEN_.00g237520; PGEN_.00g135120","P61315; P61315; P61315; P61315","G3ST3_MOUSE; G3ST3_MOUSE; G3ST3_MOUSE; G3ST3_MOUSE","Galactose-3-O-sulfotransferase 3 (Gal3ST-3) (EC 2.8.2.-) (Beta-galactose-3-O-sulfotransferase 3) (Gal-beta-1, 3-GalNAc 3'-sulfotransferase 3); Galactose-3-O-sulfotransferase 3 (Gal3ST-3) (EC 2.8.2.-) (Beta-galactose-3-O-sulfotransferase 3) (Gal-beta-1, 3-GalNAc 3'-sulfotransferase 3); Galactose-3-O-sulfotransferase 3 (Gal3ST-3) (EC 2.8.2.-) (Beta-galactose-3-O-sulfotransferase 3) (Gal-beta-1, 3-GalNAc 3'-sulfotransferase 3); Galactose-3-O-sulfotransferase 3 (Gal3ST-3) (EC 2.8.2.-) (Beta-galactose-3-O-sulfotransferase 3) (Gal-beta-1, 3-GalNAc 3'-sulfotransferase 3)"
"24","GO:0016051",0.0325944554162452,0.995337129592008,3,14,"carbohydrate biosynthetic process","BP","P","other metabolic processes","PGEN_.00g049950; PGEN_.00g293980; PGEN_.00g290300","Q8NET6; Q8NCH0; P69478","CHSTD_HUMAN; CHSTE_HUMAN; CHSTB_RAT","Carbohydrate sulfotransferase 13 (EC 2.8.2.5) (Chondroitin 4-O-sulfotransferase 3) (Chondroitin 4-sulfotransferase 3) (C4ST-3) (C4ST3); Carbohydrate sulfotransferase 14 (EC 2.8.2.35) (Dermatan 4-sulfotransferase 1) (D4ST-1) (hD4ST1); Carbohydrate sulfotransferase 11 (EC 2.8.2.5) (Chondroitin 4-O-sulfotransferase 1) (Chondroitin 4-sulfotransferase 1) (C4S-1) (C4ST-1) (C4ST1)"
"25","GO:0016578",0.0116728538534641,0.998986335420286,3,9,"histone deubiquitination","BP","P","protein metabolism","PGEN_.00g266070; PGEN_.00g044240; PGEN_.00g039890","Q9Y4A5; Q9UPT9; Q80YV3","TRRAP_HUMAN; UBP22_HUMAN; TRRAP_MOUSE","Transformation/transcription domain-associated protein (350/400 kDa PCAF-associated factor) (PAF350/400) (STAF40) (Tra1 homolog); Ubiquitin carboxyl-terminal hydrolase 22 (EC 3.4.19.12) (Deubiquitinating enzyme 22) (Ubiquitin thioesterase 22) (Ubiquitin-specific-processing protease 22); Transformation/transcription domain-associated protein (Tra1 homolog)"
"26","GO:0045732",0.0187812036426023,0.996009250327912,5,23,"positive regulation of protein catabolic process","BP","P","protein metabolism","PGEN_.00g204470; PGEN_.00g199580; PGEN_.00g228470; PGEN_.00g199570; PGEN_.00g116670","P41221; P46935; B4J6Q0; Q9VVI3; O88307","WNT5A_HUMAN; NEDD4_MOUSE; FBSP1_DROGR; NEDD4_DROME; SORL_MOUSE","Protein Wnt-5a; E3 ubiquitin-protein ligase NEDD4 (EC 2.3.2.26) (HECT-type E3 ubiquitin transferase NEDD4) (Neural precursor cell expressed developmentally down-regulated protein 4) (NEDD-4); F-box/SPRY domain-containing protein 1; E3 ubiquitin-protein ligase Nedd-4 (DNedd4) (EC 2.3.2.26) (HECT-type E3 ubiquitin transferase NEDD4); Sortilin-related receptor (Gp250) (Low-density lipoprotein receptor relative with 11 ligand-binding repeats) (LDLR relative with 11 ligand-binding repeats) (LR11) (SorLA-1) (Sorting protein-related receptor containing LDLR class A repeats) (mSorLA)"
"27","GO:0031397",0.031948358961791,0.993564870881124,4,21,"negative regulation of protein ubiquitination","BP","P","protein metabolism","PGEN_.00g043790; PGEN_.00g271680; PGEN_.00g133410; PGEN_.00g061060","P97346; Q5U504; Q503L9; O14514","NXN_MOUSE; KLH40_XENLA; NXN_DANRE; AGRB1_HUMAN","Nucleoredoxin (EC 1.8.1.8) (Protein Red-1); Kelch-like protein 40 (Kelch repeat and BTB domain-containing protein 5); Nucleoredoxin (EC 1.8.1.8); Adhesion G protein-coupled receptor B1 (Brain-specific angiogenesis inhibitor 1) [Cleaved into: Vasculostatin-40 (Vstat40); Vasculostatin-120 (Vstat120)]"
"28","GO:0060070",0.000104328850266921,0.999984975760464,9,28,"canonical Wnt signaling pathway","BP","P","signal transduction","PGEN_.00g208580; PGEN_.00g204470; PGEN_.00g299380; PGEN_.00g010610; PGEN_.00g122380; PGEN_.00g162010; PGEN_.00g042660; PGEN_.00g237190; PGEN_.00g330590","Q3L254; P41221; C0HL13; O75581; Q91VN0; Q961D9; O08586; O15550; O70421","WNT7B_CHICK; WNT5A_HUMAN; LRP2_PIG; LRP6_HUMAN; LRP5_MOUSE; BCL9_DROME; PTEN_MOUSE; KDM6A_HUMAN; FZD1_MOUSE","Protein Wnt-7b; Protein Wnt-5a; Low-density lipoprotein receptor-related protein 2 (LRP-2) (Glycoprotein 330) (gp330) (Megalin); Low-density lipoprotein receptor-related protein 6 (LRP-6); Low-density lipoprotein receptor-related protein 5 (LRP-5) (Low-density lipoprotein receptor-related protein 7) (LRP-7); Protein BCL9 homolog (Protein legless); Phosphatidylinositol 3,4,5-trisphosphate 3-phosphatase and dual-specificity protein phosphatase PTEN (EC 3.1.3.16) (EC 3.1.3.48) (EC 3.1.3.67) (Mutated in multiple advanced cancers 1) (Phosphatase and tensin homolog); Lysine-specific demethylase 6A (EC 1.14.11.-) (Histone demethylase UTX) (Ubiquitously-transcribed TPR protein on the X chromosome) (Ubiquitously-transcribed X chromosome tetratricopeptide repeat protein); Frizzled-1 (Fz-1) (mFz1)"
"29","GO:0016055",0.000395373852449518,0.999872733686855,17,93,"Wnt signaling pathway","BP","P","signal transduction","PGEN_.00g043790; PGEN_.00g208580; PGEN_.00g153580; PGEN_.00g204470; PGEN_.00g190430; PGEN_.00g111560; PGEN_.00g316730; PGEN_.00g010610; PGEN_.00g330380; PGEN_.00g133410; PGEN_.00g004830; PGEN_.00g070040; PGEN_.00g237080; PGEN_.00g055310; PGEN_.00g332130; PGEN_.00g257480; PGEN_.00g330590","P97346; Q3L254; Q3UCV8; P41221; O75096; Q90Z05; O95271; O75581; D3ZHV2; Q503L9; Q8BRK8; Q9U943; Q9UKE5; Q5BP74; A0JM23; P43249; O70421","NXN_MOUSE; WNT7B_CHICK; OTUL_MOUSE; WNT5A_HUMAN; LRP4_HUMAN; VNG2B_XENLA; TNKS1_HUMAN; LRP6_HUMAN; MACF1_RAT; NXN_DANRE; AAPK2_MOUSE; APLP_LOCMI; TNIK_HUMAN; KC1D_XENLA; NPHP3_XENTR; GRK5_BOVIN; FZD1_MOUSE","Nucleoredoxin (EC 1.8.1.8) (Protein Red-1); Protein Wnt-7b; Ubiquitin thioesterase otulin (EC 3.4.19.12) (Deubiquitinating enzyme otulin) (OTU domain-containing deubiquitinase with linear linkage specificity) (Ubiquitin thioesterase Gumby); Protein Wnt-5a; Low-density lipoprotein receptor-related protein 4 (LRP-4) (Multiple epidermal growth factor-like domains 7); Vang-like protein 2-B (Protein strabismus-B) (Van Gogh-like protein 2-B) (Xstrabismus-B) (Xstbm-B); Poly [ADP-ribose] polymerase tankyrase-1 (EC 2.4.2.30) (ADP-ribosyltransferase diphtheria toxin-like 5) (ARTD5) (Poly [ADP-ribose] polymerase 5A) (Protein poly-ADP-ribosyltransferase tankyrase-1) (EC 2.4.2.-) (TNKS-1) (TRF1-interacting ankyrin-related ADP-ribose polymerase) (Tankyrase I) (Tankyrase-1) (TANK1); Low-density lipoprotein receptor-related protein 6 (LRP-6); Microtubule-actin cross-linking factor 1 (Actin cross-linking family 7); Nucleoredoxin (EC 1.8.1.8); 5'-AMP-activated protein kinase catalytic subunit alpha-2 (AMPK subunit alpha-2) (EC 2.7.11.1) (Acetyl-CoA carboxylase kinase) (ACACA kinase) (EC 2.7.11.27) (Hydroxymethylglutaryl-CoA reductase kinase) (HMGCR kinase) (EC 2.7.11.31); Apolipophorins [Cleaved into: Apolipophorin-2 (Apolipophorin II) (apoLp-2); Apolipophorin-1 (Apolipophorin I) (apoLp-1)]; TRAF2 and NCK-interacting protein kinase (EC 2.7.11.1); Casein kinase I isoform delta (CKI-delta) (CKId) (EC 2.7.11.1); Nephrocystin-3; G protein-coupled receptor kinase 5 (EC 2.7.11.16) (G protein-coupled receptor kinase GRK5); Frizzled-1 (Fz-1) (mFz1)"
"30","GO:0030514",0.0216255734545172,0.994281498551022,6,33,"negative regulation of BMP signaling pathway","BP","P","signal transduction","PGEN_.00g204470; PGEN_.00g299380; PGEN_.00g242340; PGEN_.00g348700; PGEN_.00g116670; PGEN_.00g330590","P41221; C0HL13; Q01705; Q9UPN9; O88307; O70421","WNT5A_HUMAN; LRP2_PIG; NOTC1_MOUSE; TRI33_HUMAN; SORL_MOUSE; FZD1_MOUSE","Protein Wnt-5a; Low-density lipoprotein receptor-related protein 2 (LRP-2) (Glycoprotein 330) (gp330) (Megalin); Neurogenic locus notch homolog protein 1 (Notch 1) (Motch A) (mT14) (p300) [Cleaved into: Notch 1 extracellular truncation (NEXT); Notch 1 intracellular domain (NICD)]; E3 ubiquitin-protein ligase TRIM33 (EC 2.3.2.27) (Ectodermin homolog) (RET-fused gene 7 protein) (Protein Rfg7) (RING-type E3 ubiquitin transferase TRIM33) (Transcription intermediary factor 1-gamma) (TIF1-gamma) (Tripartite motif-containing protein 33); Sortilin-related receptor (Gp250) (Low-density lipoprotein receptor relative with 11 ligand-binding repeats) (LDLR relative with 11 ligand-binding repeats) (LR11) (SorLA-1) (Sorting protein-related receptor containing LDLR class A repeats) (mSorLA); Frizzled-1 (Fz-1) (mFz1)"
"31","GO:0035024",0.0276977791736351,0.99665044921484,3,9,"negative regulation of Rho protein signal transduction","BP","P","signal transduction","PGEN_.00g087850; PGEN_.00g211830; PGEN_.00g163480","Q9ULI3; P16056; Q4FZU8","HEG1_HUMAN; MET_MOUSE; RIPR1_RAT","Protein HEG homolog 1; Hepatocyte growth factor receptor (HGF receptor) (EC 2.7.10.1) (HGF/SF receptor) (Proto-oncogene c-Met) (Scatter factor receptor) (SF receptor) (Tyrosine-protein kinase Met); Rho family-interacting cell polarization regulator 1"
