Sample.ID,TA,Mass,Sal,Type,Notes,CRM.Batch,CRM.Std.Value,CRM.Measured.Value1,CRM.Measured.Value2,TA.file.name
20180711_CRM2,2231.256715,59.0141,33.481,CRM,Putnam_Method,Batch168,2207.62,2234.51612,2231.25672,20180711_CRM2.csv
20160805_Bin10,2844.038297,60.1572,28.4,Bin,Putnam_Method,Batch168,2207.62,2234.51612,2231.25672,20180711_Run1.csv
20160805_Bin11,2838.863892,60.6508,28.5,Bin,Putnam_Method,Batch168,2207.62,2234.51612,2231.25672,20180711_Run1.csv
20160805_Bin12,2856.050607,59.3527,28.6,Bin,Putnam_Method,Batch168,2207.62,2234.51612,2231.25672,20180711_Run1.csv
20160815_Bin2,2716.707059,60.1129,28.4,Bin,Putnam_Method,Batch168,2207.62,2234.51612,2231.25672,20180711_Run1.csv
20160815_Bin3,2698.201403,60.3303,28.4,Bin,Putnam_Method,Batch168,2207.62,2234.51612,2231.25672,20180711_Run1.csv
20160815_Bin4,2727.541032,60.1078,28.4,Bin,Putnam_Method,Batch168,2207.62,2234.51612,2231.25672,20180711_Run1.csv
20160815_Bin5,2724.691797,59.6696,28.4,Bin,Putnam_Method,Batch168,2207.62,2234.51612,2231.25672,20180711_Run1.csv
20160815_Bin6,2718.824803,59.3226,28.4,Bin,Putnam_Method,Batch168,2207.62,2234.51612,2231.25672,20180711_Run1.csv
20160815_Bin7,2825.786241,60.5911,28.4,Bin,Putnam_Method,Batch168,2207.62,2234.51612,2231.25672,20180711_Run1.csv
20160317_Tank11,2864.200581,50.1386,27.4,Tank,White_Method,Batch168,2207.62,2252.34821,2250.23016,2018-03-16T12_55_28_TA_titration_T306.csv
20160317_Tank12,3002.669914,50.0205,27.4,Tank,White_Method,Batch168,2207.62,2252.34821,2250.23016,2018-03-16T12_55_28_TA_titration_T306.csv
20160317_Tank14,2797.190731,50.0181,27.4,Tank,White_Method,Batch168,2207.62,2252.34821,2250.23016,2018-03-16T12_55_28_TA_titration_T306.csv
20160317_Tank15,2653.814246,50.015,27.3,Tank,White_Method,Batch168,2207.62,2252.34821,2250.23016,2018-03-16T12_55_28_TA_titration_T306.csv
20160317_Tank16,2993.653379,50.0056,27.4,Tank,White_Method,Batch168,2207.62,2252.34821,2250.23016,2018-03-16T12_55_28_TA_titration_T306.csv
20160319_Tank11,2682.150981,50.0285,25.8,Tank,White_Method,Batch168,2207.62,2252.34821,2250.23016,2018-03-16T12_55_28_TA_titration_T306.csv
20160319_Tank12,2907.571877,49.9993,25.9,Tank,White_Method,Batch168,2207.62,2252.34821,2250.23016,2018-03-16T12_55_28_TA_titration_T306.csv
20160319_Tank13,2613.024764,49.9727,26.1,Tank,White_Method,Batch168,2207.62,2252.34821,2250.23016,2018-03-16T12_55_28_TA_titration_T306.csv
20160319_Tank14,2716.612082,49.9963,25.8,Tank,White_Method,Batch168,2207.62,2252.34821,2250.23016,2018-03-16T12_55_28_TA_titration_T306.csv
20160319_Tank15,2640.74888,50.0039,26.2,Tank,White_Method,Batch168,2207.62,2252.34821,2250.23016,2018-03-16T14_58_45_TA_titration_T307.csv
20160321_Tank11,2827.220458,50.0339,26.7,Tank,White_Method,Batch168,2207.62,2252.34821,2250.23016,2018-03-16T14_58_45_TA_titration_T307.csv
20160321_Tank12,2920.628849,50.0155,26.7,Tank,White_Method,Batch168,2207.62,2252.34821,2250.23016,2018-03-16T14_58_45_TA_titration_T307.csv
20160321_Tank13,2681.836116,49.9944,26.8,Tank,White_Method,Batch168,2207.62,2252.34821,2250.23016,2018-03-16T14_58_45_TA_titration_T307.csv
20160321_Tank14,2814.281912,50.0416,26.7,Tank,White_Method,Batch168,2207.62,2252.34821,2250.23016,2018-03-16T14_58_45_TA_titration_T307.csv
20160321_Tank15,2684.803496,50.0052,26.7,Tank,White_Method,Batch168,2207.62,2252.34821,2250.23016,2018-03-16T14_58_45_TA_titration_T307.csv
20160321_Tank16,2858.04218,49.9918,26.7,Tank,White_Method,Batch168,2207.62,2252.34821,2250.23016,2018-03-16T14_58_45_TA_titration_T307.csv
20160326_Tank11,2866.482752,50.0146,27.1,Tank,White_Method,Batch168,2207.62,2252.34821,2250.23016,2018-03-16T14_58_45_TA_titration_T307.csv
20160326_Tank12,2937.604609,50.0228,27.2,Tank,White_Method,Batch168,2207.62,2252.34821,2250.23016,2018-03-16T14_58_45_TA_titration_T307.csv
20160326_Tank13,2688.645711,49.8915,27.2,Tank,White_Method,Batch168,2207.62,2270.31498,2250.14212,2018-03-19T13_06_12_TA_titration_T323.csv
20160326_Tank14,2838.228711,50.0387,27.2,Tank,White_Method,Batch168,2207.62,2270.31498,2250.14212,2018-03-19T13_06_12_TA_titration_T323.csv
20160326_Tank15,2739.017813,49.8785,26.7,Tank,White_Method,Batch168,2207.62,2270.31498,2250.14212,2018-03-19T13_06_12_TA_titration_T323.csv
20160326_Tank16,2968.629852,49.9461,26.8,Tank,White_Method,Batch168,2207.62,2270.31498,2250.14212,2018-03-19T13_06_12_TA_titration_T323.csv
20160401_Tank11,2884.49309,49.9466,26.7,Tank,White_Method,Batch168,2207.62,2270.31498,2250.14212,2018-03-19T13_06_12_TA_titration_T323.csv
20160401_Tank12,2762.716209,49.9471,26.7,Tank,White_Method,Batch168,2207.62,2270.31498,2250.14212,2018-03-19T13_06_12_TA_titration_T323.csv
20160401_Tank13,2668.83644,49.9558,26.7,Tank,White_Method,Batch168,2207.62,2270.31498,2250.14212,2018-03-19T13_06_12_TA_titration_T323.csv
20160401_Tank14,2925.323299,49.9741,27.1,Tank,White_Method,Batch168,2207.62,2270.31498,2250.14212,2018-03-19T13_06_12_TA_titration_T323.csv
20160401_Tank15,2665.739528,50.0468,27.2,Tank,White_Method,Batch168,2207.62,2270.31498,2250.14212,2018-03-19T13_06_12_TA_titration_T323.csv
20160802_Bin1,2748.147619,50.0451,28.5,Bin,White_Method,Batch168,2207.62,2243.92154,2234.05204,2018-03-20T10_25_54_TA_titration_T327.csv
20160802_Bin2,2682.571198,50.0084,28.6,Bin,White_Method,Batch168,2207.62,2243.92154,2234.05204,2018-03-20T10_25_54_TA_titration_T327.csv
20160802_Bin3,2620.330287,50.0471,28.6,Bin,White_Method,Batch168,2207.62,2243.92154,2234.05204,2018-03-20T10_25_54_TA_titration_T327.csv
20160802_Bin4,2698.502236,50.0023,28.6,Bin,White_Method,Batch168,2207.62,2243.92154,2234.05204,2018-03-20T10_25_54_TA_titration_T327.csv
20160802_Bin5,2683.558916,50.013,28.5,Bin,White_Method,Batch168,2207.62,2243.92154,2234.05204,2018-03-20T10_25_54_TA_titration_T327.csv
20160802_Bin6,2702.944195,50.0256,28.5,Bin,White_Method,Batch168,2207.62,2243.92154,2234.05204,2018-03-20T10_25_54_TA_titration_T327.csv
20160802_Bin7,2872.191656,50.0461,28.6,Bin,White_Method,Batch168,2207.62,2243.92154,2234.05204,2018-03-20T10_25_54_TA_titration_T327.csv
20160802_Bin8,2868.23124,50.0241,28.6,Bin,White_Method,Batch168,2207.62,2243.92154,2234.05204,2018-03-20T10_25_54_TA_titration_T327.csv
20160802_Bin9,2809.410437,50.0312,28.6,Bin,White_Method,Batch168,2207.62,2243.92154,2234.05204,2018-03-20T10_25_54_TA_titration_T327.csv
20160802_Bin10,2902.947135,50.0192,28.6,Bin,White_Method,Batch168,2207.62,2243.92154,2234.05204,2018-03-20T14_06_06_TA_titration_T328.csv
20160802_Bin11,2904.572175,50.0119,28.6,Bin,White_Method,Batch168,2207.62,2243.92154,2234.05204,2018-03-20T14_06_06_TA_titration_T328.csv
20160802_Bin12,2815.645767,50.0402,28.6,Bin,White_Method,Batch168,2207.62,2243.92154,2234.05204,2018-03-20T14_06_06_TA_titration_T328.csv
20160802_Header1,2875.711421,50.0473,28.6,Bin,White_Method,Batch168,2207.62,2243.92154,2234.05204,2018-03-20T14_06_06_TA_titration_T328.csv
20160802_Header2,2676.064897,50.0204,28.6,Bin,White_Method,Batch168,2207.62,2243.92154,2234.05204,2018-03-20T14_06_06_TA_titration_T328.csv
20160808_Bin1,2677.872472,50.0254,28.5,Bin,White_Method,Batch168,2207.62,2243.92154,2234.05204,2018-03-20T14_06_06_TA_titration_T328.csv
20160808_Bin2,2665.300722,50.0528,28.5,Bin,White_Method,Batch168,2207.62,2243.92154,2234.05204,2018-03-20T14_06_06_TA_titration_T328.csv
20160808_Bin3,2670.777641,50.0675,28.4,Bin,White_Method,Batch168,2207.62,2243.92154,2234.05204,2018-03-20T14_06_06_TA_titration_T328.csv
20160808_Bin4,2640.96736,50.0068,28.5,Bin,White_Method,Batch168,2207.62,2243.92154,2234.05204,2018-03-20T14_06_06_TA_titration_T328.csv
20160808_Bin5,2640.060637,50.0387,28.5,Bin,White_Method,Batch168,2207.62,2248.83832,2251.11336,2018-03-27T14_59_51_TA_titration_T343.csv
20160808_Bin6,2697.380113,50.0421,28.5,Bin,White_Method,Batch168,2207.62,2248.83832,2251.11336,2018-03-27T14_59_51_TA_titration_T343.csv
20160808_Bin7,2842.359149,50.0484,28.5,Bin,White_Method,Batch168,2207.62,2248.83832,2251.11336,2018-03-27T14_59_51_TA_titration_T343.csv
20160808_Bin8,2861.544988,50.0125,28.5,Bin,White_Method,Batch168,2207.62,2248.83832,2251.11336,2018-03-27T14_59_51_TA_titration_T343.csv
20160808_Bin9,2855.806508,50.0557,28.5,Bin,White_Method,Batch168,2207.62,2248.83832,2251.11336,2018-03-27T14_59_51_TA_titration_T343.csv
20160808_Bin10,2853.367696,50.0696,28.5,Bin,White_Method,Batch168,2207.62,2248.83832,2251.11336,2018-03-27T14_59_51_TA_titration_T343.csv
20160808_Bin11,2819.602166,50.064,28.5,Bin,White_Method,Batch168,2207.62,2248.83832,2251.11336,2018-03-27T14_59_51_TA_titration_T343.csv
20160808_Bin12,2829.00218,50.0574,28.5,Bin,White_Method,Batch168,2207.62,2248.83832,2251.11336,2018-03-27T14_59_51_TA_titration_T343.csv
20160815_Bin1,2696.915392,50.0341,28.4,Bin,White_Method,Batch168,2207.62,2248.83832,2251.11336,2018-03-27T14_59_51_TA_titration_T343.csv
