ID,scaffold,start,end,df_Initial.Treatment,df_Secondary.Treatment,df_Initial.Treatment.Secondary.Treatment,df_Residuals,sumsq_Initial.Treatment,sumsq_Secondary.Treatment,sumsq_Initial.Treatment.Secondary.Treatment,sumsq_Residuals,meansq_Initial.Treatment,meansq_Secondary.Treatment,meansq_Initial.Treatment.Secondary.Treatment,meansq_Residuals,statistic_Initial.Treatment,statistic_Secondary.Treatment,statistic_Initial.Treatment.Secondary.Treatment,statistic_Residuals,p.value_Initial.Treatment,p.value_Secondary.Treatment,p.value_Initial.Treatment.Secondary.Treatment,p.value_Residuals
Scaffold_10:27605391-27605550,Scaffold_10,27605391,27605550,2,1,2,18,0.012719012,0.002823144,0.076593576,0.13785876,0.006359506,0.002823144,0.038296788,0.00765882,0.830350626,0.368613465,5.000350971,NA,0.451919946,0.551343584,0.018747022,NA
Scaffold_12:22861955-22862339,Scaffold_12,22861955,22862339,2,1,2,18,0.032195857,0.001649142,0.327182324,0.624102016,0.016097928,0.001649142,0.163591162,0.034672334,0.46428741,0.047563628,4.718204452,NA,0.635903626,0.829811688,0.022516825,NA
Scaffold_15:14494198-14494313,Scaffold_15,14494198,14494313,2,1,2,18,0.002755083,0.027558719,0.031579755,0.060551051,0.001377542,0.027558719,0.015789877,0.003363947,0.409501564,8.192375345,4.69385394,NA,0.670012671,0.010355446,0.022879755,NA
Scaffold_15:42352437-42352523,Scaffold_15,42352437,42352523,2,1,2,16,0.078661264,0.001043273,0.4455732,0.766766404,0.039330632,0.001043273,0.2227866,0.0479229,0.820706426,0.021769813,4.648854697,NA,0.457818093,0.884544407,0.025604144,NA
Scaffold_17:3639155-3639327,Scaffold_17,3639155,3639327,2,1,2,16,0.252994289,0.127864074,0.616739186,1.066675789,0.126497144,0.127864074,0.308369593,0.066667237,1.897440939,1.917944708,4.625504338,NA,0.182195038,0.185091633,0.025985436,NA
Scaffold_05:61611387-61611530,Scaffold_05,61611387,61611530,2,1,2,18,0.25218104,0.05175902,0.381289741,0.765102208,0.12609052,0.05175902,0.19064487,0.042505678,2.966439429,1.217696606,4.485162417,NA,0.077001301,0.284347851,0.026271021,NA
Scaffold_08:60437068-60437220,Scaffold_08,60437068,60437220,2,1,2,17,0.083459412,0.115401336,0.535643669,1.010067641,0.041729706,0.115401336,0.267821835,0.059415744,0.702334156,1.942268644,4.507590386,NA,0.50924629,0.18137566,0.026877423,NA
Scaffold_07:38784305-38784423,Scaffold_07,38784305,38784423,2,1,2,17,0.119560065,6.87E-05,0.523110007,1.034906676,0.059780032,6.87E-05,0.261555003,0.060876863,0.981982797,0.001129083,4.296459923,NA,0.394837127,0.973586044,0.030888529,NA
Scaffold_04:43945842-43945896,Scaffold_04,43945842,43945896,2,1,2,15,0.01105752,0.13078732,1.684785606,2.91827452,0.00552876,0.13078732,0.842392803,0.194551635,0.028417956,0.672249916,4.329918916,NA,0.972034236,0.425105647,0.032779039,NA
Scaffold_12:15551317-15551387,Scaffold_12,15551317,15551387,2,1,2,15,0.247735709,0.016371709,0.402551096,0.697617288,0.123867854,0.016371709,0.201275548,0.046507819,2.663376966,0.352020568,4.327778669,NA,0.102370357,0.561811838,0.032823551,NA
Scaffold_07:33916238-33916519,Scaffold_07,33916238,33916519,2,1,2,18,0.078127739,0.000908022,0.278409606,0.620838728,0.039063869,0.000908022,0.139204803,0.03449104,1.132580198,0.026326307,4.035969962,NA,0.344113837,0.872913496,0.035636285,NA
Scaffold_17:18344493-18344669,Scaffold_17,18344493,18344669,2,1,2,17,0.277175179,0.163874933,1.005945609,2.122698205,0.13858759,0.163874933,0.502972805,0.1248646,1.10990296,1.312421073,4.028145715,NA,0.352329777,0.267828481,0.036984785,NA
Scaffold_03:49823789-49824034,Scaffold_03,49823789,49824034,2,1,2,17,0.022885329,0.0004195,0.108414667,0.238898813,0.011442664,0.0004195,0.054207333,0.014052871,0.8142581,0.029851529,3.857384882,NA,0.459515949,0.8648679,0.041560905,NA
Scaffold_01:51854871-51854949,Scaffold_01,51854871,51854949,2,1,2,18,0.052580602,0.041865244,0.322559617,0.766316001,0.026290301,0.041865244,0.161279809,0.042573111,0.617533001,0.983372899,3.788302151,NA,0.550312551,0.334511808,0.042351284,NA
Scaffold_09:34967039-34967104,Scaffold_09,34967039,34967104,2,1,2,17,0.055338776,0.039280846,0.214555129,0.476929359,0.027669388,0.039280846,0.107277565,0.028054668,0.986266799,1.400153652,3.823875727,NA,0.393324068,0.252981672,0.042531307,NA
Scaffold_12:22859483-22859683,Scaffold_12,22859483,22859683,2,1,2,18,0.006154907,0.112864075,0.151491796,0.3625226,0.003077453,0.112864075,0.075745898,0.020140144,0.152801949,5.603935721,3.760941152,NA,0.859401286,0.029328712,0.043175585,NA
Scaffold_10:4078253-4078293,Scaffold_10,4078253,4078293,2,1,2,16,0.012196026,0.005969658,0.283912489,0.595049435,0.006098013,0.005969658,0.141956244,0.03719059,0.163966559,0.16051529,3.816993641,NA,0.85017858,0.69398159,0.044122883,NA
Scaffold_08:50652597-50652645,Scaffold_08,50652597,50652645,2,1,2,17,0.207400038,0.006423949,0.122688382,0.276675213,0.103700019,0.006423949,0.061344191,0.016275013,6.371732045,0.394712398,3.769225439,NA,0.008609693,0.538182444,0.044168752,NA
Scaffold_01:8257927-8257972,Scaffold_01,8257927,8257972,2,1,2,17,0.155293024,0.013420741,0.286369468,0.647218562,0.077646512,0.013420741,0.143184734,0.03807168,2.039482154,0.352512445,3.760925012,NA,0.160730039,0.560512261,0.04442356,NA
Scaffold_13:29653605-29653698,Scaffold_13,29653605,29653698,2,1,2,15,0.306009621,0.007562071,1.12820271,2.208514037,0.153004811,0.007562071,0.564101355,0.147234269,1.039192923,0.05136081,3.831318335,NA,0.377862057,0.823771516,0.045274762,NA
Scaffold_08:17534473-17534497,Scaffold_08,17534473,17534497,2,1,2,18,0.073950142,0.001297551,0.108737027,0.267942996,0.036975071,0.001297551,0.054368513,0.014885722,2.483928623,0.087167467,3.652393428,NA,0.111523971,0.771187997,0.046626025,NA
Scaffold_12:19719704-19719808,Scaffold_12,19719704,19719808,2,1,2,18,0.005708178,0.00604771,0.02291245,0.056563537,0.002854089,0.00604771,0.011456225,0.003142419,0.908245963,1.924539835,3.645671039,NA,0.420931643,0.182295531,0.046849576,NA
Scaffold_04:7835643-7836015,Scaffold_04,7835643,7836015,2,1,2,18,0.004840396,0.013256181,0.234237577,0.581459931,0.002420198,0.013256181,0.117118788,0.03230333,0.074921013,0.410365792,3.625594947,NA,0.92810455,0.529855475,0.04752432,NA
Scaffold_11:20286469-20286591,Scaffold_11,20286469,20286591,2,1,2,16,0.23681219,0.00456537,0.68460756,1.491315995,0.118406095,0.00456537,0.34230378,0.09320725,1.270352845,0.048980845,3.672501671,NA,0.307574113,0.827646035,0.048686476,NA
Scaffold_12:50072453-50072531,Scaffold_12,50072453,50072531,2,1,2,17,0.010116898,0.004072193,0.349045388,0.8175222,0.005058449,0.004072193,0.174522694,0.048089541,0.105188136,0.084679383,3.629119548,NA,0.900736425,0.774573881,0.0486981,NA
Scaffold_04:716832-716907,Scaffold_04,716832,716907,2,1,2,18,0.071472555,0.012912881,0.257322054,0.646091117,0.035736278,0.012912881,0.128661027,0.035893951,0.995607246,0.359750906,3.5844766,NA,0.388955517,0.556120529,0.048940248,NA
Scaffold_17:15042311-15042333,Scaffold_17,15042311,15042333,2,1,2,17,0.108171973,0.017932805,1.087310982,2.561427704,0.054085986,0.017932805,0.543655491,0.150672218,0.358964559,0.11901866,3.608199965,NA,0.703567342,0.734332808,0.049417913,NA
Scaffold_17:15396775-15396786,Scaffold_17,15396775,15396786,2,1,2,15,0.125960639,0.033761967,0.598897837,1.214739363,0.06298032,0.033761967,0.299448918,0.080982624,0.777701639,0.416903835,3.69769344,NA,0.477129436,0.528240509,0.049487461,NA
