"Table S15. GO enrichment analysis of significant differentially methylated genes between between the pH treatments at Day 135. Column name numDEInCat is 'number of differentially expressed genes in category; column name numInCat is 'number of genes in category'; column name Cat is 'category'; F = Molecular Function, P = Biological Process; C = Cellular Component",GO.IDs,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,term,ontology,Cat,GO.Slim.Term,gene,uniprot,uniprot_taxa.id,uniprot.name
19,GO:0061333,0.017035285,0.999352124,2,4,renal tubule morphogenesis,BP,P,developmental processes,PGEN_.00g171350; PGEN_.00g171340,Q8R1S4; O43312,MTSS1_MOUSE; MTSS1_HUMAN,Protein MTSS 1 (Metastasis suppressor protein 1) (Missing in metastasis protein); Protein MTSS 1 (Metastasis suppressor YGL-1) (Metastasis suppressor protein 1) (Missing in metastasis protein)
20,GO:0048667,0.018152426,0.999489955,2,3,cell morphogenesis involved in neuron differentiation,BP,P,developmental processes,PGEN_.00g057650; PGEN_.00g232390,Q28205; Q90600,TBCD_BOVIN; RB_CHICK,Tubulin-specific chaperone D (Beta-tubulin cofactor D) (Tubulin-folding cofactor D); Retinoblastoma-associated protein (p104) (pRb) (Rb)
21,GO:0072102,0.018913818,0.999239032,2,4,glomerulus morphogenesis,BP,P,developmental processes,PGEN_.00g171350; PGEN_.00g171340,Q8R1S4; O43312,MTSS1_MOUSE; MTSS1_HUMAN,Protein MTSS 1 (Metastasis suppressor protein 1) (Missing in metastasis protein); Protein MTSS 1 (Metastasis suppressor YGL-1) (Metastasis suppressor protein 1) (Missing in metastasis protein)
22,GO:0021785,0.02282372,0.999273215,2,3,branchiomotor neuron axon guidance,BP,P,developmental processes,PGEN_.00g279870; PGEN_.00g087190,P00522; O75592,ABL_DROME; MYCB2_HUMAN,Tyrosine-protein kinase Abl (EC 2.7.10.2) (D-ash) (Protein abelson); E3 ubiquitin-protein ligase MYCBP2 (EC 2.3.2.-) (Myc-binding protein 2) (Protein associated with Myc)
23,GO:0010832,0.024085097,0.997154322,3,10,negative regulation of myotube differentiation,BP,P,developmental processes,PGEN_.00g242340; PGEN_.00g264510; PGEN_.00g105500,Q01705; P83038; P06731,NOTC1_MOUSE; HDAC4_CHICK; CEAM5_HUMAN,Neurogenic locus notch homolog protein 1 (Notch 1) (Motch A) (mT14) (p300) [Cleaved into: Notch 1 extracellular truncation (NEXT); Notch 1 intracellular domain (NICD)]; Histone deacetylase 4 (HD4) (EC 3.5.1.98); Carcinoembryonic antigen-related cell adhesion molecule 5 (Carcinoembryonic antigen) (CEA) (Meconium antigen 100) (CD antigen CD66e)
24,GO:0060027,0.025373407,0.999143471,2,3,convergent extension involved in gastrulation,BP,P,developmental processes,PGEN_.00g111560; PGEN_.00g036790,Q90Z05; Q08BI9,VNG2B_XENLA; MCU_DANRE,"Vang-like protein 2-B (Protein strabismus-B) (Van Gogh-like protein 2-B) (Xstrabismus-B) (Xstbm-B); Calcium uniporter protein, mitochondrial"
25,GO:0021587,0.028509966,0.998205491,2,6,cerebellum morphogenesis,BP,P,developmental processes,PGEN_.00g134810; PGEN_.00g010620,P18887; O75581,XRCC1_HUMAN; LRP6_HUMAN,DNA repair protein XRCC1 (X-ray repair cross-complementing protein 1); Low-density lipoprotein receptor-related protein 6 (LRP-6)
26,GO:0001890,0.03072749,0.99570581,3,14,placenta development,BP,P,developmental processes,PGEN_.00g211830; PGEN_.00g020710; PGEN_.00g272660,P16056; Q13686; Q13490,MET_MOUSE; ALKB1_HUMAN; BIRC2_HUMAN,Hepatocyte growth factor receptor (HGF receptor) (EC 2.7.10.1) (HGF/SF receptor) (Proto-oncogene c-Met) (Scatter factor receptor) (SF receptor) (Tyrosine-protein kinase Met); Nucleic acid dioxygenase ALKBH1 (EC 1.14.11.-) (Alkylated DNA repair protein alkB homolog 1) (Alpha-ketoglutarate-dependent dioxygenase ABH1) (DNA 6mA demethylase) (DNA N6-methyl adenine demethylase ALKBH1) (EC 1.14.11.51) (DNA lyase ABH1) (EC 4.2.99.18) (DNA oxidative demethylase ALKBH1) (EC 1.14.11.33) (mRNA N(3)-methylcytidine demethylase) (EC 1.14.11.-); Baculoviral IAP repeat-containing protein 2 (EC 2.3.2.27) (Cellular inhibitor of apoptosis 1) (C-IAP1) (IAP homolog B) (Inhibitor of apoptosis protein 2) (hIAP-2) (hIAP2) (RING finger protein 48) (RING-type E3 ubiquitin transferase BIRC2) (TNFR2-TRAF-signaling complex protein 2)
27,GO:0003429,0.030834576,0.995741419,3,13,growth plate cartilage chondrocyte morphogenesis,BP,P,developmental processes,PGEN_.00g198010; PGEN_.00g127990; PGEN_.00g034040,P05099; Q60847; O89029,MATN1_CHICK; COCA1_MOUSE; MATN4_MOUSE,Cartilage matrix protein (Matrilin-1); Collagen alpha-1(XII) chain; Matrilin-4 (MAT-4)
28,GO:0035116,0.03454312,0.997771908,2,5,embryonic hindlimb morphogenesis,BP,P,developmental processes,PGEN_.00g242340; PGEN_.00g173900,Q01705; Q8CG73,NOTC1_MOUSE; FTM_MOUSE,Neurogenic locus notch homolog protein 1 (Notch 1) (Motch A) (mT14) (p300) [Cleaved into: Notch 1 extracellular truncation (NEXT); Notch 1 intracellular domain (NICD)]; Protein fantom (Nephrocystin-8) (RPGR-interacting protein 1-like protein) (RPGRIP1-like protein)
29,GO:0031175,0.039814265,0.98613513,7,56,neuron projection development,BP,P,developmental processes,PGEN_.00g149640; PGEN_.00g232390; PGEN_.00g301440; PGEN_.00g234980; PGEN_.00g020710; PGEN_.00g050270; PGEN_.00g101900,Q80YX1; Q90600; Q5T5Y3; Q15262; Q13686; P59759; P35822,TENA_MOUSE; RB_CHICK; CAMP1_HUMAN; PTPRK_HUMAN; ALKB1_HUMAN; MRTFB_MOUSE; PTPRK_MOUSE,Tenascin (TN) (Hexabrachion) (Tenascin-C) (TN-C); Retinoblastoma-associated protein (p104) (pRb) (Rb); Calmodulin-regulated spectrin-associated protein 1; Receptor-type tyrosine-protein phosphatase kappa (Protein-tyrosine phosphatase kappa) (R-PTP-kappa) (EC 3.1.3.48); Nucleic acid dioxygenase ALKBH1 (EC 1.14.11.-) (Alkylated DNA repair protein alkB homolog 1) (Alpha-ketoglutarate-dependent dioxygenase ABH1) (DNA 6mA demethylase) (DNA N6-methyl adenine demethylase ALKBH1) (EC 1.14.11.51) (DNA lyase ABH1) (EC 4.2.99.18) (DNA oxidative demethylase ALKBH1) (EC 1.14.11.33) (mRNA N(3)-methylcytidine demethylase) (EC 1.14.11.-); Myocardin-related transcription factor B (MRTF-B) (MKL/myocardin-like protein 2); Receptor-type tyrosine-protein phosphatase kappa (Protein-tyrosine phosphatase kappa) (R-PTP-kappa) (EC 3.1.3.48)
30,GO:0061344,0.0419838,1,1,1,regulation of cell adhesion involved in heart morphogenesis,BP,P,developmental processes,PGEN_.00g242340,Q01705,NOTC1_MOUSE,Neurogenic locus notch homolog protein 1 (Notch 1) (Motch A) (mT14) (p300) [Cleaved into: Notch 1 extracellular truncation (NEXT); Notch 1 intracellular domain (NICD)]
31,GO:0060447,0.048075055,1,1,1,bud outgrowth involved in lung branching,BP,P,developmental processes,PGEN_.00g149640,Q80YX1,TENA_MOUSE,Tenascin (TN) (Hexabrachion) (Tenascin-C) (TN-C)
32,GO:0060739,0.048075055,1,1,1,mesenchymal-epithelial cell signaling involved in prostate gland development,BP,P,developmental processes,PGEN_.00g149640,Q80YX1,TENA_MOUSE,Tenascin (TN) (Hexabrachion) (Tenascin-C) (TN-C)
33,GO:0080111,0.004795202,0.999933542,2,3,DNA demethylation,BP,P,DNA metabolism,PGEN_.00g020710; PGEN_.00g131030,Q13686; Q9NXW9,ALKB1_HUMAN; ALKB4_HUMAN,Nucleic acid dioxygenase ALKBH1 (EC 1.14.11.-) (Alkylated DNA repair protein alkB homolog 1) (Alpha-ketoglutarate-dependent dioxygenase ABH1) (DNA 6mA demethylase) (DNA N6-methyl adenine demethylase ALKBH1) (EC 1.14.11.51) (DNA lyase ABH1) (EC 4.2.99.18) (DNA oxidative demethylase ALKBH1) (EC 1.14.11.33) (mRNA N(3)-methylcytidine demethylase) (EC 1.14.11.-); Alpha-ketoglutarate-dependent dioxygenase alkB homolog 4 (Alkylated DNA repair protein alkB homolog 4) (DNA N6-methyl adenine demethylase ALKBH4) (EC 1.14.11.51) (Lysine-specific demethylase ALKBH4) (EC 1.14.11.-)
34,GO:0051660,0.006448842,1,2,2,establishment of centrosome localization,BP,P,other biological processes,PGEN_.00g037350; PGEN_.00g269010,Q13257; Q8TEW0,MD2L1_HUMAN; PARD3_HUMAN,Mitotic spindle assembly checkpoint protein MAD2A (HsMAD2) (Mitotic arrest deficient 2-like protein 1) (MAD2-like protein 1); Partitioning defective 3 homolog (PAR-3) (PARD-3) (Atypical PKC isotype-specific-interacting protein) (ASIP) (CTCL tumor antigen se2-5) (PAR3-alpha)
35,GO:0071404,0.008431004,0.99984289,2,3,cellular response to low-density lipoprotein particle stimulus,BP,P,other biological processes,PGEN_.00g282120; PGEN_.00g275360,O15118; Q9GLP0,NPC1_HUMAN; ITB1_PIG,NPC intracellular cholesterol transporter 1 (Niemann-Pick C1 protein); Integrin beta-1 (Fibronectin receptor subunit beta) (VLA-4 subunit beta) (CD antigen CD29)
36,GO:0070293,0.01425782,0.999648428,2,3,renal absorption,BP,P,other biological processes,PGEN_.00g076930; PGEN_.00g065950,P70057; O73925,KCNQ1_XENLA; KCNQ1_SQUAC,Potassium voltage-gated channel subfamily KQT member 1 (IKs producing slow voltage-gated potassium channel subunit alpha xKvLQT1) (KQT-like 1) (Voltage-gated potassium channel subunit Kv7.1); Potassium voltage-gated channel subfamily KQT member 1 (IKs producing slow voltage-gated potassium channel subunit alpha KvLQT1) (KQT-like 1) (Voltage-gated potassium channel subunit Kv7.1)
37,GO:0071872,0.018753916,0.999463628,2,3,cellular response to epinephrine stimulus,BP,P,other biological processes,PGEN_.00g277910; PGEN_.00g007340,Q61165; Q08499,SL9A1_MOUSE; PDE4D_HUMAN,"Sodium/hydrogen exchanger 1 (Na(+)/H(+) exchanger 1) (NHE-1) (Solute carrier family 9 member 1); cAMP-specific 3',5'-cyclic phosphodiesterase 4D (EC 3.1.4.53) (DPDE3) (PDE43)"
38,GO:0001763,0.020761843,0.999121532,2,4,morphogenesis of a branching structure,BP,P,other biological processes,PGEN_.00g325600; PGEN_.00g076410,Q99466; Q60636,NOTC4_HUMAN; PRDM1_MOUSE,Neurogenic locus notch homolog protein 4 (Notch 4) (hNotch4) [Cleaved into: Notch 4 extracellular truncation; Notch 4 intracellular domain]; PR domain zinc finger protein 1 (EC 2.1.1.-) (B lymphocyte-induced maturation protein 1) (Blimp-1) (Beta-interferon gene positive regulatory domain I-binding factor) (PR domain-containing protein 1)
39,GO:0045165,0.031020638,0.993851249,4,20,cell fate commitment,BP,P,other biological processes,PGEN_.00g208580; PGEN_.00g204470; PGEN_.00g242340; PGEN_.00g076410,Q3L254; P41221; Q01705; Q60636,WNT7B_CHICK; WNT5A_HUMAN; NOTC1_MOUSE; PRDM1_MOUSE,Protein Wnt-7b; Protein Wnt-5a; Neurogenic locus notch homolog protein 1 (Notch 1) (Motch A) (mT14) (p300) [Cleaved into: Notch 1 extracellular truncation (NEXT); Notch 1 intracellular domain (NICD)]; PR domain zinc finger protein 1 (EC 2.1.1.-) (B lymphocyte-induced maturation protein 1) (Blimp-1) (Beta-interferon gene positive regulatory domain I-binding factor) (PR domain-containing protein 1)
40,GO:0060760,0.036074216,0.997616787,2,5,positive regulation of response to cytokine stimulus,BP,P,other biological processes,PGEN_.00g204470; PGEN_.00g256280,P41221; O95786,WNT5A_HUMAN; DDX58_HUMAN,Protein Wnt-5a; Antiviral innate immune response receptor RIG-I (DEAD box protein 58) (Probable ATP-dependent RNA helicase DDX58) (EC 3.6.4.13) (RIG-I-like receptor 1) (RLR-1) (Retinoic acid-inducible gene 1 protein) (RIG-1) (Retinoic acid-inducible gene I protein) (RIG-I)
41,GO:0050892,0.03682104,0.997334292,2,6,intestinal absorption,BP,P,other biological processes,PGEN_.00g076930; PGEN_.00g065950,P70057; O73925,KCNQ1_XENLA; KCNQ1_SQUAC,Potassium voltage-gated channel subfamily KQT member 1 (IKs producing slow voltage-gated potassium channel subunit alpha xKvLQT1) (KQT-like 1) (Voltage-gated potassium channel subunit Kv7.1); Potassium voltage-gated channel subfamily KQT member 1 (IKs producing slow voltage-gated potassium channel subunit alpha KvLQT1) (KQT-like 1) (Voltage-gated potassium channel subunit Kv7.1)
42,GO:0032880,0.038288699,0.989975774,5,27,regulation of protein localization,BP,P,other biological processes,PGEN_.00g083720; PGEN_.00g279870; PGEN_.00g290440; PGEN_.00g033560; PGEN_.00g087190,Q60949; P00522; Q91V41; Q922B6; O75592,TBCD1_MOUSE; ABL_DROME; RAB14_MOUSE; TRAF7_MOUSE; MYCB2_HUMAN,TBC1 domain family member 1; Tyrosine-protein kinase Abl (EC 2.7.10.2) (D-ash) (Protein abelson); Ras-related protein Rab-14; E3 ubiquitin-protein ligase TRAF7 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase TRAF7) (TNF receptor-associated factor 7); E3 ubiquitin-protein ligase MYCBP2 (EC 2.3.2.-) (Myc-binding protein 2) (Protein associated with Myc)
43,GO:0007599,0.04049841,1,1,1,hemostasis,BP,P,other biological processes,PGEN_.00g043300,Q07076,ANXA7_MOUSE,Annexin A7 (Annexin VII) (Annexin-7) (Synexin)
44,GO:0045446,0.04049841,1,1,1,endothelial cell differentiation,BP,P,other biological processes,PGEN_.00g165230,Q8IWY4,SCUB1_HUMAN,"Signal peptide, CUB and EGF-like domain-containing protein 1"
45,GO:0036090,0.040504139,1,1,1,cleavage furrow ingression,BP,P,other biological processes,PGEN_.00g131030,Q9NXW9,ALKB4_HUMAN,Alpha-ketoglutarate-dependent dioxygenase alkB homolog 4 (Alkylated DNA repair protein alkB homolog 4) (DNA N6-methyl adenine demethylase ALKBH4) (EC 1.14.11.51) (Lysine-specific demethylase ALKBH4) (EC 1.14.11.-)
46,GO:0051413,0.040584231,1,1,1,response to cortisone,BP,P,other biological processes,PGEN_.00g079760,P23780,BGAL_MOUSE,Beta-galactosidase (EC 3.2.1.23) (Acid beta-galactosidase) (Lactase)
47,GO:0002724,0.04086334,1,1,1,regulation of T cell cytokine production,BP,P,other biological processes,PGEN_.00g252700,Q9ESQ5,TRPM4_RAT,Transient receptor potential cation channel subfamily M member 4 (Calcium-activated non-selective cation channel 1) (Long transient receptor potential channel 4) (LTrpC-4) (LTrpC4) (MLS2s) (Melastatin-like 2)
48,GO:0014812,0.041737546,1,1,1,muscle cell migration,BP,P,other biological processes,PGEN_.00g211830,P16056,MET_MOUSE,Hepatocyte growth factor receptor (HGF receptor) (EC 2.7.10.1) (HGF/SF receptor) (Proto-oncogene c-Met) (Scatter factor receptor) (SF receptor) (Tyrosine-protein kinase Met)
49,GO:0071635,0.041737546,1,1,1,negative regulation of transforming growth factor beta production,BP,P,other biological processes,PGEN_.00g211830,P16056,MET_MOUSE,Hepatocyte growth factor receptor (HGF receptor) (EC 2.7.10.1) (HGF/SF receptor) (Proto-oncogene c-Met) (Scatter factor receptor) (SF receptor) (Tyrosine-protein kinase Met)
50,GO:0002051,0.0419838,1,1,1,osteoblast fate commitment,BP,P,other biological processes,PGEN_.00g242340,Q01705,NOTC1_MOUSE,Neurogenic locus notch homolog protein 1 (Notch 1) (Motch A) (mT14) (p300) [Cleaved into: Notch 1 extracellular truncation (NEXT); Notch 1 intracellular domain (NICD)]
51,GO:0086091,0.046991304,0.996105518,2,6,regulation of heart rate by cardiac conduction,BP,P,other biological processes,PGEN_.00g252700; PGEN_.00g330320,Q9ESQ5; P54288,TRPM4_RAT; CACB2_RABIT,Transient receptor potential cation channel subfamily M member 4 (Calcium-activated non-selective cation channel 1) (Long transient receptor potential channel 4) (LTrpC-4) (LTrpC4) (MLS2s) (Melastatin-like 2); Voltage-dependent L-type calcium channel subunit beta-2 (CAB2) (Calcium channel voltage-dependent subunit beta 2)
52,GO:0071774,0.048075055,1,1,1,response to fibroblast growth factor,BP,P,other biological processes,PGEN_.00g149640,Q80YX1,TENA_MOUSE,Tenascin (TN) (Hexabrachion) (Tenascin-C) (TN-C)
53,GO:0071799,0.048075055,1,1,1,cellular response to prostaglandin D stimulus,BP,P,other biological processes,PGEN_.00g149640,Q80YX1,TENA_MOUSE,Tenascin (TN) (Hexabrachion) (Tenascin-C) (TN-C)
54,GO:0016458,0.011455351,0.999748789,2,3,gene silencing,BP,P,other metabolic processes,PGEN_.00g150440; PGEN_.00g070460,Q6ZRS2; Q96GD3,SRCAP_HUMAN; SCMH1_HUMAN,Helicase SRCAP (EC 3.6.4.-) (Domino homolog 2) (Snf2-related CBP activator); Polycomb protein SCMH1 (Sex comb on midleg homolog 1)
55,GO:0070989,0.017505706,0.999219028,2,5,oxidative demethylation,BP,P,other metabolic processes,PGEN_.00g020710; PGEN_.00g131030,Q13686; Q9NXW9,ALKB1_HUMAN; ALKB4_HUMAN,Nucleic acid dioxygenase ALKBH1 (EC 1.14.11.-) (Alkylated DNA repair protein alkB homolog 1) (Alpha-ketoglutarate-dependent dioxygenase ABH1) (DNA 6mA demethylase) (DNA N6-methyl adenine demethylase ALKBH1) (EC 1.14.11.51) (DNA lyase ABH1) (EC 4.2.99.18) (DNA oxidative demethylase ALKBH1) (EC 1.14.11.33) (mRNA N(3)-methylcytidine demethylase) (EC 1.14.11.-); Alpha-ketoglutarate-dependent dioxygenase alkB homolog 4 (Alkylated DNA repair protein alkB homolog 4) (DNA N6-methyl adenine demethylase ALKBH4) (EC 1.14.11.51) (Lysine-specific demethylase ALKBH4) (EC 1.14.11.-)
56,GO:0042417,0.036284868,0.994740454,3,12,dopamine metabolic process,BP,P,other metabolic processes,PGEN_.00g164020; PGEN_.00g148340; PGEN_.00g278670,P16066; P16066; P18293,ANPRA_HUMAN; ANPRA_HUMAN; ANPRA_MOUSE,Atrial natriuretic peptide receptor 1 (EC 4.6.1.2) (Atrial natriuretic peptide receptor type A) (ANP-A) (ANPR-A) (NPR-A) (Guanylate cyclase A) (GC-A); Atrial natriuretic peptide receptor 1 (EC 4.6.1.2) (Atrial natriuretic peptide receptor type A) (ANP-A) (ANPR-A) (NPR-A) (Guanylate cyclase A) (GC-A); Atrial natriuretic peptide receptor 1 (EC 4.6.1.2) (Atrial natriuretic peptide receptor type A) (ANP-A) (ANPR-A) (NPR-A) (Guanylate cyclase A) (GC-A)
57,GO:0042775,0.040504146,1,1,1,mitochondrial ATP synthesis coupled electron transport,BP,P,other metabolic processes,PGEN_.00g119300,Q641Y2,NDUS2_RAT,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 2, mitochondrial (EC 1.6.99.3) (EC 7.1.1.2) (Complex I-49kD) (CI-49kD) (NADH-ubiquinone oxidoreductase 49 kDa subunit)"
58,GO:0032923,0.040506061,1,1,1,organic phosphonate biosynthetic process,BP,P,other metabolic processes,PGEN_.00g133110,P56839,PEPM_MYTED,Phosphoenolpyruvate phosphomutase (PEP mutase) (PEP phosphomutase) (Phosphoenolpyruvate mutase) (EC 5.4.2.9)
59,GO:0009710,0.040511635,1,1,1,tropane alkaloid biosynthetic process,BP,P,other metabolic processes,PGEN_.00g279140,P50164,TRN2_HYONI,Tropinone reductase 2 (EC 1.1.1.236) (Tropinone reductase II) (TR-II)
60,GO:0019391,0.040653069,1,1,1,glucuronoside catabolic process,BP,P,other metabolic processes,PGEN_.00g142400,Q4FAT7,BGLR_PIG,Beta-glucuronidase (EC 3.2.1.31)
