"","GO.IDs","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","GO.Term","GO.Slim.Term","Cat","gene","uniprot","uniprot_taxa.id","uniprot.name"
"15","GO:0060638",0.0151247005802078,1,1,1,"mesenchymal-epithelial cell signaling","BP","mesenchymal-epithelial cell signaling","cell-cell signaling","P","PGEN_.00g204470","P41221","WNT5A_HUMAN","Protein Wnt-5a"
"16","GO:0070245",0.0151247005802078,1,1,1,"positive regulation of thymocyte apoptotic process","BP","positive regulation of thymocyte apoptosis","death","P","PGEN_.00g204470","P41221","WNT5A_HUMAN","Protein Wnt-5a"
"17","GO:0043066",0.0191708362925619,0.995529496836946,5,177,"negative regulation of apoptotic process","BP","negative regulation of apoptosis","death","P","PGEN_.00g004840; PGEN_.00g036880; PGEN_.00g076180; PGEN_.00g204470; PGEN_.00g277910","P54646; Q68CJ6; Q8JHV9; P41221; Q61165","AAPK2_HUMAN; SLIP_HUMAN; BIR7A_XENLA; WNT5A_HUMAN; SL9A1_MOUSE","5'-AMP-activated protein kinase catalytic subunit alpha-2 (AMPK subunit alpha-2) (EC 2.7.11.1) (Acetyl-CoA carboxylase kinase) (ACACA kinase) (EC 2.7.11.27) (Hydroxymethylglutaryl-CoA reductase kinase) (HMGCR kinase) (EC 2.7.11.31); Nuclear GTPase SLIP-GC (EC 3.6.1.-) (Speckled-like pattern in the germinal center); Baculoviral IAP repeat-containing protein 7-A (EC 2.3.2.27) (E3 ubiquitin-protein ligase EIAP-A) (Embryonic/Egg IAP) (xEIAP/XLX) (Inhibitor of apoptosis-like protein) (IAP-like protein) (RING-type E3 ubiquitin transferase EIAP-A) (XIAP homolog XLX) (XLX); Protein Wnt-5a; Sodium/hydrogen exchanger 1 (Na(+)/H(+) exchanger 1) (NHE-1) (Solute carrier family 9 member 1)"
"18","GO:0007417",0.00982699735172173,0.99901255196017,3,54,"central nervous system development","BP","central nervous system development","developmental processes","P","PGEN_.00g078310; PGEN_.00g218470; PGEN_.00g279870","P35992; O14594; P00522","PTP10_DROME; NCAN_HUMAN; ABL_DROME","Tyrosine-protein phosphatase 10D (EC 3.1.3.48) (Receptor-linked protein-tyrosine phosphatase 10D) (DPTP10D); Neurocan core protein (Chondroitin sulfate proteoglycan 3); Tyrosine-protein kinase Abl (EC 2.7.10.2) (D-ash) (Protein abelson)"
"19","GO:0001837",0.0102322490553176,0.99954406610558,2,17,"epithelial to mesenchymal transition","BP","epithelial to mesenchymal transition","developmental processes","P","PGEN_.00g049510; PGEN_.00g204470","Q8TDM6; P41221","DLG5_HUMAN; WNT5A_HUMAN","Disks large homolog 5 (Discs large protein P-dlg) (Placenta and prostate DLG); Protein Wnt-5a"
"20","GO:0060447",0.0103188886304862,1,1,1,"bud outgrowth involved in lung branching","BP","bud outgrowth involved in lung branching","developmental processes","P","PGEN_.00g149640","Q80YX1","TENA_MOUSE","Tenascin (TN) (Hexabrachion) (Tenascin-C) (TN-C)"
"21","GO:0060739",0.0103188886304862,1,1,1,"mesenchymal-epithelial cell signaling involved in prostate gland development","BP","mesenchymal-epithelial cell signaling involved in prostate gland development","developmental processes","P","PGEN_.00g149640","Q80YX1","TENA_MOUSE","Tenascin (TN) (Hexabrachion) (Tenascin-C) (TN-C)"
"22","GO:0014866",0.0116580902728822,1,1,1,"skeletal myofibril assembly","BP","skeletal myofibril assembly","developmental processes","P","PGEN_.00g062630","A0JMD4","TPC2_DANRE","Two pore calcium channel protein 2 (Voltage-dependent calcium channel protein TPC2)"
"23","GO:0030182",0.0150460408759456,0.998234771454084,3,51,"neuron differentiation","BP","neuron differentiation","developmental processes","P","PGEN_.00g204470; PGEN_.00g208580; PGEN_.00g211830","P41221; Q3L254; P16056","WNT5A_HUMAN; WNT7B_CHICK; MET_MOUSE","Protein Wnt-5a; Protein Wnt-7b; Hepatocyte growth factor receptor (HGF receptor) (EC 2.7.10.1) (HGF/SF receptor) (Proto-oncogene c-Met) (Scatter factor receptor) (SF receptor) (Tyrosine-protein kinase Met)"
"24","GO:0048850",0.0151247005802078,1,1,1,"hypophysis morphogenesis","BP","hypophysis morphogenesis","developmental processes","P","PGEN_.00g204470","P41221","WNT5A_HUMAN","Protein Wnt-5a"
"25","GO:0051885",0.0151247005802078,1,1,1,"positive regulation of timing of anagen","BP","positive regulation of anagen","developmental processes","P","PGEN_.00g204470","P41221","WNT5A_HUMAN","Protein Wnt-5a"
"26","GO:0060029",0.0151247005802078,1,1,1,"convergent extension involved in organogenesis","BP","convergent extension involved in organogenesis","developmental processes","P","PGEN_.00g204470","P41221","WNT5A_HUMAN","Protein Wnt-5a"
"27","GO:0060157",0.0151247005802078,1,1,1,"urinary bladder development","BP","urinary bladder development","developmental processes","P","PGEN_.00g204470","P41221","WNT5A_HUMAN","Protein Wnt-5a"
"28","GO:0060599",0.0151247005802078,1,1,1,"lateral sprouting involved in mammary gland duct morphogenesis","BP","lateral sprouting involved in mammary gland duct morphogenesis","developmental processes","P","PGEN_.00g204470","P41221","WNT5A_HUMAN","Protein Wnt-5a"
"29","GO:0060775",0.0151247005802078,1,1,1,"planar cell polarity pathway involved in gastrula mediolateral intercalation","BP","","developmental processes","None","PGEN_.00g204470","P41221","WNT5A_HUMAN","Protein Wnt-5a"
"30","GO:0007370",0.0151805784672552,1,1,1,"ventral furrow formation","BP","ventral furrow formation","developmental processes","P","PGEN_.00g279870","P00522","ABL_DROME","Tyrosine-protein kinase Abl (EC 2.7.10.2) (D-ash) (Protein abelson)"
"31","GO:0042475",0.0153103890379344,0.99914517442625,2,20,"odontogenesis of dentin-containing tooth","BP","odontogenesis of dentine-containing tooth","developmental processes","P","PGEN_.00g149640; PGEN_.00g190430","Q80YX1; O75096","TENA_MOUSE; LRP4_HUMAN","Tenascin (TN) (Hexabrachion) (Tenascin-C) (TN-C); Low-density lipoprotein receptor-related protein 4 (LRP-4) (Multiple epidermal growth factor-like domains 7)"
"32","GO:0014902",0.0171976386402607,0.999889312303616,1,4,"myotube differentiation","BP","myotube differentiation","developmental processes","P","PGEN_.00g211830","P16056","MET_MOUSE","Hepatocyte growth factor receptor (HGF receptor) (EC 2.7.10.1) (HGF/SF receptor) (Proto-oncogene c-Met) (Scatter factor receptor) (SF receptor) (Tyrosine-protein kinase Met)"
"33","GO:0045886",0.0186465806588215,0.999913059117363,1,2,"negative regulation of synaptic growth at neuromuscular junction","BP","negative regulation of synaptic growth at neuromuscular junction","developmental processes","P","PGEN_.00g279870","P00522","ABL_DROME","Tyrosine-protein kinase Abl (EC 2.7.10.2) (D-ash) (Protein abelson)"
"34","GO:0060173",0.0213611605830905,0.998572269985308,2,21,"limb development","BP","limb development","developmental processes","P","PGEN_.00g167410; PGEN_.00g190430","Q9Y2V3; O75096","RX_HUMAN; LRP4_HUMAN","Retinal homeobox protein Rx (Retina and anterior neural fold homeobox protein); Low-density lipoprotein receptor-related protein 4 (LRP-4) (Multiple epidermal growth factor-like domains 7)"
"35","GO:0060665",0.0216818858448249,0.999882267829342,1,2,"regulation of branching involved in salivary gland morphogenesis by mesenchymal-epithelial signaling","BP","regulation of branching involved in salivary gland morphogenesis by mesenchymal-epithelial signaling","developmental processes","P","PGEN_.00g211830","P16056","MET_MOUSE","Hepatocyte growth factor receptor (HGF receptor) (EC 2.7.10.1) (HGF/SF receptor) (Proto-oncogene c-Met) (Scatter factor receptor) (SF receptor) (Tyrosine-protein kinase Met)"
"36","GO:0060762",0.0235609090479373,0.999791682887932,1,4,"regulation of branching involved in mammary gland duct morphogenesis","BP","","developmental processes","None","PGEN_.00g204470","P41221","WNT5A_HUMAN","Protein Wnt-5a"
"37","GO:0060028",0.0270060786434831,0.999756171179885,1,3,"convergent extension involved in axis elongation","BP","convergent extension involved in axis elongation","developmental processes","P","PGEN_.00g204470","P41221","WNT5A_HUMAN","Protein Wnt-5a"
"38","GO:0060686",0.027680464318031,0.999743762466354,1,3,"negative regulation of prostatic bud formation","BP","negative regulation of prostatic bud formation","developmental processes","P","PGEN_.00g204470","P41221","WNT5A_HUMAN","Protein Wnt-5a"
"39","GO:0021891",0.0280407817132635,0.999802438942355,1,2,"olfactory bulb interneuron development","BP","olfactory bulb interneuron development","developmental processes","P","PGEN_.00g204470","P41221","WNT5A_HUMAN","Protein Wnt-5a"
"40","GO:0030502",0.0283835744072231,0.999797543357036,1,2,"negative regulation of bone mineralization","BP","negative regulation of bone mineralization","developmental processes","P","PGEN_.00g252700","Q9ESQ5","TRPM4_RAT","Transient receptor potential cation channel subfamily M member 4 (Calcium-activated non-selective cation channel 1) (Long transient receptor potential channel 4) (LTrpC-4) (LTrpC4) (MLS2s) (Melastatin-like 2)"
"41","GO:0009953",0.029555391907463,0.997590056673424,2,32,"dorsal/ventral pattern formation","BP","dorsal/ventral pattern formation","developmental processes","P","PGEN_.00g014370; PGEN_.00g190430","Q11002; O75096","CANA_DROME; LRP4_HUMAN","Calpain-A (EC 3.4.22.-) (Calcium-activated neutral proteinase A) (CANP A) [Cleaved into: Calpain-A catalytic subunit]; Low-density lipoprotein receptor-related protein 4 (LRP-4) (Multiple epidermal growth factor-like domains 7)"
"42","GO:0014012",0.0296563757472842,0.999669088667041,1,4,"peripheral nervous system axon regeneration","BP","axon regeneration in the peripheral nervous system","developmental processes","P","PGEN_.00g149640","Q80YX1","TENA_MOUSE","Tenascin (TN) (Hexabrachion) (Tenascin-C) (TN-C)"
"43","GO:0030859",0.0305722385194166,0.999687013263258,1,3,"polarized epithelial cell differentiation","BP","polarized epithelial cell differentiation","developmental processes","P","PGEN_.00g049510","Q8TDM6","DLG5_HUMAN","Disks large homolog 5 (Discs large protein P-dlg) (Placenta and prostate DLG)"
"44","GO:0048341",0.0306336316304862,0.999685746113589,1,3,"paraxial mesoderm formation","BP","paraxial mesoderm formation","developmental processes","P","PGEN_.00g204470","P41221","WNT5A_HUMAN","Protein Wnt-5a"
"45","GO:0001764",0.0309673166708977,0.995207817518929,3,57,"neuron migration","BP","neuron migration","developmental processes","P","PGEN_.00g035760; PGEN_.00g211830; PGEN_.00g279870","Q13976; P16056; P00522","KGP1_HUMAN; MET_MOUSE; ABL_DROME","cGMP-dependent protein kinase 1 (cGK 1) (cGK1) (EC 2.7.11.12) (cGMP-dependent protein kinase I) (cGKI); Hepatocyte growth factor receptor (HGF receptor) (EC 2.7.10.1) (HGF/SF receptor) (Proto-oncogene c-Met) (Scatter factor receptor) (SF receptor) (Tyrosine-protein kinase Met); Tyrosine-protein kinase Abl (EC 2.7.10.2) (D-ash) (Protein abelson)"
"46","GO:0008595",0.0311166633497037,0.999635469306185,1,4,"anterior/posterior axis specification, embryo","BP","determination of anterior/posterior axis, embryo","developmental processes","P","PGEN_.00g204470","P41221","WNT5A_HUMAN","Protein Wnt-5a"
"47","GO:0048806",0.0321428183320906,0.99973985901878,1,2,"genitalia development","BP","genitalia development","developmental processes","P","PGEN_.00g204470","P41221","WNT5A_HUMAN","Protein Wnt-5a"
"48","GO:0060744",0.032639672403822,0.999642912039711,1,3,"mammary gland branching involved in thelarche","BP","","developmental processes","","PGEN_.00g204470","P41221","WNT5A_HUMAN","Protein Wnt-5a"
"49","GO:0060740",0.0326631610245911,0.999642394050603,1,3,"prostate gland epithelium morphogenesis","BP","","developmental processes","","PGEN_.00g149640","Q80YX1","TENA_MOUSE","Tenascin (TN) (Hexabrachion) (Tenascin-C) (TN-C)"
"50","GO:0060446",0.0349763593128043,0.999691519930578,1,2,"branching involved in open tracheal system development","BP","branching involved in open tracheal system development","developmental processes","P","PGEN_.00g078310","P35992","PTP10_DROME","Tyrosine-protein phosphatase 10D (EC 3.1.3.48) (Receptor-linked protein-tyrosine phosphatase 10D) (DPTP10D)"
"51","GO:0035317",0.037056259965551,0.99953879986384,1,3,"imaginal disc-derived wing hair organization","BP","imaginal disc-derived wing hair organization","developmental processes","P","PGEN_.00g227520","Q17LW0","MYO7A_AEDAE","Myosin-VIIa (Protein crinkled)"
"52","GO:0021854",0.0392990106892302,0.999352388791023,1,6,"hypothalamus development","BP","hypothalamus development","developmental processes","P","PGEN_.00g167410","Q9Y2V3","RX_HUMAN","Retinal homeobox protein Rx (Retina and anterior neural fold homeobox protein)"
"53","GO:0021871",0.039833545029579,0.999466394011804,1,3,"forebrain regionalization","BP","forebrain regionalization","developmental processes","P","PGEN_.00g208580","Q3L254","WNT7B_CHICK","Protein Wnt-7b"
"54","GO:0070307",0.0399324575398704,0.999463716177634,1,3,"lens fiber cell development","BP","lens fiber cell development","developmental processes","P","PGEN_.00g208580","Q3L254","WNT7B_CHICK","Protein Wnt-7b"
"55","GO:0007442",0.0402239623881451,0.999455784630413,1,3,"hindgut morphogenesis","BP","hindgut morphogenesis","developmental processes","P","PGEN_.00g204470","P41221","WNT5A_HUMAN","Protein Wnt-5a"
"56","GO:0060441",0.0462932043649081,0.999134402638895,1,5,"epithelial tube branching involved in lung morphogenesis","BP","branching involved in lung morphogenesis","developmental processes","P","PGEN_.00g049510","Q8TDM6","DLG5_HUMAN","Disks large homolog 5 (Discs large protein P-dlg) (Placenta and prostate DLG)"
"57","GO:0042733",0.0468641978309074,0.995101258070927,2,31,"embryonic digit morphogenesis","BP","embryonic digit morphogenesis","developmental processes","P","PGEN_.00g190430; PGEN_.00g204470","O75096; P41221","LRP4_HUMAN; WNT5A_HUMAN","Low-density lipoprotein receptor-related protein 4 (LRP-4) (Multiple epidermal growth factor-like domains 7); Protein Wnt-5a"
"58","GO:0045740",0.00363944688885074,0.999910176043628,2,11,"positive regulation of DNA replication","BP","positive regulation of DNA replication","DNA metabolism","P","PGEN_.00g024960; PGEN_.00g211830","Q6BK42; P16056","DDI1_DEBHA; MET_MOUSE","DNA damage-inducible protein 1 (EC 3.4.23.-); Hepatocyte growth factor receptor (HGF receptor) (EC 2.7.10.1) (HGF/SF receptor) (Proto-oncogene c-Met) (Scatter factor receptor) (SF receptor) (Tyrosine-protein kinase Met)"
"59","GO:0080111",0.0162323566628306,0.999912341696798,1,3,"DNA demethylation","BP","DNA demethylation","DNA metabolism","P","PGEN_.00g131030","Q9NXW9","ALKB4_HUMAN","Alpha-ketoglutarate-dependent dioxygenase alkB homolog 4 (Alkylated DNA repair protein alkB homolog 4) (DNA N6-methyl adenine demethylase ALKBH4) (EC 1.14.11.51) (Lysine-specific demethylase ALKBH4) (EC 1.14.11.-)"
"60","GO:0006313",0.0177013671890227,0.999869740701432,1,6,"transposition, DNA-mediated","BP","transposition, DNA-mediated","DNA metabolism","P","PGEN_.00g304970","D2GZW6","VRTN_AILME","Vertnin"
"61","GO:0007599",0.00331720409123166,1,1,1,"hemostasis","BP","hemostasis","other biological processes","P","PGEN_.00g043300","Q07076","ANXA7_MOUSE","Annexin A7 (Annexin VII) (Annexin-7) (Synexin)"
"62","GO:0045446",0.0038598074286221,1,1,1,"endothelial cell differentiation","BP","endothelial cell differentiation","other biological processes","P","PGEN_.00g165230","Q8IWY4","SCUB1_HUMAN","Signal peptide, CUB and EGF-like domain-containing protein 1"
"63","GO:0042752",0.00482453161583425,0.999631630965421,3,37,"regulation of circadian rhythm","BP","regulation of circadian rhythm","other biological processes","P","PGEN_.00g004840; PGEN_.00g072260; PGEN_.00g213360","P54646; Q5XXP2; Q14995","AAPK2_HUMAN; OPN4_PHOSU; NR1D2_HUMAN","5'-AMP-activated protein kinase catalytic subunit alpha-2 (AMPK subunit alpha-2) (EC 2.7.11.1) (Acetyl-CoA carboxylase kinase) (ACACA kinase) (EC 2.7.11.27) (Hydroxymethylglutaryl-CoA reductase kinase) (HMGCR kinase) (EC 2.7.11.31); Melanopsin (Opsin-4); Nuclear receptor subfamily 1 group D member 2 (Orphan nuclear hormone receptor BD73) (Rev-erb alpha-related receptor) (RVR) (Rev-erb-beta) (V-erbA-related protein 1-related) (EAR-1R)"
"64","GO:0002724",0.00667300064543184,1,1,1,"regulation of T cell cytokine production","BP","regulation of T cell cytokine production","other biological processes","P","PGEN_.00g252700","Q9ESQ5","TRPM4_RAT","Transient receptor potential cation channel subfamily M member 4 (Calcium-activated non-selective cation channel 1) (Long transient receptor potential channel 4) (LTrpC-4) (LTrpC4) (MLS2s) (Melastatin-like 2)"
"65","GO:0014812",0.0078819923351325,1,1,1,"muscle cell migration","BP","muscle cell migration","other biological processes","P","PGEN_.00g211830","P16056","MET_MOUSE","Hepatocyte growth factor receptor (HGF receptor) (EC 2.7.10.1) (HGF/SF receptor) (Proto-oncogene c-Met) (Scatter factor receptor) (SF receptor) (Tyrosine-protein kinase Met)"
"66","GO:0042310",0.0115240009158996,0.999955913056021,1,3,"vasoconstriction","BP","vasoconstriction","other biological processes","P","PGEN_.00g252700","Q9ESQ5","TRPM4_RAT","Transient receptor potential cation channel subfamily M member 4 (Calcium-activated non-selective cation channel 1) (Long transient receptor potential channel 4) (LTrpC-4) (LTrpC4) (MLS2s) (Melastatin-like 2)"
"67","GO:0032504",0.0145011405861605,0.9999475301221,1,2,"multicellular organism reproduction","BP","multicellular organism reproduction","other biological processes","P","PGEN_.00g015800","O76840","PPN1_CAEEL","Papilin (Abnormal cell migration protein 6)"
"68","GO:0032675",0.0145318149568171,0.999947307082892,1,2,"regulation of interleukin-6 production","BP","regulation of interleukin-6 production","other biological processes","P","PGEN_.00g211830","P16056","MET_MOUSE","Hepatocyte growth factor receptor (HGF receptor) (EC 2.7.10.1) (HGF/SF receptor) (Proto-oncogene c-Met) (Scatter factor receptor) (SF receptor) (Tyrosine-protein kinase Met)"
"69","GO:0009612",0.0146516016462707,0.9992040779993,2,19,"response to mechanical stimulus","BP","response to mechanical stimulus","other biological processes","P","PGEN_.00g029240; PGEN_.00g149640","Q86VZ4; Q80YX1","LRP11_HUMAN; TENA_MOUSE","Low-density lipoprotein receptor-related protein 11 (LRP-11); Tenascin (TN) (Hexabrachion) (Tenascin-C) (TN-C)"
"70","GO:0045165",0.0155722571535465,0.999122758581822,2,20,"cell fate commitment","BP","cell fate commitment","other biological processes","P","PGEN_.00g204470; PGEN_.00g208580","P41221; Q3L254","WNT5A_HUMAN; WNT7B_CHICK","Protein Wnt-5a; Protein Wnt-7b"
"71","GO:0055013",0.0172731043174929,0.999888335158232,1,4,"cardiac muscle cell development","BP","cardiac muscle cell development","other biological processes","P","PGEN_.00g211830","P16056","MET_MOUSE","Hepatocyte growth factor receptor (HGF receptor) (EC 2.7.10.1) (HGF/SF receptor) (Proto-oncogene c-Met) (Scatter factor receptor) (SF receptor) (Tyrosine-protein kinase Met)"
"72","GO:0010460",0.0175861571322211,0.999922708463399,1,2,"positive regulation of heart rate","BP","positive regulation of heart rate","other biological processes","P","PGEN_.00g252700","Q9ESQ5","TRPM4_RAT","Transient receptor potential cation channel subfamily M member 4 (Calcium-activated non-selective cation channel 1) (Long transient receptor potential channel 4) (LTrpC-4) (LTrpC4) (MLS2s) (Melastatin-like 2)"
"73","GO:0002407",0.0179419602544864,0.99989282169532,1,3,"dendritic cell chemotaxis","BP","dendritic cell chemotaxis","other biological processes","P","PGEN_.00g252700","Q9ESQ5","TRPM4_RAT","Transient receptor potential cation channel subfamily M member 4 (Calcium-activated non-selective cation channel 1) (Long transient receptor potential channel 4) (LTrpC-4) (LTrpC4) (MLS2s) (Melastatin-like 2)"
"74","GO:0010447",0.018384263891972,0.999915499392578,1,2,"response to acidic pH","BP","response to acidity","other biological processes","P","PGEN_.00g277910","Q61165","SL9A1_MOUSE","Sodium/hydrogen exchanger 1 (Na(+)/H(+) exchanger 1) (NHE-1) (Solute carrier family 9 member 1)"
"75","GO:0034613",0.0224392101797772,0.998438055827089,2,26,"cellular protein localization","BP","cellular protein localization","other biological processes","P","PGEN_.00g204470; PGEN_.00g334400","P41221; O01761","WNT5A_HUMAN; UNC89_CAEEL","Protein Wnt-5a; Muscle M-line assembly protein unc-89 (Obscurin) (Uncoordinated protein 89)"
"76","GO:0030277",0.0248245361011915,0.999845416094281,1,2,"maintenance of gastrointestinal epithelium","BP","maintenance of gastrointestinal epithelium","other biological processes","P","PGEN_.00g051430","Q2HJF4","PBLD_BOVIN","Phenazine biosynthesis-like domain-containing protein (EC 5.1.-.-)"
"77","GO:0006883",0.0274599410988237,0.999747854411661,1,3,"cellular sodium ion homeostasis","BP","cellular sodium ion homeostasis","other biological processes","P","PGEN_.00g277910","Q61165","SL9A1_MOUSE","Sodium/hydrogen exchanger 1 (Na(+)/H(+) exchanger 1) (NHE-1) (Solute carrier family 9 member 1)"
"78","GO:0002026",0.0280658305085202,0.999736531672044,1,3,"regulation of the force of heart contraction","BP","regulation of the force of heart contraction","other biological processes","P","PGEN_.00g277910","Q61165","SL9A1_MOUSE","Sodium/hydrogen exchanger 1 (Na(+)/H(+) exchanger 1) (NHE-1) (Solute carrier family 9 member 1)"
"79","GO:0045907",0.0282438189946091,0.99966698166404,1,6,"positive regulation of vasoconstriction","BP","positive regulation of vasoconstriction","other biological processes","P","PGEN_.00g252700","Q9ESQ5","TRPM4_RAT","Transient receptor potential cation channel subfamily M member 4 (Calcium-activated non-selective cation channel 1) (Long transient receptor potential channel 4) (LTrpC-4) (LTrpC4) (MLS2s) (Melastatin-like 2)"
"80","GO:0060067",0.0290324193301521,0.999788110398912,1,2,"cervix development","BP","cervix development","other biological processes","P","PGEN_.00g204470","P41221","WNT5A_HUMAN","Protein Wnt-5a"
"81","GO:0032703",0.0307966244420449,0.999682369357479,1,3,"negative regulation of interleukin-2 production","BP","negative regulation of interleukin-2 production","other biological processes","P","PGEN_.00g013900","Q80TN7","NAV3_MOUSE","Neuron navigator 3 (Pore membrane and/or filament-interacting-like protein 1)"
"82","GO:0014070",0.0308366724278028,0.997427602822115,2,32,"response to organic cyclic compound","BP","response to organic cyclic substance","other biological processes","P","PGEN_.00g043300; PGEN_.00g277910","Q07076; Q61165","ANXA7_MOUSE; SL9A1_MOUSE","Annexin A7 (Annexin VII) (Annexin-7) (Synexin); Sodium/hydrogen exchanger 1 (Na(+)/H(+) exchanger 1) (NHE-1) (Solute carrier family 9 member 1)"
"83","GO:0014722",0.0326921130172535,0.999730815385495,1,2,"regulation of skeletal muscle contraction by calcium ion signaling","BP","regulation of skeletal muscle contraction by calcium ion signaling","other biological processes","P","PGEN_.00g334400","O01761","UNC89_CAEEL","Muscle M-line assembly protein unc-89 (Obscurin) (Uncoordinated protein 89)"
"84","GO:0045989",0.0326921130172535,0.999730815385495,1,2,"positive regulation of striated muscle contraction","BP","positive regulation of striated muscle contraction","other biological processes","P","PGEN_.00g334400","O01761","UNC89_CAEEL","Muscle M-line assembly protein unc-89 (Obscurin) (Uncoordinated protein 89)"
"85","GO:0060065",0.0330372405031574,0.999634093193627,1,3,"uterus development","BP","uterus development","other biological processes","P","PGEN_.00g204470","P41221","WNT5A_HUMAN","Protein Wnt-5a"
"86","GO:0030435",0.0357493561958132,0.999486057629484,1,5,"sporulation resulting in formation of a cellular spore","BP","sporulation resulting in formation of a cellular spore","other biological processes","P","PGEN_.00g322650","P22699","GUN6_DICDI","Endoglucanase (EC 3.2.1.4) (Cellulase) (Endo-1,4-beta-glucanase) (Spore germination protein 270-6)"
"87","GO:0070293",0.0372709140512721,0.99953339507646,1,3,"renal absorption","BP","renal absorption","other biological processes","P","PGEN_.00g065950","O73925","KCNQ1_SQUAC","Potassium voltage-gated channel subfamily KQT member 1 (IKs producing slow voltage-gated potassium channel subunit alpha KvLQT1) (KQT-like 1) (Voltage-gated potassium channel subunit Kv7.1)"
