"","GO.IDs","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","Cat","GO.Slim.Term","gene","uniprot","uniprot_taxa.id","uniprot.name"
"18","GO:0007638",0.0202742963775153,0.998882661265538,2,7,"mechanosensory behavior","BP","P","other biological processes","PGEN_.00g282660; PGEN_.00g110560","Q27433; Q967D7","MEC2_CAEEL; TUTL_DROME","Mechanosensory protein 2; Protein turtle"
"19","GO:0045446",0.0215344244765181,1,1,1,"endothelial cell differentiation","BP","P","other biological processes","PGEN_.00g165230","Q8IWY4","SCUB1_HUMAN","Signal peptide, CUB and EGF-like domain-containing protein 1"
"20","GO:0060026",0.0258198172399964,0.998273366424894,2,9,"convergent extension","BP","P","other biological processes","PGEN_.00g010610; PGEN_.00g215970","O75581; Q6TEN1","LRP6_HUMAN; RAP1B_DANRE","Low-density lipoprotein receptor-related protein 6 (LRP-6); Ras-related protein Rap-1b"
"21","GO:0033500",0.0323020558982373,1,1,1,"carbohydrate homeostasis","BP","P","other biological processes","PGEN_.00g179200","Q68ED3","PAPD5_MOUSE","Terminal nucleotidyltransferase 4B (Non-canonical poly(A) RNA polymerase PAPD5) (EC 2.7.7.19) (PAP-associated domain-containing protein 5) (Terminal guanylyltransferase) (EC 2.7.7.-) (Terminal uridylyltransferase 3) (TUTase 3) (Topoisomerase-related function protein 4-2) (TRF4-2)"
"22","GO:0001770",0.0352619556049385,1,1,1,"establishment of natural killer cell polarity","BP","P","other biological processes","PGEN_.00g192760","Q96L92","SNX27_HUMAN","Sorting nexin-27"
"23","GO:0030593",0.0393630561516848,0.996621942716052,2,10,"neutrophil chemotaxis","BP","P","other biological processes","PGEN_.00g007340; PGEN_.00g339840","Q08499; O60331","PDE4D_HUMAN; PI51C_HUMAN","cAMP-specific 3',5'-cyclic phosphodiesterase 4D (EC 3.1.4.53) (DPDE3) (PDE43); Phosphatidylinositol 4-phosphate 5-kinase type-1 gamma (PIP5K1-gamma) (PtdIns(4)P-5-kinase 1 gamma) (EC 2.7.1.68) (Phosphatidylinositol 4-phosphate 5-kinase type I gamma) (PIP5KIgamma)"
"24","GO:0060325",0.0406094582493639,0.996526752977102,2,9,"face morphogenesis","BP","P","other biological processes","PGEN_.00g010610; PGEN_.00g008040","O75581; Q6KCD5","LRP6_HUMAN; NIPBL_MOUSE","Low-density lipoprotein receptor-related protein 6 (LRP-6); Nipped-B-like protein (Delangin homolog) (SCC2 homolog)"
"25","GO:0044089",0.047224026883177,1,1,1,"positive regulation of cellular component biogenesis","BP","P","other biological processes","PGEN_.00g256810","O55203","LDB2_MOUSE","LIM domain-binding protein 2 (LDB-2) (Carboxyl-terminal LIM domain-binding protein 1) (CLIM-1) (LIM domain-binding factor CLIM1)"
"26","GO:0060285",0.0487985762365187,0.995286130084491,2,10,"cilium-dependent cell motility","BP","P","other biological processes","PGEN_.00g031880; PGEN_.00g290410","B4J4Y2; Q9P2D7","KTU_DROGR; DYH1_HUMAN","Protein kintoun (Dynein assembly factor 2, axonemal homolog) (PP1-interacting protein 20); Dynein heavy chain 1, axonemal (Axonemal beta dynein heavy chain 1) (Ciliary dynein heavy chain 1) (Heat shock regulated protein 1) (HSRF-1) (hDHC7)"
"27","GO:0046649",0.0493779987589912,1,1,1,"lymphocyte activation","BP","P","other biological processes","PGEN_.00g045860","Q8CIS0","CAR11_MOUSE","Caspase recruitment domain-containing protein 11"
"28","GO:0006520",0.017633948641816,0.997912079757009,3,20,"cellular amino acid metabolic process","BP","P","other metabolic processes","PGEN_.00g340030; PGEN_.00g060400; PGEN_.00g273600","Q05733; Q93099; O08651","DCHS_DROME; HGD_HUMAN; SERA_RAT","Histidine decarboxylase (HDC) (EC 4.1.1.22); Homogentisate 1,2-dioxygenase (EC 1.13.11.5) (Homogentisate oxygenase) (Homogentisic acid oxidase) (Homogentisicase); D-3-phosphoglycerate dehydrogenase (3-PGDH) (EC 1.1.1.95)"
"29","GO:0006744",0.0195172576263372,0.998852558366869,2,10,"ubiquinone biosynthetic process","BP","P","other metabolic processes","PGEN_.00g108510; PGEN_.00g069590","B0KTX4; Q5U2R1","UBIG_PSEPG; DLP1_RAT","Ubiquinone biosynthesis O-methyltransferase (2-polyprenyl-6-hydroxyphenol methylase) (EC 2.1.1.222) (3-demethylubiquinone 3-O-methyltransferase) (EC 2.1.1.64); Decaprenyl-diphosphate synthase subunit 2 (EC 2.5.1.91) (All-trans-decaprenyl-diphosphate synthase subunit 2) (Decaprenyl pyrophosphate synthase subunit 2)"
"30","GO:0042774",0.0215344244765181,1,1,1,"plasma membrane ATP synthesis coupled electron transport","BP","P","other metabolic processes","PGEN_.00g027930","Q2M2S5","COA6_BOVIN","Cytochrome c oxidase assembly factor 6 homolog"
"31","GO:0006666",0.0215344301496066,1,1,1,"3-keto-sphinganine metabolic process","BP","P","other metabolic processes","PGEN_.00g178150","Q06136","KDSR_HUMAN","3-ketodihydrosphingosine reductase (KDS reductase) (EC 1.1.1.102) (3-dehydrosphinganine reductase) (Follicular variant translocation protein 1) (FVT-1) (Short chain dehydrogenase/reductase family 35C member 1)"
"32","GO:0009710",0.0215347684234734,1,1,1,"tropane alkaloid biosynthetic process","BP","P","other metabolic processes","PGEN_.00g279140","P50164","TRN2_HYONI","Tropinone reductase 2 (EC 1.1.1.236) (Tropinone reductase II) (TR-II)"
"33","GO:0010028",0.0215359916841374,1,1,1,"xanthophyll cycle","BP","P","other metabolic processes","PGEN_.00g010060","Q8GX78","ANTR2_ARATH","Ascorbate transporter, chloroplastic (Phosphate transporter PHT4;4) (AtPHT4;4) (Probable anion transporter 2)"
"34","GO:0009236",0.0222367831411238,1,1,1,"cobalamin biosynthetic process","BP","P","other metabolic processes","PGEN_.00g095520","Q8C7H1","MMAA_MOUSE","Methylmalonic aciduria type A homolog, mitochondrial (EC 3.6.-.-)"
"35","GO:0034638",0.0229936071056007,1,1,1,"phosphatidylcholine catabolic process","BP","P","other metabolic processes","PGEN_.00g169510","Q8NCC3","PAG15_HUMAN","Group XV phospholipase A2 (EC 2.3.1.-) (1-O-acylceramide synthase) (ACS) (LCAT-like lysophospholipase) (LLPL) (Lysophospholipase 3) (Lysosomal phospholipase A2) (LPLA2)"
"36","GO:0046338",0.0229936071056007,1,1,1,"phosphatidylethanolamine catabolic process","BP","P","other metabolic processes","PGEN_.00g169510","Q8NCC3","PAG15_HUMAN","Group XV phospholipase A2 (EC 2.3.1.-) (1-O-acylceramide synthase) (ACS) (LCAT-like lysophospholipase) (LLPL) (Lysophospholipase 3) (Lysosomal phospholipase A2) (LPLA2)"
"37","GO:0070221",0.0267556766694274,1,1,1,"sulfide oxidation, using sulfide:quinone oxidoreductase","BP","P","other metabolic processes","PGEN_.00g150990","Q9Y6N5","SQOR_HUMAN","Sulfide:quinone oxidoreductase, mitochondrial (SQOR) (EC 1.8.5.-) (Sulfide dehydrogenase-like) (Sulfide quinone oxidoreductase)"
"38","GO:0006572",0.0330556674961615,1,1,1,"tyrosine catabolic process","BP","P","other metabolic processes","PGEN_.00g060400","Q93099","HGD_HUMAN","Homogentisate 1,2-dioxygenase (EC 1.13.11.5) (Homogentisate oxygenase) (Homogentisic acid oxidase) (Homogentisicase)"
"39","GO:0006566",0.0338489029182761,1,1,1,"threonine metabolic process","BP","P","other metabolic processes","PGEN_.00g273600","O08651","SERA_RAT","D-3-phosphoglycerate dehydrogenase (3-PGDH) (EC 1.1.1.95)"
"40","GO:0009070",0.0338489029182761,1,1,1,"serine family amino acid biosynthetic process","BP","P","other metabolic processes","PGEN_.00g273600","O08651","SERA_RAT","D-3-phosphoglycerate dehydrogenase (3-PGDH) (EC 1.1.1.95)"
"41","GO:0009448",0.0338489029182761,1,1,1,"gamma-aminobutyric acid metabolic process","BP","P","other metabolic processes","PGEN_.00g273600","O08651","SERA_RAT","D-3-phosphoglycerate dehydrogenase (3-PGDH) (EC 1.1.1.95)"
"42","GO:0042126",0.0426064462620249,0.999537313515321,1,2,"nitrate metabolic process","BP","P","other metabolic processes","PGEN_.00g028020","Q1LZH1","MARC2_BOVIN","Mitochondrial amidoxime reducing component 2 (mARC2) (EC 1.7.-.-) (Molybdenum cofactor sulfurase C-terminal domain-containing protein 2) (MOSC domain-containing protein 2) (Moco sulfurase C-terminal domain-containing protein 2)"
"43","GO:1901307",0.0464759729867295,1,1,1,"positive regulation of spermidine biosynthetic process","BP","P","other metabolic processes","PGEN_.00g243110","Q6QHF9","PAOX_HUMAN","Peroxisomal N(1)-acetyl-spermine/spermidine oxidase (EC 1.5.3.13) (Polyamine oxidase)"
"44","GO:0070813",0.0480363657616851,0.999410206371926,1,2,"hydrogen sulfide metabolic process","BP","P","other metabolic processes","PGEN_.00g150990","Q9Y6N5","SQOR_HUMAN","Sulfide:quinone oxidoreductase, mitochondrial (SQOR) (EC 1.8.5.-) (Sulfide dehydrogenase-like) (Sulfide quinone oxidoreductase)"
"45","GO:0009249",0.0215344244765181,1,1,1,"protein lipoylation","BP","P","protein metabolism","PGEN_.00g236910","Q9VN27","LIPT2_DROME","Putative lipoyltransferase 2, mitochondrial (EC 2.3.1.181) (Lipoate-protein ligase B) (Lipoyl/octanoyl transferase) (Octanoyl-[acyl-carrier-protein]-protein N-octanoyltransferase)"
"46","GO:0050651",0.0215344244765181,1,1,1,"dermatan sulfate proteoglycan biosynthetic process","BP","P","protein metabolism","PGEN_.00g032130","O94766","B3GA3_HUMAN","Galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase 3 (EC 2.4.1.135) (Beta-1,3-glucuronyltransferase 3) (Glucuronosyltransferase I) (GlcAT-I) (UDP-GlcUA:Gal beta-1,3-Gal-R glucuronyltransferase) (GlcUAT-I)"
"47","GO:0018272",0.0305235522037138,1,1,1,"protein-pyridoxal-5-phosphate linkage via peptidyl-N6-pyridoxal phosphate-L-lysine","BP","P","protein metabolism","PGEN_.00g186780","Q58DW2","CGL_BOVIN","Cystathionine gamma-lyase (EC 4.4.1.1) (Cysteine-protein sulfhydrase) (Gamma-cystathionase)"
"48","GO:0044524",0.0305235522037138,1,1,1,"protein sulfhydration","BP","P","protein metabolism","PGEN_.00g186780","Q58DW2","CGL_BOVIN","Cystathionine gamma-lyase (EC 4.4.1.1) (Cysteine-protein sulfhydrase) (Gamma-cystathionase)"
"49","GO:0043968",0.031388625892167,0.997579348291949,2,11,"histone H2A acetylation","BP","P","protein metabolism","PGEN_.00g273340; PGEN_.00g122490","Q9Y4A5; Q9H2F5","TRRAP_HUMAN; EPC1_HUMAN","Transformation/transcription domain-associated protein (350/400 kDa PCAF-associated factor) (PAF350/400) (STAF40) (Tra1 homolog); Enhancer of polycomb homolog 1"
"50","GO:0000454",0.0215344244765181,1,1,1,"snoRNA guided rRNA pseudouridine synthesis","BP","P","RNA metabolism","PGEN_.00g054230","Q9CY66","GAR1_MOUSE","H/ACA ribonucleoprotein complex subunit 1 (Nucleolar protein family A member 1) (snoRNP protein GAR1)"
"51","GO:0043629",0.0323020558982373,1,1,1,"ncRNA polyadenylation","BP","P","RNA metabolism","PGEN_.00g179200","Q68ED3","PAPD5_MOUSE","Terminal nucleotidyltransferase 4B (Non-canonical poly(A) RNA polymerase PAPD5) (EC 2.7.7.19) (PAP-associated domain-containing protein 5) (Terminal guanylyltransferase) (EC 2.7.7.-) (Terminal uridylyltransferase 3) (TUTase 3) (Topoisomerase-related function protein 4-2) (TRF4-2)"
"52","GO:0043630",0.0323020558982373,1,1,1,"ncRNA polyadenylation involved in polyadenylation-dependent ncRNA catabolic process","BP","P","RNA metabolism","PGEN_.00g179200","Q68ED3","PAPD5_MOUSE","Terminal nucleotidyltransferase 4B (Non-canonical poly(A) RNA polymerase PAPD5) (EC 2.7.7.19) (PAP-associated domain-containing protein 5) (Terminal guanylyltransferase) (EC 2.7.7.-) (Terminal uridylyltransferase 3) (TUTase 3) (Topoisomerase-related function protein 4-2) (TRF4-2)"
"53","GO:0060212",0.0323020558982373,1,1,1,"negative regulation of nuclear-transcribed mRNA poly(A) tail shortening","BP","P","RNA metabolism","PGEN_.00g179200","Q68ED3","PAPD5_MOUSE","Terminal nucleotidyltransferase 4B (Non-canonical poly(A) RNA polymerase PAPD5) (EC 2.7.7.19) (PAP-associated domain-containing protein 5) (Terminal guanylyltransferase) (EC 2.7.7.-) (Terminal uridylyltransferase 3) (TUTase 3) (Topoisomerase-related function protein 4-2) (TRF4-2)"
"54","GO:0071050",0.0323020558982373,1,1,1,"snoRNA polyadenylation","BP","P","RNA metabolism","PGEN_.00g179200","Q68ED3","PAPD5_MOUSE","Terminal nucleotidyltransferase 4B (Non-canonical poly(A) RNA polymerase PAPD5) (EC 2.7.7.19) (PAP-associated domain-containing protein 5) (Terminal guanylyltransferase) (EC 2.7.7.-) (Terminal uridylyltransferase 3) (TUTase 3) (Topoisomerase-related function protein 4-2) (TRF4-2)"
"55","GO:0071076",0.0323020558982373,1,1,1,"RNA 3' uridylation","BP","P","RNA metabolism","PGEN_.00g179200","Q68ED3","PAPD5_MOUSE","Terminal nucleotidyltransferase 4B (Non-canonical poly(A) RNA polymerase PAPD5) (EC 2.7.7.19) (PAP-associated domain-containing protein 5) (Terminal guanylyltransferase) (EC 2.7.7.-) (Terminal uridylyltransferase 3) (TUTase 3) (Topoisomerase-related function protein 4-2) (TRF4-2)"
"56","GO:0010286",0.0430803742408247,1,1,1,"heat acclimation","BP","P","stress response","PGEN_.00g110700","G5EFF5","DAF12_CAEEL","Nuclear hormone receptor family member daf-12 (Abnormal dauer formation protein 12)"
"57","GO:0015711",0.00667209907261965,0.999805768175185,2,6,"organic anion transport","BP","P","transport","PGEN_.00g022020; PGEN_.00g110470","Q8BGD4; Q8BGD4","SO4C1_MOUSE; SO4C1_MOUSE","Solute carrier organic anion transporter family member 4C1 (Oatp-R) (Solute carrier family 21 member 20); Solute carrier organic anion transporter family member 4C1 (Oatp-R) (Solute carrier family 21 member 20)"
"58","GO:0043252",0.0242396065143876,0.998400134799289,2,10,"sodium-independent organic anion transport","BP","P","transport","PGEN_.00g022020; PGEN_.00g110470","Q8BGD4; Q8BGD4","SO4C1_MOUSE; SO4C1_MOUSE","Solute carrier organic anion transporter family member 4C1 (Oatp-R) (Solute carrier family 21 member 20); Solute carrier organic anion transporter family member 4C1 (Oatp-R) (Solute carrier family 21 member 20)"
"59","GO:0072383",0.0311208307073145,0.997698051557109,2,9,"plus-end-directed vesicle transport along microtubule","BP","P","transport","PGEN_.00g267550; PGEN_.00g243530","E9Q5G3; E9Q5G3","KIF23_MOUSE; KIF23_MOUSE","Kinesin-like protein KIF23; Kinesin-like protein KIF23"
"60","GO:0048260",0.0451904320655204,0.996148197554575,2,7,"positive regulation of receptor-mediated endocytosis","BP","P","transport","PGEN_.00g343270; PGEN_.00g051300","P54939; Q6YKA8","TLN1_CHICK; DRK_DROSI","Talin-1; Protein E(sev)2B (Downstream of receptor kinase) (Protein enhancer of sevenless 2B) (SH2-SH3 adapter protein drk)"
"61","GO:1904878",0.0220696380931988,1,1,1,"negative regulation of calcium ion transmembrane transport via high voltage-gated calcium channel","BP",NA,NA,"PGEN_.00g329100","Q80UK0","SESD1_MOUSE","SEC14 domain and spectrin repeat-containing protein 1 (Huntingtin-interacting protein-like protein)"
"62","GO:0061589",0.0278374832607164,0.998407076238672,2,5,"calcium activated phosphatidylserine scrambling","BP",NA,NA,"PGEN_.00g319570; PGEN_.00g077330","Q14AT5; Q8C5H1","ANO7_MOUSE; ANO4_MOUSE","Anoctamin-7 (New gene expressed in prostate homolog) (Transmembrane protein 16G); Anoctamin-4 (Transmembrane protein 16D)"
"63","GO:0061590",0.0278374832607164,0.998407076238672,2,5,"calcium activated phosphatidylcholine scrambling","BP",NA,NA,"PGEN_.00g319570; PGEN_.00g077330","Q14AT5; Q8C5H1","ANO7_MOUSE; ANO4_MOUSE","Anoctamin-7 (New gene expressed in prostate homolog) (Transmembrane protein 16G); Anoctamin-4 (Transmembrane protein 16D)"
"64","GO:0061591",0.0278374832607164,0.998407076238672,2,5,"calcium activated galactosylceramide scrambling","BP",NA,NA,"PGEN_.00g319570; PGEN_.00g077330","Q14AT5; Q8C5H1","ANO7_MOUSE; ANO4_MOUSE","Anoctamin-7 (New gene expressed in prostate homolog) (Transmembrane protein 16G); Anoctamin-4 (Transmembrane protein 16D)"
"65","GO:1905344",0.0321910379903096,1,1,1,"prostaglandin catabolic process","BP",NA,NA,"PGEN_.00g279730","Q5R6S0","ABHGA_PONAB","Phosphatidylserine lipase ABHD16A (EC 3.1.-.-) (Alpha/beta hydrolase domain-containing protein 16A) (Abhydrolase domain-containing protein 16A) (HLA-B-associated transcript 5 homolog) (Monoacylglycerol lipase ABHD16A) (EC 3.1.1.23)"
"66","GO:0097149",0.0169776090700978,0.999092335120562,2,9,"centralspindlin complex","CC","C","cytoskeleton","PGEN_.00g267550; PGEN_.00g243530","E9Q5G3; E9Q5G3","KIF23_MOUSE; KIF23_MOUSE","Kinesin-like protein KIF23; Kinesin-like protein KIF23"
"67","GO:0000235",0.0426061698804681,0.999537319584266,1,2,"astral microtubule","CC","C","cytoskeleton","PGEN_.00g274530","P06603","TBA1_DROME","Tubulin alpha-1 chain"
"68","GO:0071782",0.0316603319792165,1,1,1,"endoplasmic reticulum tubular network","CC","C","ER/Golgi","PGEN_.00g329020","P70168","IMB1_MOUSE","Importin subunit beta-1 (Karyopherin subunit beta-1) (Nuclear factor p97) (Pore targeting complex 97 kDa subunit) (PTAC97) (SCG)"
"69","GO:0072492",0.0215344244765181,1,1,1,"host cell mitochondrial intermembrane space","CC","C","non-structural extracellular","PGEN_.00g027930","Q2M2S5","COA6_BOVIN","Cytochrome c oxidase assembly factor 6 homolog"
"70","GO:0035267",0.0313030342682316,0.997589513366319,2,11,"NuA4 histone acetyltransferase complex","CC","C","nucleus","PGEN_.00g273340; PGEN_.00g122490","Q9Y4A5; Q9H2F5","TRRAP_HUMAN; EPC1_HUMAN","Transformation/transcription domain-associated protein (350/400 kDa PCAF-associated factor) (PAF350/400) (STAF40) (Tra1 homolog); Enhancer of polycomb homolog 1"
"71","GO:0031499",0.0323020558982373,1,1,1,"TRAMP complex","CC","C","nucleus","PGEN_.00g179200","Q68ED3","PAPD5_MOUSE","Terminal nucleotidyltransferase 4B (Non-canonical poly(A) RNA polymerase PAPD5) (EC 2.7.7.19) (PAP-associated domain-containing protein 5) (Terminal guanylyltransferase) (EC 2.7.7.-) (Terminal uridylyltransferase 3) (TUTase 3) (Topoisomerase-related function protein 4-2) (TRF4-2)"
"72","GO:0031429",0.0448932646168911,0.999485703872948,1,2,"box H/ACA snoRNP complex","CC","C","nucleus","PGEN_.00g054230","Q9CY66","GAR1_MOUSE","H/ACA ribonucleoprotein complex subunit 1 (Nucleolar protein family A member 1) (snoRNP protein GAR1)"
"73","GO:0032777",0.0468273686818622,0.999439873127396,1,2,"Piccolo NuA4 histone acetyltransferase complex","CC","C","nucleus","PGEN_.00g122490","Q9H2F5","EPC1_HUMAN","Enhancer of polycomb homolog 1"
"74","GO:0070877",0.047687871707139,0.999418838302315,1,2,"microprocessor complex","CC","C","nucleus","PGEN_.00g288630","Q5HZJ0","RNC_MOUSE","Ribonuclease 3 (EC 3.1.26.3) (Protein Drosha) (Ribonuclease III) (RNase III)"
"75","GO:0009941",0.0215359916841374,1,1,1,"chloroplast envelope","CC","C","other cellular component","PGEN_.00g010060","Q8GX78","ANTR2_ARATH","Ascorbate transporter, chloroplastic (Phosphate transporter PHT4;4) (AtPHT4;4) (Probable anion transporter 2)"
"76","GO:0009501",0.023105349337118,1,1,1,"amyloplast","CC","C","other cellular component","PGEN_.00g179250","A0A0H5BMX5","TCEB1_TULGE","Tuliposide B-converting enzyme 1, amyloplastic (TgTCEB1) (EC 4.2.99.23)"
"77","GO:0030686",0.0423053641932173,0.996299382244548,2,9,"90S preribosome","CC","C","other cellular component","PGEN_.00g270150; PGEN_.00g065870","Q5XGC9; O75691","SRFB1_XENTR; UTP20_HUMAN","Serum response factor-binding protein 1 (SRF-dependent transcription regulation-associated protein); Small subunit processome component 20 homolog (Down-regulated in metastasis protein) (Novel nucleolar protein 73) (NNP73) (Protein Key-1A6)"
"78","GO:0034704",0.000944552385246063,0.999977336674969,3,5,"calcium channel complex","CC","C","other membranes","PGEN_.00g329100; PGEN_.00g007340; PGEN_.00g036790","Q80UK0; Q08499; Q08BI9","SESD1_MOUSE; PDE4D_HUMAN; MCU_DANRE","SEC14 domain and spectrin repeat-containing protein 1 (Huntingtin-interacting protein-like protein); cAMP-specific 3',5'-cyclic phosphodiesterase 4D (EC 3.1.4.53) (DPDE3) (PDE43); Calcium uniporter protein, mitochondrial"
"79","GO:0042101",0.0215344244765181,1,1,1,"T cell receptor complex","CC","C","other membranes","PGEN_.00g263460","Q8R5A3","AB1IP_MOUSE","Amyloid beta A4 precursor protein-binding family B member 1-interacting protein (APBB1-interacting protein 1) (Proline-rich EVH1 ligand 1) (PREL-1) (Proline-rich protein 48)"
"80","GO:0009706",0.0215359916841374,1,1,1,"chloroplast inner membrane","CC","C","other membranes","PGEN_.00g010060","Q8GX78","ANTR2_ARATH","Ascorbate transporter, chloroplastic (Phosphate transporter PHT4;4) (AtPHT4;4) (Probable anion transporter 2)"
"81","GO:0001772",0.0236644489288206,0.998530219415557,2,8,"immunological synapse","CC","C","plasma membrane","PGEN_.00g045860; PGEN_.00g192760","Q8CIS0; Q96L92","CAR11_MOUSE; SNX27_HUMAN","Caspase recruitment domain-containing protein 11; Sorting nexin-27"
"82","GO:0098984",0.0215344244765181,1,1,1,"neuron to neuron synapse","CC",NA,NA,"PGEN_.00g127530","Q9Z1L4","XLRS1_MOUSE","Retinoschisin (X-linked juvenile retinoschisis protein homolog)"
"83","GO:1990234",0.0426566374303885,0.999536210714184,1,2,"transferase complex","CC",NA,NA,"PGEN_.00g069590","Q5U2R1","DLP1_RAT","Decaprenyl-diphosphate synthase subunit 2 (EC 2.5.1.91) (All-trans-decaprenyl-diphosphate synthase subunit 2) (Decaprenyl pyrophosphate synthase subunit 2)"
"84","GO:0090661",0.0448932646168911,0.999485703872948,1,2,"box H/ACA telomerase RNP complex","CC",NA,NA,"PGEN_.00g054230","Q9CY66","GAR1_MOUSE","H/ACA ribonucleoprotein complex subunit 1 (Nucleolar protein family A member 1) (snoRNP protein GAR1)"
