"","GO.IDs","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","Cat","GO.Slim.Term"
"52","GO:0043630",0.0323020558982373,1,1,1,"ncRNA polyadenylation involved in polyadenylation-dependent ncRNA catabolic process","BP","P","RNA metabolism"
"53","GO:0060212",0.0323020558982373,1,1,1,"negative regulation of nuclear-transcribed mRNA poly(A) tail shortening","BP","P","RNA metabolism"
"54","GO:0071050",0.0323020558982373,1,1,1,"snoRNA polyadenylation","BP","P","RNA metabolism"
"55","GO:0071076",0.0323020558982373,1,1,1,"RNA 3' uridylation","BP","P","RNA metabolism"
"56","GO:0010286",0.0430803742408247,1,1,1,"heat acclimation","BP","P","stress response"
"57","GO:0015711",0.00667209907261965,0.999805768175185,2,6,"organic anion transport","BP","P","transport"
"58","GO:0043252",0.0242396065143876,0.998400134799289,2,10,"sodium-independent organic anion transport","BP","P","transport"
"59","GO:0072383",0.0311208307073145,0.997698051557109,2,9,"plus-end-directed vesicle transport along microtubule","BP","P","transport"
"60","GO:0048260",0.0451904320655204,0.996148197554575,2,7,"positive regulation of receptor-mediated endocytosis","BP","P","transport"
"61","GO:1904878",0.0220696380931988,1,1,1,"negative regulation of calcium ion transmembrane transport via high voltage-gated calcium channel","BP",NA,NA
"62","GO:0061589",0.0278374832607164,0.998407076238672,2,5,"calcium activated phosphatidylserine scrambling","BP",NA,NA
"63","GO:0061590",0.0278374832607164,0.998407076238672,2,5,"calcium activated phosphatidylcholine scrambling","BP",NA,NA
"64","GO:0061591",0.0278374832607164,0.998407076238672,2,5,"calcium activated galactosylceramide scrambling","BP",NA,NA
"65","GO:1905344",0.0321910379903096,1,1,1,"prostaglandin catabolic process","BP",NA,NA
"66","GO:0097149",0.0169776090700978,0.999092335120562,2,9,"centralspindlin complex","CC","C","cytoskeleton"
"67","GO:0000235",0.0426061698804681,0.999537319584266,1,2,"astral microtubule","CC","C","cytoskeleton"
"68","GO:0071782",0.0316603319792165,1,1,1,"endoplasmic reticulum tubular network","CC","C","ER/Golgi"
"69","GO:0072492",0.0215344244765181,1,1,1,"host cell mitochondrial intermembrane space","CC","C","non-structural extracellular"
"70","GO:0035267",0.0313030342682316,0.997589513366319,2,11,"NuA4 histone acetyltransferase complex","CC","C","nucleus"
"71","GO:0031499",0.0323020558982373,1,1,1,"TRAMP complex","CC","C","nucleus"
"72","GO:0031429",0.0448932646168911,0.999485703872948,1,2,"box H/ACA snoRNP complex","CC","C","nucleus"
"73","GO:0032777",0.0468273686818622,0.999439873127396,1,2,"Piccolo NuA4 histone acetyltransferase complex","CC","C","nucleus"
"74","GO:0070877",0.047687871707139,0.999418838302315,1,2,"microprocessor complex","CC","C","nucleus"
"75","GO:0009941",0.0215359916841374,1,1,1,"chloroplast envelope","CC","C","other cellular component"
"76","GO:0009501",0.023105349337118,1,1,1,"amyloplast","CC","C","other cellular component"
"77","GO:0030686",0.0423053641932173,0.996299382244548,2,9,"90S preribosome","CC","C","other cellular component"
"78","GO:0034704",0.000944552385246063,0.999977336674969,3,5,"calcium channel complex","CC","C","other membranes"
"79","GO:0042101",0.0215344244765181,1,1,1,"T cell receptor complex","CC","C","other membranes"
"80","GO:0009706",0.0215359916841374,1,1,1,"chloroplast inner membrane","CC","C","other membranes"
"81","GO:0001772",0.0236644489288206,0.998530219415557,2,8,"immunological synapse","CC","C","plasma membrane"
"82","GO:0098984",0.0215344244765181,1,1,1,"neuron to neuron synapse","CC",NA,NA
"83","GO:1990234",0.0426566374303885,0.999536210714184,1,2,"transferase complex","CC",NA,NA
"84","GO:0090661",0.0448932646168911,0.999485703872948,1,2,"box H/ACA telomerase RNP complex","CC",NA,NA
"85","GO:0034513",0.0448932646168911,0.999485703872948,1,2,"box H/ACA snoRNA binding","MF","F","nucleic acid binding activity"
"86","GO:0010314",0.00667324603469701,0.99982119795513,2,5,"phosphatidylinositol-5-phosphate binding","MF","F","other molecular function"
"87","GO:0043325",0.00758121517793576,0.999406724408046,3,11,"phosphatidylinositol-3,4-bisphosphate binding","MF","F","other molecular function"
"88","GO:0004652",0.0083087161090071,0.999750393425067,2,5,"polynucleotide adenylyltransferase activity","MF","F","other molecular function"
"89","GO:0080025",0.0120700327798155,0.998820151265877,3,14,"phosphatidylinositol-3,5-bisphosphate binding","MF","F","other molecular function"
"90","GO:0045295",0.0138928523319416,0.998514204153472,3,18,"gamma-catenin binding","MF","F","other molecular function"
"91","GO:0033819",0.0215344244765181,1,1,1,"lipoyl(octanoyl) transferase activity","MF","F","other molecular function"
"92","GO:0032795",0.0215344244765181,1,1,1,"heterotrimeric G-protein binding","MF","F","other molecular function"
"93","GO:0047560",0.0215344301496066,1,1,1,"3-dehydrosphinganine reductase activity","MF","F","other molecular function"
"94","GO:0050358",0.0215347684234734,1,1,1,"tropinone reductase activity","MF","F","other molecular function"
"95","GO:0004092",0.0215914916652164,1,1,1,"carnitine O-acetyltransferase activity","MF","F","other molecular function"
"96","GO:0003960",0.0216342849379815,1,1,1,"NADPH:quinone reductase activity","MF","F","other molecular function"
"97","GO:0070224",0.0267556766694274,1,1,1,"sulfide:quinone oxidoreductase activity","MF","F","other molecular function"
"98","GO:0004123",0.0305235522037138,1,1,1,"cystathionine gamma-lyase activity","MF","F","other molecular function"
"99","GO:0016846",0.0305235522037138,1,1,1,"carbon-sulfur lyase activity","MF","F","other molecular function"
"100","GO:0044540",0.0305235522037138,1,1,1,"L-cystine L-cysteine-lyase (deaminating)","MF","F","other molecular function"
"101","GO:0004055",0.0308391659152597,1,1,1,"argininosuccinate synthase activity","MF","F","other molecular function"
"102","GO:0070568",0.0323020558982373,1,1,1,"guanylyltransferase activity","MF","F","other molecular function"
"103","GO:0004411",0.0330556674961615,1,1,1,"homogentisate 1,2-dioxygenase activity","MF","F","other molecular function"
"104","GO:0008897",0.0335879226793047,1,1,1,"holo-[acyl-carrier-protein] synthase activity","MF","F","other molecular function"
"105","GO:0004617",0.0338489029182761,1,1,1,"phosphoglycerate dehydrogenase activity","MF","F","other molecular function"
"106","GO:0032266",0.0364202419399308,0.994303197114928,3,20,"phosphatidylinositol-3-phosphate binding","MF","F","other molecular function"
"107","GO:0070273",0.0366568049566221,0.996974312763188,2,10,"phosphatidylinositol-4-phosphate binding","MF","F","other molecular function"
"108","GO:0008061",0.040377927292897,0.993181932980366,3,31,"chitin binding","MF","F","other molecular function"
"109","GO:0005502",0.0426061698804681,0.999537319584266,1,2,"11-cis retinal binding","MF","F","other molecular function"
"110","GO:0008940",0.0426064462620249,0.999537313515321,1,2,"nitrate reductase activity","MF","F","other molecular function"
"111","GO:0000010",0.0426566374303885,0.999536210714184,1,2,"trans-hexaprenyltranstransferase activity","MF","F","other molecular function"
"112","GO:0050347",0.0426566374303885,0.999536210714184,1,2,"trans-octaprenyltranstransferase activity","MF","F","other molecular function"
"113","GO:0008374",0.044033999127036,0.999505423318631,1,2,"O-acyltransferase activity","MF","F","other molecular function"
"114","GO:0008425",0.0444127057150346,0.999496780910902,1,2,"2-polyprenyl-6-methoxy-1,4-benzoquinone methyltransferase activity","MF","F","other molecular function"
"115","GO:0008689",0.0444127057150346,0.999496780910902,1,2,"3-demethylubiquinone-9 3-O-methyltransferase activity","MF","F","other molecular function"
"116","GO:0008139",0.046289520975523,0.995528109861444,2,12,"nuclear localization sequence binding","MF","F","other molecular function"
"117","GO:0052899",0.0464759729867295,1,1,1,"N(1),N(12)-diacetylspermine:oxygen oxidoreductase (3-acetamidopropanal-forming) activity","MF","F","other molecular function"
"118","GO:0052902",0.0464759729867295,1,1,1,"spermidine:oxygen oxidoreductase (3-aminopropanal-forming) activity","MF","F","other molecular function"
"119","GO:0052903",0.0464759729867295,1,1,1,"N1-acetylspermine:oxygen oxidoreductase (3-acetamidopropanal-forming) activity","MF","F","other molecular function"
"120","GO:0052904",0.0464759729867295,1,1,1,"N1-acetylspermidine:oxygen oxidoreductase (3-acetamidopropanal-forming) activity","MF","F","other molecular function"
"121","GO:0030791",0.0468342057367842,0.999439707562189,1,2,"arsenite methyltransferase activity","MF","F","other molecular function"
"122","GO:0016758",0.0469442830192792,1,1,1,"transferase activity, transferring hexosyl groups","MF","F","other molecular function"
"123","GO:0005507",0.0478868879820118,0.988282952959724,4,52,"copper ion binding","MF","F","other molecular function"
"124","GO:0050700",0.0493779987589912,1,1,1,"CARD domain binding","MF","F","other molecular function"
"125","GO:0008020",0.0426061698804681,0.999537319584266,1,2,"G protein-coupled photoreceptor activity","MF","F","signal transduction activity"
"126","GO:0015347",0.0187883976904748,0.998940001779056,2,9,"sodium-independent organic anion transmembrane transporter activity","MF","F","transporter activity"
"127","GO:0008514",0.0328922136416168,0.997398275267161,2,11,"organic anion transmembrane transporter activity","MF","F","transporter activity"
"128","GO:0017128",0.0447876303073743,0.996062822068256,2,8,"phospholipid scramblase activity","MF","F","transporter activity"
"129","GO:0102555",0.0215344244765181,1,1,1,"octanoyl transferase activity (acting on glycine-cleavage complex H protein)","MF",NA,NA
"130","GO:0061608",0.0287031975590886,0.997967807100288,2,9,"nuclear import signal receptor activity","MF",NA,NA
"131","GO:0102524",0.0305654731341513,1,1,1,"tRNAPhe (7-(3-amino-3-carboxypropyl)wyosine37-C2)-hydroxylase activity","MF",NA,NA
"132","GO:1902051",0.0430803742408247,1,1,1,"(25S)-Delta(4)-dafachronate binding","MF",NA,NA
"133","GO:1902052",0.0430803742408247,1,1,1,"(25S)-Delta(7)-dafachronate binding","MF",NA,NA
