"gene"	"pval.treatment"	"pval.position"	"pval.treatment_x_position"	"adj.pval.treatment"	"adj.pval.position"	"adj.pval.treatment_x_position"
"ID=maker-PGA_scaffold4__129_contigs__length_65288255-exonerate_protein2genome-gene-267.32;Name=maker-PGA_scaffold4__129_contigs__length_65288255-exonerate_protein2genome-gene-267.32"	2.37235612271748e-08	0	0	3.45069981486179e-07	0	0
"ID=maker-PGA_scaffold18__69_contigs__length_27737463-exonerate_est2genome-gene-184.0;Name=maker-PGA_scaffold18__69_contigs__length_27737463-exonerate_est2genome-gene-184.0"	1.16890469707621e-07	0	0	1.55853959610161e-06	0	0
"ID=maker-PGA_scaffold3__111_contigs__length_57743597-exonerate_protein2genome-gene-255.11;Name=maker-PGA_scaffold3__111_contigs__length_57743597-exonerate_protein2genome-gene-255.11"	1.84124501320126e-07	0.038144322138498	0.79564886458345	2.2661477085554e-06	0.0575763353033932	0.860160934684811
"ID=maker-PGA_scaffold4__129_contigs__length_65288255-exonerate_protein2genome-gene-619.45;Name=maker-PGA_scaffold4__129_contigs__length_65288255-exonerate_protein2genome-gene-619.45"	2.1290533850378e-07	2.10260114580627e-85	0.226855778732494	2.43320386861463e-06	5.33993941792069e-85	0.386137495714883
"ID=maker-PGA_scaffold6__104_contigs__length_61759565-exonerate_est2genome-gene-281.0;Name=maker-PGA_scaffold6__104_contigs__length_61759565-exonerate_est2genome-gene-281.0"	3.11814637458104e-07	3.2896290659144e-138	1.91929261545616e-06	3.11814637458104e-06	8.48936533139201e-138	4.87439394401565e-06
"ID=maker-PGA_scaffold6__104_contigs__length_61759565-exonerate_est2genome-gene-420.1;Name=maker-PGA_scaffold6__104_contigs__length_61759565-exonerate_est2genome-gene-420.1"	2.97863612395643e-07	3.77769997685408e-13	0.763057602910241	3.11814637458104e-06	8.05909328395536e-13	0.852271743491479
"ID=maker-PGA_scaffold12__71_contigs__length_50438331-exonerate_est2genome-gene-462.1;Name=maker-PGA_scaffold12__71_contigs__length_50438331-exonerate_est2genome-gene-462.1"	6.96429342435109e-06	0.00122515888195627	0.593056596886164	6.55462910527161e-05	0.00222756160355685	0.741320746107705
"ID=maker-PGA_scaffold6__104_contigs__length_61759565-exonerate_protein2genome-gene-541.35;Name=maker-PGA_scaffold6__104_contigs__length_61759565-exonerate_protein2genome-gene-541.35"	2.219141367288e-05	0	0	0.0001972570104256	0	0
"ID=maker-PGA_scaffold3__111_contigs__length_57743597-exonerate_est2genome-gene-259.0;Name=maker-PGA_scaffold3__111_contigs__length_57743597-exonerate_est2genome-gene-259.0"	0.000125219183922472	0.600219768509069	0.99747317363534	0.0010544773382945	0.666910853898966	1
"ID=maker-PGA_scaffold6__104_contigs__length_61759565-exonerate_protein2genome-gene-256.9;Name=maker-PGA_scaffold6__104_contigs__length_61759565-exonerate_protein2genome-gene-256.9"	0.000176829546413768	3.9409503096051e-37	0.838030774219115	0.00141463637131014	9.55381893237601e-37	0.880895103588508
"ID=maker-PGA_scaffold12__71_contigs__length_50438331-exonerate_protein2genome-gene-337.10;Name=maker-PGA_scaffold12__71_contigs__length_50438331-exonerate_protein2genome-gene-337.10"	0.000283351714192151	0	0	0.00215887020336877	0	0
"ID=maker-PGA_scaffold6__104_contigs__length_61759565-exonerate_est2genome-gene-218.0;Name=maker-PGA_scaffold6__104_contigs__length_61759565-exonerate_est2genome-gene-218.0"	0.000422217639693607	9.23580979696818e-12	0.379337118538422	0.00307067374322624	1.91912930846092e-11	0.551083364909275
"ID=maker-PGA_scaffold3__111_contigs__length_57743597-exonerate_est2genome-gene-565.4;Name=maker-PGA_scaffold3__111_contigs__length_57743597-exonerate_est2genome-gene-565.4"	0.00057417295657834	0.330412139942071	0.139210275601684	0.00399424665445802	0.419570971355011	0.278420551203368
"ID=maker-PGA_scaffold3__111_contigs__length_57743597-exonerate_protein2genome-gene-5.34;Name=maker-PGA_scaffold3__111_contigs__length_57743597-exonerate_protein2genome-gene-5.34"	0.000642004400111953	0.268467654446067	0.0895009635440618	0.00428002933407969	0.349226217165616	0.183591720090383
"ID=maker-PGA_scaffold4__129_contigs__length_65288255-exonerate_protein2genome-gene-644.41;Name=maker-PGA_scaffold4__129_contigs__length_65288255-exonerate_protein2genome-gene-644.41"	0.00105952069547649	0.000105565200766271	0.000117609892360403	0.00678093245104951	0.000198710966148275	0.000289501273502531
"ID=maker-PGA_scaffold18__69_contigs__length_27737463-exonerate_protein2genome-gene-114.16;Name=maker-PGA_scaffold18__69_contigs__length_27737463-exonerate_protein2genome-gene-114.16"	0.00165636665796295	0.760759195120855	0.804059686646074	0.0101930255874643	0.814107333392427	0.863419797740751
"ID=maker-PGA_scaffold3__111_contigs__length_57743597-exonerate_protein2genome-gene-260.4;Name=maker-PGA_scaffold3__111_contigs__length_57743597-exonerate_protein2genome-gene-260.4"	0.00187625920931767	1.83598639306037e-35	0.669195448418652	0.0111185730922528	4.38444511775612e-35	0.789904640328107
"ID=maker-PGA_scaffold3__111_contigs__length_57743597-exonerate_protein2genome-gene-131.2;Name=maker-PGA_scaffold3__111_contigs__length_57743597-exonerate_protein2genome-gene-131.2"	0.00253975301810441	0.0102528831276229	0.174794356016955	0.014512874389168	0.0174517159619114	0.321460884628882
"ID=maker-PGA_scaffold6__104_contigs__length_61759565-exonerate_est2genome-gene-281.4;Name=maker-PGA_scaffold6__104_contigs__length_61759565-exonerate_est2genome-gene-281.4"	0.00290933128060653	0	0	0.0160514829274843	0	0
"ID=maker-PGA_scaffold6__104_contigs__length_61759565-exonerate_est2genome-gene-246.0;Name=maker-PGA_scaffold6__104_contigs__length_61759565-exonerate_est2genome-gene-246.0"	0.00325212043879846	0.0266344866842163	0.179370616501637	0.0173446423402585	0.0421932462324218	0.32612839363934
"ID=maker-PGA_scaffold18__69_contigs__length_27737463-exonerate_est2genome-gene-260.0;Name=maker-PGA_scaffold18__69_contigs__length_27737463-exonerate_est2genome-gene-260.0"	0.00343156269641604	0.818017297331717	0.298944588415024	0.0176298133093908	0.861070839296544	0.473575585607958
"ID=maker-PGA_scaffold4__129_contigs__length_65288255-exonerate_protein2genome-gene-616.7;Name=maker-PGA_scaffold4__129_contigs__length_65288255-exonerate_protein2genome-gene-616.7"	0.00352596266187816	0.0186110995340367	0.35470265680024	0.0176298133093908	0.0303854686269987	0.535175967972002
"ID=maker-PGA_scaffold4__129_contigs__length_65288255-exonerate_est2genome-gene-344.3;Name=maker-PGA_scaffold4__129_contigs__length_65288255-exonerate_est2genome-gene-344.3"	0.0046491315234924	2.8648965253324e-13	8.63112511849995e-05	0.0225412437502662	6.27922526100252e-13	0.000215778127962499
"ID=maker-PGA_scaffold12__71_contigs__length_50438331-exonerate_protein2genome-gene-76.4;Name=maker-PGA_scaffold12__71_contigs__length_50438331-exonerate_protein2genome-gene-76.4"	0.00497820520059664	1.92813067606053e-43	0.956056000335987	0.0234268480028077	4.74616781799514e-43	0.968157975023785
"ID=maker-PGA_scaffold4__129_contigs__length_65288255-exonerate_est2genome-gene-465.1;Name=maker-PGA_scaffold4__129_contigs__length_65288255-exonerate_est2genome-gene-465.1"	0.0055596065654989	0.207117213377471	0.410777294403941	0.0254153442994235	0.278476925549541	0.576529536005531
"ID=maker-PGA_scaffold18__69_contigs__length_27737463-exonerate_protein2genome-gene-257.27;Name=maker-PGA_scaffold18__69_contigs__length_27737463-exonerate_protein2genome-gene-257.27"	0.00805532556405117	0.847318078049444	0.172891674687871	0.0358014469513385	0.88608426462687	0.321460884628882
"ID=maker-PGA_scaffold12__71_contigs__length_50438331-exonerate_est2genome-gene-465.0;Name=maker-PGA_scaffold12__71_contigs__length_50438331-exonerate_est2genome-gene-465.0"	0.00897492537004196	6.9466907348005e-19	0.0495851980208751	0.036820206646326	1.58781502509726e-18	0.111741291314648
"ID=maker-PGA_scaffold4__129_contigs__length_65288255-exonerate_est2genome-gene-94.6;Name=maker-PGA_scaffold4__129_contigs__length_65288255-exonerate_est2genome-gene-94.6"	0.00878331016149268	0	0	0.036820206646326	0	0
"ID=maker-PGA_scaffold4__129_contigs__length_65288255-exonerate_est2genome-gene-93.2;Name=maker-PGA_scaffold4__129_contigs__length_65288255-exonerate_est2genome-gene-93.2"	0.00878331016149268	0	0	0.036820206646326	0	0
"ID=maker-PGA_scaffold4__129_contigs__length_65288255-exonerate_est2genome-gene-583.1;Name=maker-PGA_scaffold4__129_contigs__length_65288255-exonerate_est2genome-gene-583.1"	0.0104569066514701	0	0	0.0418276266058804	0	0
"ID=maker-PGA_scaffold4__129_contigs__length_65288255-exonerate_est2genome-gene-329.0;Name=maker-PGA_scaffold4__129_contigs__length_65288255-exonerate_est2genome-gene-329.0"	0.012079923152345	0	0	0.0460187548660763	0	0
"ID=maker-PGA_scaffold6__104_contigs__length_61759565-exonerate_protein2genome-gene-61.3;Name=maker-PGA_scaffold6__104_contigs__length_61759565-exonerate_protein2genome-gene-61.3"	0.0119336011580385	0	0	0.0460187548660763	0	0
