"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","reason","matches","identifier","name","namespace","description","class"
"44","GO:0009247",0.00369667666750389,0.999650498513979,4,12,NA,NA,"MATCH",1,"GO:0009247","glycolipid biosynthetic process","BP","The chemical reactions and pathways resulting in the formation of glycolipid, a class of 1,2-di-O-acylglycerols joined at oxygen 3 by a glycosidic linkage to a carbohydrate part (usually a mono-, di- or tri-saccharide).","GOTerm"
"53","GO:0016199",0.0136669557213052,0.99794474848729,4,17,NA,NA,"MATCH",1,"GO:0016199","axon midline choice point recognition","BP","The recognition of molecules at the central nervous system midline choice point by an axon growth cone; this choice point determines whether the growth cone will cross the midline.","GOTerm"
"57","GO:0017147",0.016778929547423,0.99728987620177,4,18,NA,NA,"MATCH",1,"GO:0017147","Wnt-protein binding","MF","Interacting selectively and non-covalently with Wnt-protein, a secreted growth factor involved in signaling.","GOTerm"
"67","GO:0030534",0.0468726088725088,0.989165003126755,4,24,NA,NA,"MATCH",1,"GO:0030534","adult behavior","BP","Behavior in a fully developed and mature organism.","GOTerm"
"70","GO:0031397",0.0243764317032123,0.995516273846139,4,20,NA,NA,"MATCH",1,"GO:0031397","negative regulation of protein ubiquitination","BP","Any process that stops, prevents, or reduces the frequency, rate or extent of the addition of ubiquitin groups to a protein.","GOTerm"
"71","GO:0031985",0.00714019448398471,0.999148573041412,4,14,NA,NA,"MATCH",1,"GO:0031985","Golgi cisterna","CC","Any of the thin, flattened membrane-bounded compartments that form the central portion of the Golgi complex.","GOTerm"
"92","GO:0042813",0.00615471746799449,0.999297062946556,4,14,NA,NA,"MATCH",1,"GO:0042813","Wnt-activated receptor activity","MF","Combining with a Wnt protein and transmitting the signal across the plasma membrane to initiate a change in cell activity.","GOTerm"
"93","GO:0043001",0.0347857855851455,0.992761323302673,4,22,NA,NA,"MATCH",1,"GO:0043001","Golgi to plasma membrane protein transport","BP","The directed movement of proteins from the Golgi to the plasma membrane in transport vesicles that move from the trans-Golgi network to the plasma membrane.","GOTerm"
"95","GO:0043621",0.0476639364354388,0.988922169370991,4,24,NA,NA,"MATCH",1,"GO:0043621","protein self-association","MF","Interacting selectively and non-covalently with a domain within the same polypeptide.","GOTerm"
"100","GO:0045668",0.024700055337041,0.99543818743193,4,20,NA,NA,"MATCH",1,"GO:0045668","negative regulation of osteoblast differentiation","BP","Any process that stops, prevents, or reduces the frequency, rate or extent of osteoblast differentiation.","GOTerm"
"115","GO:0048589",0.00635880920464917,0.999266859243998,4,14,NA,NA,"MATCH",1,"GO:0048589","developmental growth","BP","The increase in size or mass of an entire organism, a part of an organism or a cell, where the increase in size or mass has the specific outcome of the progression of the organism over time from one condition to another.","GOTerm"
"120","GO:0050694",0.00174798392111957,0.999874952241592,4,10,NA,NA,"MATCH",1,"GO:0050694","galactose 3-O-sulfotransferase activity","MF","Catalysis of the reaction: N-acetyllactosamine + 3'-phosphoadenosine 5'-phosphosulfate = 3-sulfo-N-acetyllactosamine + adenosine 3',5'-bisphosphate. N-acetyllactosamine residues are found in a number of different carbohydrate types. N-acetyllactosamine can also be written as Gal-beta-(1,4)-GlcNAc.","GOTerm"
"126","GO:0051225",0.0279251256256396,0.994607365145242,4,21,NA,NA,"MATCH",1,"GO:0051225","spindle assembly","BP","The aggregation, arrangement and bonding together of a set of components to form the spindle, the array of microtubules and associated molecules that serves to move duplicated chromosomes apart.","GOTerm"
"145","GO:0071300",0.00429327097069832,0.999566300157787,4,13,NA,NA,"MATCH",1,"GO:0071300","cellular response to retinoic acid","BP","Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a retinoic acid stimulus.","GOTerm"
"149","GO:0072383",0.000648788841547588,0.999968803677197,4,8,NA,NA,"MATCH",1,"GO:0072383","plus-end-directed vesicle transport along microtubule","BP","The directed movement of a vesicle towards the plus end of a microtubule, mediated by motor proteins. This process begins with the attachment of a vesicle to a microtubule, and ends when the vesicle reaches its final destination.","GOTerm"
"153","GO:0090543",0.0430451419862236,0.990319351921184,4,24,NA,NA,"MATCH",1,"GO:0090543","Flemming body","CC","A cell part that is the central region of the midbody characterized by a gap in alpha-tubulin staining. It is a dense structure of antiparallel microtubules from the central spindle in the middle of the intercellular bridge.","GOTerm"
"1","GO:0000281",0.0361591987096541,0.994681519972287,3,13,NA,NA,"MATCH",1,"GO:0000281","mitotic cytokinesis","BP","A cell cycle process that results in the division of the cytoplasm of a cell after mitosis, resulting in the separation of the original cell into two daughter cells.","GOTerm"
"3","GO:0000915",0.0130285532016375,0.998820909170181,3,9,NA,NA,"MATCH",1,"GO:0000915","actomyosin contractile ring assembly","BP","The process of assembly of a ring composed of actin, myosin, and associated proteins that will function in cytokinesis.","GOTerm"
"4","GO:0000987",0.0345372750898908,0.995011291724329,3,13,NA,NA,"MATCH",1,"GO:0000987","cis-regulatory region sequence-specific DNA binding","MF","Interacting selectively and non-covalently with a specific upstream regulatory DNA sequence (transcription factor recognition sequence or binding site) located in cis relative to the transcription start site (i.e., on the same strand of DNA) of a gene transcribed by some RNA polymerase. The proximal promoter is in cis with and relatively close to the core promoter.","GOTerm"
"5","GO:0001537",0.0211679338398904,0.997560488427395,3,11,NA,NA,"MATCH",1,"GO:0001537","N-acetylgalactosamine 4-O-sulfotransferase activity","MF","Catalysis of the reaction: 3'-phosphoadenosine 5'-phosphosulfate + N-acetyl-D-galactosamine = adenosine 3',5'-bisphosphate + N-acetyl-D-galactosamine 4-sulfate.","GOTerm"
"6","GO:0001702",0.021549571543027,0.997499393303638,3,11,"gastrulation with mouth forming second","BP","MATCH",1,"GO:0001702","gastrulation with mouth forming second","BP","A gastrulation process in which the initial invagination becomes the anus and the mouth forms second.","GOTerm"
"8","GO:0001736",0.013171571811455,0.99880305099374,3,9,NA,NA,"MATCH",1,"GO:0001736","establishment of planar polarity","BP","Coordinated organization of groups of cells in the plane of an epithelium, such that they all orient to similar coordinates.","GOTerm"
"10","GO:0001934",0.0268277565426564,0.996611487809999,3,11,"positive regulation of protein phosphorylation","BP","MATCH",1,"GO:0001934","positive regulation of protein phosphorylation","BP","Any process that activates or increases the frequency, rate or extent of addition of phosphate groups to amino acids within a protein.","GOTerm"
"11","GO:0002040",0.0407141327697465,0.993640771396155,3,14,"sprouting angiogenesis","BP","MATCH",1,"GO:0002040","sprouting angiogenesis","BP","The extension of new blood vessels from existing vessels into avascular tissues, this process includes the specialization of endothelial cells into leading tip and stalk cells, proliferation and migration of the endothelial cells and cell adhesion resulting in angiogenic sprout fusion or lumen formation.","GOTerm"
"13","GO:0003151",0.0345385186351984,0.995011041296082,3,13,NA,NA,"MATCH",1,"GO:0003151","outflow tract morphogenesis","BP","The process in which the anatomical structures of the outflow tract are generated and organized. The outflow tract is the portion of the heart through which blood flows into the arteries.","GOTerm"
"23","GO:0005089",0.036299530455527,0.994652694086061,3,13,NA,NA,"MATCH",1,"GO:0005089","Rho guanyl-nucleotide exchange factor activity","MF","Stimulates the exchange of guanyl nucleotides associated with a GTPase of the Rho family. Under normal cellular physiological conditions, the concentration of GTP is higher than that of GDP, favoring the replacement of GDP by GTP in association with the GTPase.","GOTerm"
"24","GO:0005109",0.0335050408841459,0.995217873134319,3,13,NA,NA,"MATCH",1,"GO:0005109","frizzled binding","MF","Interacting selectively and non-covalently with a frizzled (fz) receptor.","GOTerm"
"25","GO:0005262",0.0235728263508423,0.997168333463999,3,11,"calcium channel activity","MF","MATCH",1,"GO:0005262","calcium channel activity","MF","Enables the facilitated diffusion of a calcium ion (by an energy-independent process) involving passage through a transmembrane aqueous pore or channel without evidence for a carrier-mediated mechanism.","GOTerm"
"34","GO:0006906",0.0211972754819105,0.997555806730531,3,11,NA,NA,"MATCH",1,"GO:0006906","vesicle fusion","BP","Fusion of the membrane of a transport vesicle with its target membrane.","GOTerm"
"41","GO:0008064",0.00177308978131482,0.99994665741504,3,5,NA,NA,"MATCH",1,"GO:0008064","regulation of actin polymerization or depolymerization","BP","Any process that modulates the frequency, rate or extent of the assembly or disassembly of actin filaments by the addition or removal of actin monomers from a filament.","GOTerm"
"42","GO:0008094",0.0337473269059168,0.995169617122415,3,13,NA,NA,"MATCH",1,"GO:0008094","DNA-dependent ATPase activity","MF","Catalysis of the reaction: ATP + H2O = ADP + phosphate; this reaction requires the presence of single- or double-stranded DNA, and it drives another reaction.","GOTerm"
"48","GO:0010832",0.0269950887861991,0.996514782234715,3,12,NA,NA,"MATCH",1,"GO:0010832","negative regulation of myotube differentiation","BP","Any process that decreases the frequency, rate or extent of myotube differentiation. Myotube differentiation is the process in which a relatively unspecialized cell acquires specialized features of a myotube cell. Myotubes are multinucleated cells that are formed when proliferating myoblasts exit the cell cycle, differentiate and fuse.","GOTerm"
"51","GO:0016051",0.0414982019262464,0.993468870958335,3,14,NA,NA,"MATCH",1,"GO:0016051","carbohydrate biosynthetic process","BP","The chemical reactions and pathways resulting in the formation of carbohydrates, any of a group of organic compounds based of the general formula Cx(H2O)y.","GOTerm"
"54","GO:0016239",0.00782716515074895,0.999439442983445,3,8,NA,NA,"MATCH",1,"GO:0016239","positive regulation of macroautophagy","BP","Any process, such as recognition of nutrient depletion, that activates or increases the rate of macroautophagy to bring cytosolic macromolecules to the vacuole/lysosome for degradation.","GOTerm"
"55","GO:0016578",0.0123587268440923,0.998903525801562,3,9,NA,NA,"MATCH",1,"GO:0016578","histone deubiquitination","BP","The modification of histones by removal of ubiquitin groups.","GOTerm"
"62","GO:0030048",0.00495635657927982,0.999718155552647,3,7,NA,NA,"MATCH",1,"GO:0030048","actin filament-based movement","BP","Movement of organelles or other particles along actin filaments, or sliding of actin filaments past each other, mediated by motor proteins.","GOTerm"
"74","GO:0032479",0.00572475190279802,0.999656819915339,3,7,NA,NA,"MATCH",1,"GO:0032479","regulation of type I interferon production","BP","Any process that modulates the frequency, rate, or extent of interferon type I production. Type I interferons include the interferon-alpha, beta, delta, episilon, zeta, kappa, tau, and omega gene families.","GOTerm"
"75","GO:0032480",0.00532879845918776,0.99968884026682,3,7,NA,NA,"MATCH",1,"GO:0032480","negative regulation of type I interferon production","BP","Any process that stops, prevents, or reduces the frequency, rate, or extent of type I interferon production. Type I interferons include the interferon-alpha, beta, delta, episilon, zeta, kappa, tau, and omega gene families.","GOTerm"
"76","GO:0032727",0.00787318924509581,0.999434922542017,3,8,NA,NA,"MATCH",1,"GO:0032727","positive regulation of interferon-alpha production","BP","Any process that activates or increases the frequency, rate, or extent of interferon-alpha production.","GOTerm"
"77","GO:0032728",0.0336359792544376,0.995191812001133,3,13,NA,NA,"MATCH",1,"GO:0032728","positive regulation of interferon-beta production","BP","Any process that activates or increases the frequency, rate, or extent of interferon-beta production.","GOTerm"
"82","GO:0035371",0.0412506067140906,0.993523302540323,3,14,NA,NA,"MATCH",1,"GO:0035371","microtubule plus-end","CC","The growing (plus) end of a microtubule. In vitro, microtubules polymerize more quickly at the plus end than at the minus end. In vivo, microtubule growth occurs only at the plus end, and the plus end switches between periods of growth and shortening, a behavior known as dynamic instability.","GOTerm"
"87","GO:0042417",0.025606034075709,0.996761207190835,3,12,NA,NA,"MATCH",1,"GO:0042417","dopamine metabolic process","BP","The chemical reactions and pathways involving dopamine, a catecholamine neurotransmitter and a metabolic precursor of noradrenaline and adrenaline.","GOTerm"
"110","GO:0048026",0.0360922789077401,0.9946952497925,3,13,NA,NA,"MATCH",1,"GO:0048026","positive regulation of mRNA splicing, via spliceosome","BP","Any process that activates or increases the rate or extent of mRNA splicing via a spliceosomal mechanism.","GOTerm"
"117","GO:0048749",0.0478264417339799,0.991945502477571,3,15,NA,NA,"MATCH",1,"GO:0048749","compound eye development","BP","The process whose specific outcome is the progression of the compound eye over time, from its formation to the mature structure. The compound eye is an organ of sight that contains multiple repeating units, often arranged hexagonally. Each unit has its own lens and photoreceptor cell(s) and can generate either a single pixelated image or multiple images, per eye.","GOTerm"
"123","GO:0050805",0.000776187018758719,0.9999880954741,3,4,NA,NA,"MATCH",1,"GO:0050805","negative regulation of synaptic transmission","BP","Any process that stops, prevents, or reduces the frequency, rate or extent of synaptic transmission, the process of communication from a neuron to a target (neuron, muscle, or secretory cell) across a synapse.","GOTerm"
"125","GO:0051219",0.0307738137909834,0.995818465841791,3,12,NA,NA,"MATCH",1,"GO:0051219","phosphoprotein binding","MF","Interacting selectively and non-covalently with a phosphorylated protein.","GOTerm"
"127","GO:0051256",0.0174644815435531,0.998175882762251,3,10,NA,NA,"MATCH",1,"GO:0051256","mitotic spindle midzone assembly","BP","The cell cycle process in which the aggregation, arrangement and bonding together of a set of components forms the spindle midzone.","GOTerm"
"134","GO:0060340",0.000174735321871466,1,3,3,NA,NA,"MATCH",1,"GO:0060340","positive regulation of type I interferon-mediated signaling pathway","BP","Any process that increases the rate, frequency or extent of a type I interferon-mediated signaling pathway. A type I interferon-mediated signaling pathway is the series of molecular events generated as a consequence of a type I interferon binding to a cell surface receptor.","GOTerm"
"135","GO:0060349",0.0493028148334125,0.991594573918716,3,15,NA,NA,"MATCH",1,"GO:0060349","bone morphogenesis","BP","The process in which bones are generated and organized.","GOTerm"
"136","GO:0060412",0.0334654661620655,0.995225741578193,3,13,NA,NA,"MATCH",1,"GO:0060412","ventricular septum morphogenesis","BP","The developmental process in which a ventricular septum is generated and organized. A ventricular septum is an anatomical structure that separates the lower chambers (ventricles) of the heart from one another.","GOTerm"
"137","GO:0060444",0.0204374912308681,0.997676195982583,3,11,NA,NA,"MATCH",1,"GO:0060444","branching involved in mammary gland duct morphogenesis","BP","The process in which the branching structure of the mammary gland duct is generated and organized. The mammary gland is a large compound sebaceous gland that in female mammals is modified to secrete milk.","GOTerm"
"148","GO:0072358",0.0164337219636794,0.998322822692077,3,10,NA,NA,"MATCH",1,"GO:0072358","cardiovascular system development","BP","The process whose specific outcome is the progression of the cardiovascular system over time, from its formation to the mature structure. The cardiovascular system is the anatomical system that has as its parts the heart and blood vessels.","GOTerm"
"155","GO:0097149",0.00879359670968557,0.999342450054095,3,8,NA,NA,"MATCH",1,"GO:0097149","centralspindlin complex","CC","A heterotetrameric protein complex playing a key role in the formation of the central spindle in mitosis. Made up of two molecules each of a mitotic kinesin (ZEN-4 in Caenorhabditis elegans or MKLP1 in mammals) and of two molecules each of a GTPase activating protein (GAP) factor (CYK-4 in Caenorhabditis elegans or MgcRacGAP in mammals).","GOTerm"
"156","GO:0097150",0.0466367251269916,0.992224969274086,3,15,NA,NA,"MATCH",1,"GO:0097150","neuronal stem cell population maintenance","BP","Any process in by an organism or tissue maintains a population of neuronal stem cells.","GOTerm"
"157","GO:0097381",0.0123784347910534,0.99890111934207,3,9,NA,NA,"MATCH",1,"GO:0097381","photoreceptor disc membrane","CC","Stack of disc membranes located inside a photoreceptor outer segment, and containing densely packed molecules of photoreceptor proteins that traverse the lipid bilayer. Disc membranes arise as evaginations of the ciliary membrane during the development of the outer segment and may or may not remain contiguous with the ciliary membrane.","GOTerm"
"162","GO:1903204",0.0112376934904284,0.999037916302804,3,9,NA,NA,"MATCH",1,"GO:1903204","negative regulation of oxidative stress-induced neuron death","BP","Any process that stops, prevents or reduces the frequency, rate or extent of oxidative stress-induced neuron death.","GOTerm"
"170","GO:2000811",0.048730476143466,0.99173115539494,3,15,NA,NA,"MATCH",1,"GO:2000811","negative regulation of anoikis","BP","Any process that stops, prevents or reduces the frequency, rate or extent of anoikis.","GOTerm"
"2","GO:0000812",0.00906881573009755,0.999824310506416,2,3,NA,NA,"MATCH",1,"GO:0000812","Swr1 complex","CC","A multisubunit protein complex that is involved in chromatin remodeling. It is required for the incorporation of the histone variant H2AZ into chromatin. In S. cerevisiae, the complex contains Swr1p, a Swi2/Snf2-related ATPase, and 12 additional subunits.","GOTerm"
"9","GO:0001751",0.0385927935840565,0.99713199494318,2,6,NA,NA,"MATCH",1,"GO:0001751","compound eye photoreceptor cell differentiation","BP","The process in which a relatively unspecialized cell acquires the specialized features of an eye photoreceptor cell.","GOTerm"
"12","GO:0002223",0.00961122573678239,0.999807978412486,2,3,"stimulatory C-type lectin receptor signaling pathway","BP","MATCH",1,"GO:0002223","stimulatory C-type lectin receptor signaling pathway","BP","Any series of molecular signals generated as a consequence of binding to a C-type lectin receptor capable of cellular activation.","GOTerm"
"14","GO:0003198",0.00905659176212109,0.999824672636285,2,3,NA,NA,"MATCH",1,"GO:0003198","epithelial to mesenchymal transition involved in endocardial cushion formation","BP","A transition where a cardiac epithelial cell loses apical/basolateral polarity, severs intercellular adhesive junctions, degrades basement membrane components and becomes a migratory mesenchymal cell that will contribute to the formation of the endocardial cushion.","GOTerm"
"16","GO:0003756",0.0287947935953302,0.998318769114637,2,5,"protein disulfide isomerase activity","MF","MATCH",1,"GO:0003756","protein disulfide isomerase activity","MF","Catalysis of the rearrangement of both intrachain and interchain disulfide bonds in proteins.","GOTerm"
