"input" "reason" "matches" "identifier" "name" "namespace" "description" "class"
"GO:0019959" "MATCH" "1" "GO:0019959" "interleukin-8 binding" "molecular_function" "Interacting selectively and non-covalently with interleukin-8." "GOTerm"
"GO:0006641" "MATCH" "1" "GO:0006641" "triglyceride metabolic process" "biological_process" "The chemical reactions and pathways involving triglyceride, any triester of glycerol. The three fatty acid residues may all be the same or differ in any permutation. Triglycerides are important components of plant oils, animal fats and animal plasma lipoproteins." "GOTerm"
"GO:0005310" "MATCH" "1" "GO:0005310" "dicarboxylic acid transmembrane transporter activity" "molecular_function" "Enables the transfer of dicarboxylic acids from one side of a membrane to the other. A dicarboxylic acid is an organic acid with two COOH groups." "GOTerm"
"GO:0006644" "MATCH" "1" "GO:0006644" "phospholipid metabolic process" "biological_process" "The chemical reactions and pathways involving phospholipids, any lipid containing phosphoric acid as a mono- or diester." "GOTerm"
"GO:0005314" "MATCH" "1" "GO:0005314" "high-affinity glutamate transmembrane transporter activity" "molecular_function" "Enables the transfer of glutamate from one side of a membrane to the other. In high-affinity transport the transporter is able to bind the solute even if it is only present at very low concentrations." "GOTerm"
"GO:0006642" "MATCH" "1" "GO:0006642" "triglyceride mobilization" "biological_process" "The release of triglycerides, any triester of glycerol, from storage within cells or tissues, making them available for metabolism." "GOTerm"
"GO:0006643" "MATCH" "1" "GO:0006643" "membrane lipid metabolic process" "biological_process" "The chemical reactions and pathways involving membrane lipids, any lipid found in or associated with a biological membrane." "GOTerm"
"GO:0005313" "MATCH" "1" "GO:0005313" "L-glutamate transmembrane transporter activity" "molecular_function" "Enables the transfer of L-glutamate from one side of a membrane to the other. L-glutamate is the anion of 2-aminopentanedioic acid." "GOTerm"
"GO:0006637" "MATCH" "1" "GO:0006637" "acyl-CoA metabolic process" "biological_process" "The chemical reactions and pathways involving acyl-CoA, any derivative of coenzyme A in which the sulfhydryl group is in thiolester linkage with an acyl group." "GOTerm"
"GO:0032924" "MATCH" "1" "GO:0032924" "activin receptor signaling pathway" "biological_process" "A series of molecular signals initiated by the binding of an extracellular ligand to an activin receptor on the surface of a target cell, and ending with regulation of a downstream cellular process, e.g. transcription." "GOTerm"
"GO:0032925" "MATCH" "1" "GO:0032925" "regulation of activin receptor signaling pathway" "biological_process" "Any process that modulates the frequency, rate or extent of the activity of any activin receptor signaling pathway." "GOTerm"
"GO:0005307" "MATCH" "1" "GO:0005307" "choline:sodium symporter activity" "molecular_function" "Enables the transfer of a solute or solutes from one side of a membrane to the other according to the reaction: choline(out) + Na+(out) = choline(in) + Na+(in)." "GOTerm"
"GO:0006635" "MATCH" "1" "GO:0006635" "fatty acid beta-oxidation" "biological_process" "A fatty acid oxidation process that results in the complete oxidation of a long-chain fatty acid. Fatty acid beta-oxidation begins with the addition of coenzyme A to a fatty acid, and occurs by successive cycles of reactions during each of which the fatty acid is shortened by a two-carbon fragment removed as acetyl coenzyme A; the cycle continues until only two or three carbons remain (as acetyl-CoA or propionyl-CoA respectively)." "GOTerm"
"GO:0032922" "MATCH" "1" "GO:0032922" "circadian regulation of gene expression" "biological_process" "Any process that modulates the frequency, rate or extent of gene expression such that an expression pattern recurs with a regularity of approximately 24 hours." "GOTerm"
"GO:0006636" "MATCH" "1" "GO:0006636" "unsaturated fatty acid biosynthetic process" "biological_process" "The chemical reactions and pathways resulting in the formation of an unsaturated fatty acid, any fatty acid containing one or more double bonds between carbon atoms." "GOTerm"
"GO:0032923" "MATCH" "1" "GO:0032923" "organic phosphonate biosynthetic process" "biological_process" "The chemical reactions and pathways resulting in the formation of phosphonates, any organic compound containing one or more C-PO(OH)2 or C-PO(OR)2 (with R=alkyl, aryl) groups. Synthesis of phosphonic acid itself, an inorganic compound without the biochemically relevant C-P bond, is not included." "GOTerm"
"GO:0005309" "MATCH" "1" "GO:0005309" "creatine:sodium symporter activity" "molecular_function" "Enables the transfer of a solute or solutes from one side of a membrane to the other according to the reaction: creatine(out) + Na+(out) = creatine(in) + Na+(in)." "GOTerm"
"GO:0032928" "MATCH" "1" "GO:0032928" "regulation of superoxide anion generation" "biological_process" "Any process that modulates the frequency, rate or extent of enzymatic generation of superoxide by a cell." "GOTerm"
"GO:0005308" "MATCH" "1" "GO:0005308" "creatine transmembrane transporter activity" "molecular_function" "Enables the transfer of creatine from one side of a membrane to the other. Creatine is a compound synthesized from the amino acids arginine, glycine, and methionine that occurs in muscle." "GOTerm"
"GO:0032929" "MATCH" "1" "GO:0032929" "negative regulation of superoxide anion generation" "biological_process" "Any process that stops, prevents, or reduces the frequency, rate or extent of enzymatic generation of superoxide by a cell." "GOTerm"
"GO:0006639" "MATCH" "1" "GO:0006639" "acylglycerol metabolic process" "biological_process" "The chemical reactions and pathways involving acylglycerol, any mono-, di- or triester of glycerol with (one or more) fatty acids." "GOTerm"
"GO:0032926" "MATCH" "1" "GO:0032926" "negative regulation of activin receptor signaling pathway" "biological_process" "Any process that stops, prevents, or reduces the frequency, rate or extent of the activity of any activin receptor signaling pathway." "GOTerm"
"GO:0032927" "MATCH" "1" "GO:0032927" "positive regulation of activin receptor signaling pathway" "biological_process" "Any process that activates or increases the frequency, rate or extent of the activity of any activin receptor signaling pathway." "GOTerm"
"GO:0019964" "MATCH" "1" "GO:0019964" "interferon-gamma binding" "molecular_function" "Interacting selectively and non-covalently with interferon-gamma. Interferon gamma is the only member of the type II interferon found so far." "GOTerm"
"GO:0032920" "MATCH" "1" "GO:0032920" "putrescine acetylation" "biological_process" "The modification of putrescine by addition of acetyl groups." "GOTerm"
"GO:0019966" "MATCH" "1" "GO:0019966" "interleukin-1 binding" "molecular_function" "Interacting selectively and non-covalently with interleukin-1." "GOTerm"
"GO:0019948" "MATCH" "1" "GO:0019948" "SUMO activating enzyme activity" "molecular_function" "Catalysis of the activation of the proteolytically processed small ubiquitin-related modifier SUMO, through the formation of an ATP-dependent high-energy thiolester bond." "GOTerm"
"GO:0006651" "MATCH" "1" "GO:0006651" "diacylglycerol biosynthetic process" "biological_process" "The chemical reactions and pathways resulting in the formation of diacylglycerol, a glyceride in which any two of the R groups (positions not specified) are acyl groups while the remaining R group can be either H or an alkyl group." "GOTerm"
"GO:0032919" "MATCH" "1" "GO:0032919" "spermine acetylation" "biological_process" "The modification of spermine by addition of acetyl groups." "GOTerm"
"GO:0006650" "MATCH" "1" "GO:0006650" "glycerophospholipid metabolic process" "biological_process" "The chemical reactions and pathways involving glycerophospholipids, any derivative of glycerophosphate that contains at least one O-acyl, O-alkyl, or O-alkenyl group attached to the glycerol residue." "GOTerm"
"GO:0006655" "MATCH" "1" "GO:0006655" "phosphatidylglycerol biosynthetic process" "biological_process" "The chemical reactions and pathways resulting in the formation of phosphatidylglycerols, any of a class of phospholipids in which the phosphatidyl group is esterified to the hydroxyl group of glycerol." "GOTerm"
"GO:0006656" "MATCH" "1" "GO:0006656" "phosphatidylcholine biosynthetic process" "biological_process" "The chemical reactions and pathways resulting in the formation of phosphatidylcholines, any of a class of glycerophospholipids in which the phosphatidyl group is esterified to the hydroxyl group of choline." "GOTerm"
"GO:0006653" "MATCH" "1" "GO:0006653" "1,2-diacyl-sn-glycero-3-phosphocholine metabolic process" "biological_process" "The chemical reactions and pathways involving any 1,2-diacyl-sn-glycero-3-phosphocholine, the compounds most commonly designated lecithin." "GOTerm"
"GO:0005324" "MATCH" "1" "GO:0005324" "long-chain fatty acid transporter activity" "molecular_function" "Enables the transfer of long-chain fatty acids from one side of a membrane to the other. A long-chain fatty acid is a fatty acid with a chain length between C13 and C22." "GOTerm"
"GO:0006654" "MATCH" "1" "GO:0006654" "phosphatidic acid biosynthetic process" "biological_process" "The chemical reactions and pathways resulting in the formation of phosphatidic acid, any derivative of glycerol phosphate in which both the remaining hydroxyl groups of the glycerol moiety are esterified with fatty acids." "GOTerm"
"GO:0005315" "MATCH" "1" "GO:0005315" "inorganic phosphate transmembrane transporter activity" "molecular_function" "Enables the transfer of a inorganic phosphate from one side of a membrane to the other, up its concentration gradient. The transporter binds the solute and undergoes a series of conformational changes. Transport works equally well in either direction and is driven by a chemiosmotic source of energy. Secondary active transporters include symporters and antiporters." "GOTerm"
"GO:0006649" "MATCH" "1" "GO:0006649" "phospholipid transfer to membrane" "biological_process" "The transfer of a phospholipid from its site of synthesis to the plasma membrane." "GOTerm"
"GO:0032914" "MATCH" "1" "GO:0032914" "positive regulation of transforming growth factor beta1 production" "biological_process" "Any process that activates or increases the frequency, rate, or extent of production of transforming growth factor-beta1." "GOTerm"
"GO:0006646" "MATCH" "1" "GO:0006646" "phosphatidylethanolamine biosynthetic process" "biological_process" "The chemical reactions and pathways resulting in the formation of phosphatidylethanolamine, any of a class of glycerophospholipids in which a phosphatidyl group is esterified to the hydroxyl group of ethanolamine." "GOTerm"
"GO:0032911" "MATCH" "1" "GO:0032911" "negative regulation of transforming growth factor beta1 production" "biological_process" "Any process that stops, prevents, or reduces the frequency, rate, or extent of production of transforming growth factor-beta1." "GOTerm"
"GO:0005319" "MATCH" "1" "GO:0005319" "lipid transporter activity" "molecular_function" "Enables the directed movement of lipids into, out of or within a cell, or between cells." "GOTerm"
"GO:0032918" "MATCH" "1" "GO:0032918" "spermidine acetylation" "biological_process" "The modification of spermidine by addition of acetyl groups." "GOTerm"
"GO:0032915" "MATCH" "1" "GO:0032915" "positive regulation of transforming growth factor beta2 production" "biological_process" "Any process that activates or increases the frequency, rate, or extent of production of transforming growth factor-beta2." "GOTerm"
"GO:0019953" "MATCH" "1" "GO:0019953" "sexual reproduction" "biological_process" "A reproduction process that creates a new organism by combining the genetic material of two gametes, which may come from two organisms or from a single organism, in the case of self-fertilizing hermaphrodites, e.g. C. elegans, or self-fertilization in plants. It occurs both in eukaryotes and prokaryotes: in multicellular eukaryotic organisms, an individual is created anew; in prokaryotes, the initial cell has additional or transformed genetic material. In a process called genetic recombination, genetic material (DNA) originating from two gametes join up so that homologous sequences are aligned with each other, and this is followed by exchange of genetic information. After the new recombinant chromosome is formed, it is passed on to progeny." "GOTerm"
"GO:0019955" "MATCH" "1" "GO:0019955" "cytokine binding" "molecular_function" "Interacting selectively and non-covalently with a cytokine, any of a group of proteins that function to control the survival, growth and differentiation of tissues and cells, and which have autocrine and paracrine activity." "GOTerm"
"GO:0019954" "MATCH" "1" "GO:0019954" "asexual reproduction" "biological_process" "The biological process in which new individuals are produced by either a single cell or a group of cells, in the absence of any sexual process." "GOTerm"
"GO:0019934" "MATCH" "1" "GO:0019934" "cGMP-mediated signaling" "biological_process" "Any intracellular signal transduction in which the signal is passed on within the cell via cyclic GMP (cGMP). Includes production of cGMP, and downstream effectors that further transmit the signal within the cell." "GOTerm"
"GO:0032909" "MATCH" "1" "GO:0032909" "regulation of transforming growth factor beta2 production" "biological_process" "Any process that modulates the frequency, rate, or extent of production of transforming growth factor-beta2." "GOTerm"
"GO:0006622" "MATCH" "1" "GO:0006622" "protein targeting to lysosome" "biological_process" "The process of directing proteins towards the lysosome using signals contained within the protein." "GOTerm"
"GO:0006623" "MATCH" "1" "GO:0006623" "protein targeting to vacuole" "biological_process" "The process of directing proteins towards the vacuole, usually using signals contained within the protein." "GOTerm"
"GO:0006620" "MATCH" "1" "GO:0006620" "posttranslational protein targeting to endoplasmic reticulum membrane" "biological_process" "The targeting of proteins to a membrane that occurs after their translation. Some secretory proteins exhibit posttranslational transport into the endoplasmic reticulum (ER) lumen: they are synthesized in their entirety on free cytosolic ribosomes and then released into the cytosol, where they are bound by chaperones which keep them in an unfolded state, and subsequently are translocated across the ER membrane." "GOTerm"
"GO:0006621" "MATCH" "1" "GO:0006621" "protein retention in ER lumen" "biological_process" "The retention in the endoplasmic reticulum (ER) lumen of soluble resident proteins. Sorting receptors retrieve proteins with ER localization signals, such as KDEL and HDEL sequences or some transmembrane domains, that have escaped to the cis-Golgi network and return them to the ER. Abnormally folded proteins and unassembled subunits are also selectively retained in the ER." "GOTerm"
"GO:0032902" "MATCH" "1" "GO:0032902" "nerve growth factor production" "biological_process" "The appearance of nerve growth factor (NGF) due to biosynthesis or secretion by cells in a neuron's target field, resulting in an increase in its intracellular or extracellular levels." "GOTerm"
"GO:0006616" "MATCH" "1" "GO:0006616" "SRP-dependent cotranslational protein targeting to membrane, translocation" "biological_process" "The process during cotranslational membrane targeting wherein proteins move across a membrane. SRP and its receptor initiate the transfer of the nascent chain across the endoplasmic reticulum (ER) membrane; they then dissociate from the chain, which is transferred to a set of transmembrane proteins, collectively called the translocon. Once the nascent chain translocon complex is assembled, the elongating chain passes directly from the large ribosomal subunit into the centers of the translocon, a protein-lined channel within the membrane. The growing chain is never exposed to the cytosol and does not fold until it reaches the ER lumen." "GOTerm"
"GO:0006613" "MATCH" "1" "GO:0006613" "cotranslational protein targeting to membrane" "biological_process" "The targeting of proteins to a membrane that occurs during translation. The transport of most secretory proteins, particularly those with more than 100 amino acids, into the endoplasmic reticulum lumen occurs in this manner, as does the import of some proteins into mitochondria." "GOTerm"
"GO:0006614" "MATCH" "1" "GO:0006614" "SRP-dependent cotranslational protein targeting to membrane" "biological_process" "The targeting of proteins to a membrane that occurs during translation and is dependent upon two key components, the signal-recognition particle (SRP) and the SRP receptor. SRP is a cytosolic particle that transiently binds to the endoplasmic reticulum (ER) signal sequence in a nascent protein, to the large ribosomal unit, and to the SRP receptor in the ER membrane." "GOTerm"
"GO:0006617" "MATCH" "1" "GO:0006617" "SRP-dependent cotranslational protein targeting to membrane, signal sequence recognition" "biological_process" "The process in which SRP binds to the signal peptide in a nascent protein, causing protein elongation to pause, during cotranslational membrane targeting." "GOTerm"
"GO:0019941" "MATCH" "1" "GO:0019941" "modification-dependent protein catabolic process" "biological_process" "The chemical reactions and pathways resulting in the breakdown of a protein or peptide by hydrolysis of its peptide bonds, initiated by the covalent modification of the target protein." "GOTerm"
"GO:0006633" "MATCH" "1" "GO:0006633" "fatty acid biosynthetic process" "biological_process" "The chemical reactions and pathways resulting in the formation of a fatty acid, any of the aliphatic monocarboxylic acids that can be liberated by hydrolysis from naturally occurring fats and oils. Fatty acids are predominantly straight-chain acids of 4 to 24 carbon atoms, which may be saturated or unsaturated; branched fatty acids and hydroxy fatty acids also occur, and very long chain acids of over 30 carbons are found in waxes." "GOTerm"
"GO:0006631" "MATCH" "1" "GO:0006631" "fatty acid metabolic process" "biological_process" "The chemical reactions and pathways involving fatty acids, aliphatic monocarboxylic acids liberated from naturally occurring fats and oils by hydrolysis." "GOTerm"
"GO:0005302" "MATCH" "1" "GO:0005302" "L-tyrosine transmembrane transporter activity" "molecular_function" "Enables the transfer of L-tyrosine from one side of a membrane to the other. L-tyrosine is 2-amino-3-(4-hydroxyphenyl)propanoic acid." "GOTerm"
"GO:0006626" "MATCH" "1" "GO:0006626" "protein targeting to mitochondrion" "biological_process" "The process of directing proteins towards and into the mitochondrion, usually mediated by mitochondrial proteins that recognize signals contained within the imported protein." "GOTerm"
"GO:0006627" "MATCH" "1" "GO:0006627" "protein processing involved in protein targeting to mitochondrion" "biological_process" "The cleavage of peptide bonds in proteins, usually near the N terminus, contributing to the process of import into the mitochondrion. Several different peptidases mediate cleavage of proteins destined for different mitochondrial compartments." "GOTerm"
"GO:0006624" "MATCH" "1" "GO:0006624" "vacuolar protein processing" "biological_process" "Protein processing that takes place in the vacuole. Most protein processing in the vacuole represents proteolytic cleavage of precursors to form active enzymes." "GOTerm"
"GO:0006625" "MATCH" "1" "GO:0006625" "protein targeting to peroxisome" "biological_process" "The process of directing proteins towards the peroxisome, usually using signals contained within the protein." "GOTerm"
"GO:0006629" "MATCH" "1" "GO:0006629" "lipid metabolic process" "biological_process" "The chemical reactions and pathways involving lipids, compounds soluble in an organic solvent but not, or sparingly, in an aqueous solvent. Includes fatty acids; neutral fats, other fatty-acid esters, and soaps; long-chain (fatty) alcohols and waxes; sphingoids and other long-chain bases; glycolipids, phospholipids and sphingolipids; and carotenes, polyprenols, sterols, terpenes and other isoprenoids." "GOSlimTerm"
"GO:0019933" "MATCH" "1" "GO:0019933" "cAMP-mediated signaling" "biological_process" "Any intracellular signal transduction in which the signal is passed on within the cell via cyclic AMP (cAMP). Includes production of cAMP, and downstream effectors that further transmit the signal within the cell." "GOTerm"
"GO:0019932" "MATCH" "1" "GO:0019932" "second-messenger-mediated signaling" "biological_process" "Any intracellular signal transduction in which the signal is passed on within the cell via a second messenger; a small molecule or ion that can be quickly generated or released from intracellular stores, and can diffuse within the cell. Second-messenger signaling includes production or release of the second messenger, and effectors downstream of the second messenger that further transmit the signal within the cell." "GOTerm"
"GO:0043625" "MATCH" "1" "GO:0043625" "delta DNA polymerase complex" "cellular_component" "A multimeric DNA polymerase enzyme complex which differs in composition amongst species; in humans it is a heterotetramer of four subunits of approximately 125, 50, 68 and 12kDa, while in S. cerevisiae, it has three different subunits which form a heterotrimer, and the active enzyme is a dimer of this heterotrimer. Functions in DNA replication, mismatch repair and excision repair." "GOTerm"
"GO:0043627" "MATCH" "1" "GO:0043627" "response to estrogen" "biological_process" "Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of stimulus by an estrogen, C18 steroid hormones that can stimulate the development of female sexual characteristics." "GOTerm"
"GO:0043629" "MATCH" "1" "GO:0043629" "ncRNA polyadenylation" "biological_process" "The enzymatic addition of a sequence of adenylyl residues at the 3' end of a non-coding RNA (ncRNA) molecule. In eukaryotes, substrates include nuclear non-coding RNAs such as precursors and a variety of incorrectly processed forms of snRNAs, snoRNAs, rRNAs, and tRNAs, as well as discarded RNA fragments which have been removed from ncRNA primary transcripts. Polyadenylation of precursors is often linked to termination of transcription, but polyadenylation of RNAs targeted for degradation may also occur post-transcriptionally. This polyadenylation is important both for 3'-end processing to produce mature ncRNA species and also for targeting incorrectly processed or discarded RNA molecules for degradation." "GOTerm"
"GO:0005350" "MATCH" "1" "GO:0005350" "pyrimidine nucleobase transmembrane transporter activity" "molecular_function" "Enables the transfer of pyrimidine nucleobases, one of the two classes of nitrogen-containing ring compounds found in DNA and RNA, from one side of a membrane to the other." "GOTerm"
"GO:0004021" "MATCH" "1" "GO:0004021" "L-alanine:2-oxoglutarate aminotransferase activity" "molecular_function" "Catalysis of the reaction: 2-oxoglutarate + L-alanine = L-glutamate + pyruvate." "GOTerm"
"GO:0006684" "MATCH" "1" "GO:0006684" "sphingomyelin metabolic process" "biological_process" "The chemical reactions and pathways involving sphingomyelin, N-acyl-4-sphingenyl-1-O-phosphorylcholine, any of a class of phospholipids in which the amino group of sphingosine is in amide linkage with one of several fatty acids, while the terminal hydroxyl group of sphingosine is esterified to phosphorylcholine." "GOTerm"
"GO:0004020" "MATCH" "1" "GO:0004020" "adenylylsulfate kinase activity" "molecular_function" "Catalysis of the reaction: ATP + adenylylsulfate = ADP + 3'-phosphoadenosine 5'-phosphosulfate." "GOTerm"
"GO:0005351" "MATCH" "1" "GO:0005351" "carbohydrate:proton symporter activity" "molecular_function" "Enables the transfer of a solute or solutes from one side of a membrane to the other according to the reaction: carbohydrate(out) + H+(out) = carbohydrate(in) + H+(in)." "GOTerm"
"GO:0006685" "MATCH" "1" "GO:0006685" "sphingomyelin catabolic process" "biological_process" "The chemical reactions and pathways resulting in the breakdown of sphingomyelin, N-acyl-4-sphingenyl-1-O-phosphorylcholine." "GOTerm"
"GO:0006682" "MATCH" "1" "GO:0006682" "galactosylceramide biosynthetic process" "biological_process" "The chemical reactions and pathways resulting in the formation of galactosylceramides, any compound formed by the replacement of the glycosidic hydroxyl group of a cyclic form of galactose by a ceramide group." "GOTerm"
"GO:0043620" "MATCH" "1" "GO:0043620" "regulation of DNA-templated transcription in response to stress" "biological_process" "Modulation of the frequency, rate or extent of transcription from a DNA template as a result of a stimulus indicating the organism is under stress. The stress is usually, but not necessarily, exogenous (e.g. temperature, humidity, ionizing radiation)." "GOTerm"
"GO:0004022" "MATCH" "1" "GO:0004022" "alcohol dehydrogenase (NAD+) activity" "molecular_function" "Catalysis of the reaction: an alcohol + NAD+ = an aldehyde or ketone + NADH + H+." "GOTerm"
"GO:0005353" "MATCH" "1" "GO:0005353" "fructose transmembrane transporter activity" "molecular_function" "Enables the transfer of fructose from one side of a membrane to the other. Fructose exists in a open chain form or as a ring compound. D-fructose is the sweetest of the sugars and is found free in a large number of fruits and honey." "GOTerm"
"GO:0006683" "MATCH" "1" "GO:0006683" "galactosylceramide catabolic process" "biological_process" "The chemical reactions and pathways resulting in the breakdown of galactosylceramides, any compound formed by the replacement of the glycosidic hydroxyl group of a cyclic form of galactose by a ceramide group." "GOTerm"
"GO:0006688" "MATCH" "1" "GO:0006688" "glycosphingolipid biosynthetic process" "biological_process" "The chemical reactions and pathways resulting in the formation of glycosphingolipid, a compound with residues of sphingoid and at least one monosaccharide." "GOTerm"
"GO:0043622" "MATCH" "1" "GO:0043622" "cortical microtubule organization" "biological_process" "A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of structures formed of microtubules and associated proteins in the cell cortex, i.e. just beneath the plasma membrane of a cell." "GOTerm"
"GO:0005355" "MATCH" "1" "GO:0005355" "glucose transmembrane transporter activity" "molecular_function" "Enables the transfer of the hexose monosaccharide glucose from one side of a membrane to the other." "GOTerm"
"GO:0006689" "MATCH" "1" "GO:0006689" "ganglioside catabolic process" "biological_process" "The chemical reactions and pathways resulting in the breakdown of ganglioside, a ceramide oligosaccharide carrying, in addition to other sugar residues, one or more sialic residues." "GOTerm"
"GO:0043621" "MATCH" "1" "GO:0043621" "protein self-association" "molecular_function" "Interacting selectively and non-covalently with a domain within the same polypeptide." "GOTerm"
"GO:0043624" "MATCH" "1" "GO:0043624" "cellular protein complex disassembly" "biological_process" "The disaggregation of a protein complex into its constituent components, occurring at the level of an individual cell. Protein complexes may have other associated non-protein prosthetic groups, such as nucleic acids, metal ions or carbohydrate groups." "GOTerm"
"GO:0006686" "MATCH" "1" "GO:0006686" "sphingomyelin biosynthetic process" "biological_process" "The chemical reactions and pathways resulting in the formation of sphingomyelin, N-acyl-4-sphingenyl-1-O-phosphorylcholine." "GOTerm"
"GO:0006687" "MATCH" "1" "GO:0006687" "glycosphingolipid metabolic process" "biological_process" "The chemical reactions and pathways involving glycosphingolipids, any compound with residues of sphingoid and at least one monosaccharide." "GOTerm"
"GO:0004018" "MATCH" "1" "GO:0004018" "N6-(1,2-dicarboxyethyl)AMP AMP-lyase (fumarate-forming) activity" "molecular_function" "Catalysis of the reaction: N6-(1,2-dicarboxyethyl)AMP = fumarate + AMP." "GOTerm"
"GO:0032968" "MATCH" "1" "GO:0032968" "positive regulation of transcription elongation from RNA polymerase II promoter" "biological_process" "Any process that activates or increases the frequency, rate or extent of transcription elongation, the extension of an RNA molecule after transcription initiation and promoter clearance by the addition of ribonucleotides, catalyzed by RNA polymerase II." "GOTerm"
"GO:0004017" "MATCH" "1" "GO:0004017" "adenylate kinase activity" "molecular_function" "Catalysis of the reaction: ATP + AMP = 2 ADP." "GOTerm"
"GO:0031638" "MATCH" "1" "GO:0031638" "zymogen activation" "biological_process" "The proteolytic processing of an inactive enzyme to an active form." "GOTerm"
