"gene"	"scaffold"	"start"	"stop"	"adj.pval.treatment1"	"adj.pval.treatment2"	"adj.pval.treatment1_x_treatment2"	"adj.pval.treatment1_x_position"	"adj.pval.treatment2_x_position"	"adj.pval.treatment1_x_pval.treatment2_x_position"	"uniprot.id"	"blastx.eval"	"score"	"protein"	"protein.name"	"taxon"	"Length"	"GO.BP"	"GO.CC"	"GO.GO"	"GO.MF"	"GO.IDs"
"PGEN_00000265"	"PGA_scaffold17__51_contigs__length_34923512"	10207401	10242715	1.34448319807522e-05	0.537234252832976	0.00236600980855902	0.187223902128736	0.857654941349494	0.735140215650646	"TRIO_HUMAN"	5.84e-126	414	"Triple functional domain protein (EC 2.7.11.1) (PTPRF-interacting protein)"	"TRIO"	"Homo sapiens (Human)"	3097	"G protein-coupled receptor signaling pathway [GO:0007186]; axon guidance [GO:0007411]; central nervous system development [GO:0007417]; negative regulation of fat cell differentiation [GO:0045599]; positive regulation of apoptotic process [GO:0043065]; regulation of Rho protein signal transduction [GO:0035023]; regulation of small GTPase mediated signal transduction [GO:0051056]; transmembrane receptor protein tyrosine phosphatase signaling pathway [GO:0007185]"	"cell projection [GO:0042995]; cytosol [GO:0005829]"	"cell projection [GO:0042995]; cytosol [GO:0005829]; ATP binding [GO:0005524]; guanyl-nucleotide exchange factor activity [GO:0005085]; protein serine/threonine kinase activity [GO:0004674]; Rho guanyl-nucleotide exchange factor activity [GO:0005089]; axon guidance [GO:0007411]; central nervous system development [GO:0007417]; G protein-coupled receptor signaling pathway [GO:0007186]; negative regulation of fat cell differentiation [GO:0045599]; positive regulation of apoptotic process [GO:0043065]; regulation of Rho protein signal transduction [GO:0035023]; regulation of small GTPase mediated signal transduction [GO:0051056]; transmembrane receptor protein tyrosine phosphatase signaling pathway [GO:0007185]"	"ATP binding [GO:0005524]; Rho guanyl-nucleotide exchange factor activity [GO:0005089]; guanyl-nucleotide exchange factor activity [GO:0005085]; protein serine/threonine kinase activity [GO:0004674]"	"GO:0004674; GO:0005085; GO:0005089; GO:0005524; GO:0005829; GO:0007185; GO:0007186; GO:0007411; GO:0007417; GO:0035023; GO:0042995; GO:0043065; GO:0045599; GO:0051056"
"PGEN_00000315"	"PGA_scaffold17__51_contigs__length_34923512"	12028303	12062336	0.358696104796982	0.00515828825904592	0.0124090654186857	0.22396268608671	0.540526033975349	0.347228862910842	"LAR4B_HUMAN"	1.54e-32	138	"La-related protein 4B (La ribonucleoprotein domain family member 4B) (La ribonucleoprotein domain family member 5) (La-related protein 5)"	"LARP4B KIAA0217 LARP5"	"Homo sapiens (Human)"	738	"positive regulation of translation [GO:0045727]"	"cytoplasmic stress granule [GO:0010494]; cytosol [GO:0005829]; membrane [GO:0016020]; nucleolus [GO:0005730]; polysomal ribosome [GO:0042788]"	"cytoplasmic stress granule [GO:0010494]; cytosol [GO:0005829]; membrane [GO:0016020]; nucleolus [GO:0005730]; polysomal ribosome [GO:0042788]; RNA binding [GO:0003723]; positive regulation of translation [GO:0045727]"	"RNA binding [GO:0003723]"	"GO:0003723; GO:0005730; GO:0005829; GO:0010494; GO:0016020; GO:0042788; GO:0045727"
"PGEN_00000399"	"PGA_scaffold17__51_contigs__length_34923512"	15591906	15600714	0.662673141448522	0.537234252832976	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"PGEN_00000520"	"PGA_scaffold17__51_contigs__length_34923512"	20826862	20851615	0.816505327852317	0.570092098137814	0.0490807781109266	0.950797264523871	0.880195781416673	0.0796103974763518	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"PGEN_00000575"	"PGA_scaffold17__51_contigs__length_34923512"	23289709	23311796	0.146499879764299	0.99999365734988	0	0	0	0	"NRX3A_CHICK"	1.38e-31	137	"Neurexin-3 (Neurexin III-alpha) (Neurexin-3-alpha)"	""	"Gallus gallus (Chicken)"	1693	"cell adhesion [GO:0007155]"	"integral component of membrane [GO:0016021]"	"integral component of membrane [GO:0016021]; metal ion binding [GO:0046872]; cell adhesion [GO:0007155]"	"metal ion binding [GO:0046872]"	"GO:0007155; GO:0016021; GO:0046872"
"PGEN_00000575"	"PGA_scaffold17__51_contigs__length_34923512"	23289709	23311796	0.146499879764299	0.99999365734988	0	0	0	0	"NRX3A_CHICK"	2.7e-08	62	"Neurexin-3 (Neurexin III-alpha) (Neurexin-3-alpha)"	""	"Gallus gallus (Chicken)"	1693	"cell adhesion [GO:0007155]"	"integral component of membrane [GO:0016021]"	"integral component of membrane [GO:0016021]; metal ion binding [GO:0046872]; cell adhesion [GO:0007155]"	"metal ion binding [GO:0046872]"	"GO:0007155; GO:0016021; GO:0046872"
"PGEN_00000682"	"PGA_scaffold17__51_contigs__length_34923512"	28317548	28346748	0.0410140154865654	0.99999365734988	0.00802019878802171	0.770132060481011	0.576943712822139	0.347228862910842	"PALLD_HUMAN"	8.31e-10	67.4	"Palladin (SIH002) (Sarcoma antigen NY-SAR-77)"	"PALLD KIAA0992 CGI-151"	"Homo sapiens (Human)"	1383	"actin cytoskeleton organization [GO:0030036]; axon guidance [GO:0007411]; cell migration [GO:0016477]; cytoskeleton organization [GO:0007010]; dendrite self-avoidance [GO:0070593]; epithelial cell morphogenesis [GO:0003382]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]; keratinocyte development [GO:0003334]"	"Z disc [GO:0030018]; actin cytoskeleton [GO:0015629]; actin filament [GO:0005884]; axon [GO:0030424]; cytosol [GO:0005829]; focal adhesion [GO:0005925]; growth cone [GO:0030426]; lamellipodium [GO:0030027]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; podosome [GO:0002102]; ruffle [GO:0001726]"	"actin cytoskeleton [GO:0015629]; actin filament [GO:0005884]; axon [GO:0030424]; cytosol [GO:0005829]; focal adhesion [GO:0005925]; growth cone [GO:0030426]; lamellipodium [GO:0030027]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; podosome [GO:0002102]; ruffle [GO:0001726]; Z disc [GO:0030018]; actin binding [GO:0003779]; cell-cell adhesion mediator activity [GO:0098632]; muscle alpha-actinin binding [GO:0051371]; actin cytoskeleton organization [GO:0030036]; axon guidance [GO:0007411]; cell migration [GO:0016477]; cytoskeleton organization [GO:0007010]; dendrite self-avoidance [GO:0070593]; epithelial cell morphogenesis [GO:0003382]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]; keratinocyte development [GO:0003334]"	"actin binding [GO:0003779]; cell-cell adhesion mediator activity [GO:0098632]; muscle alpha-actinin binding [GO:0051371]"	"GO:0001726; GO:0002102; GO:0003334; GO:0003382; GO:0003779; GO:0005634; GO:0005829; GO:0005884; GO:0005886; GO:0005925; GO:0007010; GO:0007156; GO:0007411; GO:0015629; GO:0016477; GO:0030018; GO:0030027; GO:0030036; GO:0030424; GO:0030426; GO:0051371; GO:0070593; GO:0098632"
"PGEN_00000682"	"PGA_scaffold17__51_contigs__length_34923512"	28317548	28346748	0.0410140154865654	0.99999365734988	0.00802019878802171	0.770132060481011	0.576943712822139	0.347228862910842	"PALLD_HUMAN"	1.39e-15	86.3	"Palladin (SIH002) (Sarcoma antigen NY-SAR-77)"	"PALLD KIAA0992 CGI-151"	"Homo sapiens (Human)"	1383	"actin cytoskeleton organization [GO:0030036]; axon guidance [GO:0007411]; cell migration [GO:0016477]; cytoskeleton organization [GO:0007010]; dendrite self-avoidance [GO:0070593]; epithelial cell morphogenesis [GO:0003382]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]; keratinocyte development [GO:0003334]"	"Z disc [GO:0030018]; actin cytoskeleton [GO:0015629]; actin filament [GO:0005884]; axon [GO:0030424]; cytosol [GO:0005829]; focal adhesion [GO:0005925]; growth cone [GO:0030426]; lamellipodium [GO:0030027]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; podosome [GO:0002102]; ruffle [GO:0001726]"	"actin cytoskeleton [GO:0015629]; actin filament [GO:0005884]; axon [GO:0030424]; cytosol [GO:0005829]; focal adhesion [GO:0005925]; growth cone [GO:0030426]; lamellipodium [GO:0030027]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; podosome [GO:0002102]; ruffle [GO:0001726]; Z disc [GO:0030018]; actin binding [GO:0003779]; cell-cell adhesion mediator activity [GO:0098632]; muscle alpha-actinin binding [GO:0051371]; actin cytoskeleton organization [GO:0030036]; axon guidance [GO:0007411]; cell migration [GO:0016477]; cytoskeleton organization [GO:0007010]; dendrite self-avoidance [GO:0070593]; epithelial cell morphogenesis [GO:0003382]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]; keratinocyte development [GO:0003334]"	"actin binding [GO:0003779]; cell-cell adhesion mediator activity [GO:0098632]; muscle alpha-actinin binding [GO:0051371]"	"GO:0001726; GO:0002102; GO:0003334; GO:0003382; GO:0003779; GO:0005634; GO:0005829; GO:0005884; GO:0005886; GO:0005925; GO:0007010; GO:0007156; GO:0007411; GO:0015629; GO:0016477; GO:0030018; GO:0030027; GO:0030036; GO:0030424; GO:0030426; GO:0051371; GO:0070593; GO:0098632"
"PGEN_00000682"	"PGA_scaffold17__51_contigs__length_34923512"	28317548	28346748	0.0410140154865654	0.99999365734988	0.00802019878802171	0.770132060481011	0.576943712822139	0.347228862910842	"PALLD_HUMAN"	4.76e-10	68.2	"Palladin (SIH002) (Sarcoma antigen NY-SAR-77)"	"PALLD KIAA0992 CGI-151"	"Homo sapiens (Human)"	1383	"actin cytoskeleton organization [GO:0030036]; axon guidance [GO:0007411]; cell migration [GO:0016477]; cytoskeleton organization [GO:0007010]; dendrite self-avoidance [GO:0070593]; epithelial cell morphogenesis [GO:0003382]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]; keratinocyte development [GO:0003334]"	"Z disc [GO:0030018]; actin cytoskeleton [GO:0015629]; actin filament [GO:0005884]; axon [GO:0030424]; cytosol [GO:0005829]; focal adhesion [GO:0005925]; growth cone [GO:0030426]; lamellipodium [GO:0030027]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; podosome [GO:0002102]; ruffle [GO:0001726]"	"actin cytoskeleton [GO:0015629]; actin filament [GO:0005884]; axon [GO:0030424]; cytosol [GO:0005829]; focal adhesion [GO:0005925]; growth cone [GO:0030426]; lamellipodium [GO:0030027]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; podosome [GO:0002102]; ruffle [GO:0001726]; Z disc [GO:0030018]; actin binding [GO:0003779]; cell-cell adhesion mediator activity [GO:0098632]; muscle alpha-actinin binding [GO:0051371]; actin cytoskeleton organization [GO:0030036]; axon guidance [GO:0007411]; cell migration [GO:0016477]; cytoskeleton organization [GO:0007010]; dendrite self-avoidance [GO:0070593]; epithelial cell morphogenesis [GO:0003382]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]; keratinocyte development [GO:0003334]"	"actin binding [GO:0003779]; cell-cell adhesion mediator activity [GO:0098632]; muscle alpha-actinin binding [GO:0051371]"	"GO:0001726; GO:0002102; GO:0003334; GO:0003382; GO:0003779; GO:0005634; GO:0005829; GO:0005884; GO:0005886; GO:0005925; GO:0007010; GO:0007156; GO:0007411; GO:0015629; GO:0016477; GO:0030018; GO:0030027; GO:0030036; GO:0030424; GO:0030426; GO:0051371; GO:0070593; GO:0098632"
"PGEN_00000766"	"PGA_scaffold17__51_contigs__length_34923512"	31549367	31552552	0.733228979131608	0.796995654046093	0.004335299703967	0.22396268608671	0.178088161456704	0.528259912660491	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"PGEN_00000787"	"PGA_scaffold17__51_contigs__length_34923512"	32215716	32227300	0.0950911380397335	0.987766409766171	0.00495614165483275	0	0	0	"SVEP1_HUMAN"	5.28e-08	52.8	"Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1 (CCP module-containing protein 22) (Polydom) (Selectin-like osteoblast-derived protein) (SEL-OB) (Serologically defined breast cancer antigen NY-BR-38)"	"SVEP1 C9orf13 CCP22 SELOB"	"Homo sapiens (Human)"	3571	"cell adhesion [GO:0007155]"	"cytoplasm [GO:0005737]; extracellular region [GO:0005576]; membrane [GO:0016020]"	"cytoplasm [GO:0005737]; extracellular region [GO:0005576]; membrane [GO:0016020]; calcium ion binding [GO:0005509]; chromatin binding [GO:0003682]; cell adhesion [GO:0007155]"	"calcium ion binding [GO:0005509]; chromatin binding [GO:0003682]"	"GO:0003682; GO:0005509; GO:0005576; GO:0005737; GO:0007155; GO:0016020"
"PGEN_00000981"	"PGA_scaffold18__69_contigs__length_27737463"	3671325	3676386	0.958045696461479	0.926022874925822	0.00802019878802171	0.578305572553025	0.751781087817628	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"PGEN_00001153"	"PGA_scaffold18__69_contigs__length_27737463"	9064912	9066235	3.14684451954998e-13	0.598113222668725	3.24562218838566e-17	0.129704347748254	0.19496907792598	0.390080638200154	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"PGEN_00001233"	"PGA_scaffold18__69_contigs__length_27737463"	11339882	11408475	0.805266261035547	0.926022874925822	0.00292287229636047	0.503318920053732	0.934896065439189	0.376773933290708	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"PGEN_00001235"	"PGA_scaffold18__69_contigs__length_27737463"	11410442	11412656	0.727871615372255	0.99999365734988	0	0.57136663836506	0.576943712822139	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"PGEN_00001257"	"PGA_scaffold18__69_contigs__length_27737463"	12168093	12172566	0.587905093636631	4.02643695334844e-11	0.00394749806454234	0.396165120862783	0.717688463343081	0.483818433612826	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"PGEN_00001582"	"PGA_scaffold18__69_contigs__length_27737463"	24110077	24123087	0.733228979131608	0	0	0	0	0	"VP13C_MOUSE"	3.2e-51	186	"Vacuolar protein sorting-associated protein 13C"	"Vps13c Kiaa3021"	"Mus musculus (Mouse)"	3748	"mitochondrion organization [GO:0007005]; negative regulation of parkin-mediated stimulation of mitophagy in response to mitochondrial depolarization [GO:1905090]; protein retention in Golgi apparatus [GO:0045053]; protein targeting to vacuole [GO:0006623]"	"cytosol [GO:0005829]; extrinsic component of membrane [GO:0019898]; mitochondrial outer membrane [GO:0005741]"	"cytosol [GO:0005829]; extrinsic component of membrane [GO:0019898]; mitochondrial outer membrane [GO:0005741]; mitochondrion organization [GO:0007005]; negative regulation of parkin-mediated stimulation of mitophagy in response to mitochondrial depolarization [GO:1905090]; protein retention in Golgi apparatus [GO:0045053]; protein targeting to vacuole [GO:0006623]"	""	"GO:0005741; GO:0005829; GO:0006623; GO:0007005; GO:0019898; GO:0045053; GO:1905090"
"PGEN_00001635"	"PGA_scaffold18__69_contigs__length_27737463"	25289550	25334767	0.733228979131608	0.181365869636976	0.000894472021588646	0.121320342011158	0.229924420566056	0	"CTL2A_DANRE"	8.59e-32	124	"CTD small phosphatase-like protein 2-A (CTDSP-like 2-A) (EC 3.1.3.-)"	"ctdspl2a zgc:154017"	"Danio rerio (Zebrafish) (Brachydanio rerio)"	469	""	""	"phosphoprotein phosphatase activity [GO:0004721]"	"phosphoprotein phosphatase activity [GO:0004721]"	"GO:0004721"
"PGEN_00001636"	"PGA_scaffold18__69_contigs__length_27737463"	25329045	25387098	0.733228979131608	0.181365869636976	0.000894472021588646	0.121320342011158	0.229924420566056	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"PGEN_00001637"	"PGA_scaffold18__69_contigs__length_27737463"	25403390	25420991	0.662673141448522	0.99999365734988	1.99172153505359e-26	0.904140909431174	0.975006162591732	0.940043683761668	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
