"gene"	"adj.pval.Initial.Treatment"	"scaffold"	"start"	"end"	"uniprot.id"	"uniprot_taxa.id"	"Uniprot.Name"	"GO.IDs"	"GO.Descript"
"PGEN_.00g334400"	3.90984339002125e-88	"Scaffold_17"	21776739	21871098	"O01761"	"UNC89_CAEEL"	"Muscle M-line assembly protein unc-89 (Obscurin) (Uncoordinated protein 89)"	"GO:0004672; GO:0005089; GO:0005524; GO:0010628; GO:0014722; GO:0017048; GO:0019902; GO:0030241; GO:0031034; GO:0031430; GO:0031672; GO:0034613; GO:0040017; GO:0045214; GO:0045989; GO:0060298; GO:0071688; GO:0090736; GO:1905552; GO:1905905"	"A band [GO:0031672]; M band [GO:0031430]; ATP binding [GO:0005524]; MATH domain binding [GO:0090736]; phosphatase binding [GO:0019902]; protein kinase activity [GO:0004672]; Rho GTPase binding [GO:0017048]; Rho guanyl-nucleotide exchange factor activity [GO:0005089]; cellular protein localization [GO:0034613]; myosin filament assembly [GO:0031034]; pharyngeal gland morphogenesis [GO:1905905]; positive regulation of gene expression [GO:0010628]; positive regulation of locomotion [GO:0040017]; positive regulation of protein localization to endoplasmic reticulum [GO:1905552]; positive regulation of sarcomere organization [GO:0060298]; positive regulation of striated muscle contraction [GO:0045989]; regulation of skeletal muscle contraction by calcium ion signaling [GO:0014722]; sarcomere organization [GO:0045214]; skeletal muscle myosin thick filament assembly [GO:0030241]; striated muscle myosin thick filament assembly [GO:0071688]"
"PGEN_.00g316430"	6.11905060694184e-85	"Scaffold_16"	1807747	1819568	NA	NA	NA	NA	NA
"PGEN_.00g291910"	7.59354194203148e-83	"Scaffold_14"	35949839	35966065	"Q4PJX1"	"ODR4_MOUSE"	"Protein odr-4 homolog (mODR-4)"	"GO:0008104; GO:0016021"	"integral component of membrane [GO:0016021]; protein localization [GO:0008104]"
"PGEN_.00g279140"	1.9063954100382e-81	"Scaffold_14"	6934908	6946622	"P50164"	"TRN2_HYONI"	"Tropinone reductase 2 (EC 1.1.1.236) (Tropinone reductase II) (TR-II)"	"GO:0009710; GO:0050358"	"tropinone reductase activity [GO:0050358]; tropane alkaloid biosynthetic process [GO:0009710]"
"PGEN_.00g147380"	6.18682524079999e-81	"Scaffold_06"	47374124	47378795	NA	NA	NA	NA	NA
"PGEN_.00g208580"	1.51022692051445e-76	"Scaffold_10"	11353032	11413765	"Q3L254"	"WNT7B_CHICK"	"Protein Wnt-7b"	"GO:0005109; GO:0005615; GO:0016055; GO:0021871; GO:0030182; GO:0045165; GO:0046330; GO:0048018; GO:0048144; GO:0060070; GO:0070307; GO:0071300; GO:0072089"	"extracellular space [GO:0005615]; frizzled binding [GO:0005109]; receptor ligand activity [GO:0048018]; canonical Wnt signaling pathway [GO:0060070]; cell fate commitment [GO:0045165]; cellular response to retinoic acid [GO:0071300]; fibroblast proliferation [GO:0048144]; forebrain regionalization [GO:0021871]; lens fiber cell development [GO:0070307]; neuron differentiation [GO:0030182]; positive regulation of JNK cascade [GO:0046330]; stem cell proliferation [GO:0072089]; Wnt signaling pathway [GO:0016055]"
"PGEN_.00g043790"	1.30398028402998e-73	"Scaffold_02"	29899614	29910977	"P97346"	"NXN_MOUSE"	"Nucleoredoxin (EC 1.8.1.8) (Protein Red-1)"	"GO:0001701; GO:0004791; GO:0005623; GO:0005634; GO:0005829; GO:0016055; GO:0030154; GO:0030178; GO:0031397; GO:0045454; GO:0047134; GO:0072358"	"cell [GO:0005623]; cytosol [GO:0005829]; nucleus [GO:0005634]; protein-disulfide reductase activity [GO:0047134]; thioredoxin-disulfide reductase activity [GO:0004791]; cardiovascular system development [GO:0072358]; cell differentiation [GO:0030154]; cell redox homeostasis [GO:0045454]; in utero embryonic development [GO:0001701]; negative regulation of protein ubiquitination [GO:0031397]; negative regulation of Wnt signaling pathway [GO:0030178]; Wnt signaling pathway [GO:0016055]"
"PGEN_.00g231770"	3.88337077143344e-65	"Scaffold_11"	22208396	22220228	NA	NA	NA	NA	NA
"PGEN_.00g213350"	3.99758363185048e-63	"Scaffold_10"	24367809	24391529	"Q5U3U3"	"CPT2_DANRE"	"Carnitine O-palmitoyltransferase 2, mitochondrial (EC 2.3.1.21) (Carnitine palmitoyltransferase II) (CPT II)"	"GO:0004095; GO:0005739; GO:0005743; GO:0006635"	"mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739]; carnitine O-palmitoyltransferase activity [GO:0004095]; fatty acid beta-oxidation [GO:0006635]"
"PGEN_.00g009320"	5.98755384917355e-53	"Scaffold_01"	24301248	24318845	"Q6INU7"	"FRRS1_XENLA"	"Putative ferric-chelate reductase 1 (EC 1.-.-.-)"	"GO:0016021; GO:0016491"	"integral component of membrane [GO:0016021]; oxidoreductase activity [GO:0016491]"
"PGEN_.00g076380"	1.40097659026782e-52	"Scaffold_03"	52580400	52603990	"P0DMQ6"	"DHSO_CHICK"	"Sorbitol dehydrogenase (SDH) (EC 1.1.1.-) (Polyol dehydrogenase)"	"GO:0003939; GO:0006000; GO:0006061; GO:0006062; GO:0006116; GO:0006735; GO:0008270; GO:0030317; GO:0031514; GO:0031966; GO:0032991; GO:0042802; GO:0046370; GO:0051160; GO:0051287; GO:0070062"	"extracellular exosome [GO:0070062]; mitochondrial membrane [GO:0031966]; motile cilium [GO:0031514]; protein-containing complex [GO:0032991]; identical protein binding [GO:0042802]; L-iditol 2-dehydrogenase activity [GO:0003939]; NAD binding [GO:0051287]; zinc ion binding [GO:0008270]; flagellated sperm motility [GO:0030317]; fructose biosynthetic process [GO:0046370]; fructose metabolic process [GO:0006000]; L-xylitol catabolic process [GO:0051160]; NADH oxidation [GO:0006116]; NADH regeneration [GO:0006735]; sorbitol biosynthetic process [GO:0006061]; sorbitol catabolic process [GO:0006062]"
"PGEN_.00g068720"	4.69321516489737e-50	"Scaffold_03"	29524834	29525839	NA	NA	NA	NA	NA
"PGEN_.00g101030"	1.81813409680696e-46	"Scaffold_04"	57953649	57955140	NA	NA	NA	NA	NA
"PGEN_.00g149270"	1.34241865059941e-45	"Scaffold_06"	52589119	52589562	NA	NA	NA	NA	NA
"PGEN_.00g322650"	1.29691595075483e-44	"Scaffold_16"	18248077	18261946	"P22699"	"GUN6_DICDI"	"Endoglucanase (EC 3.2.1.4) (Cellulase) (Endo-1,4-beta-glucanase) (Spore germination protein 270-6)"	"GO:0005576; GO:0008810; GO:0009847; GO:0030245; GO:0030248; GO:0030435"	"extracellular region [GO:0005576]; cellulase activity [GO:0008810]; cellulose binding [GO:0030248]; cellulose catabolic process [GO:0030245]; spore germination [GO:0009847]; sporulation resulting in formation of a cellular spore [GO:0030435]"
"PGEN_.00g168070"	1.71490811788585e-44	"Scaffold_07"	42236821	42237171	NA	NA	NA	NA	NA
"PGEN_.00g278820"	4.20859715071636e-44	"Scaffold_14"	6530037	6533107	NA	NA	NA	NA	NA
"PGEN_.00g106980"	1.01696283148223e-42	"Scaffold_05"	8052151	8066334	NA	NA	NA	NA	NA
"PGEN_.00g345540"	6.03154294825204e-42	"Scaffold_18"	17032363	17044058	"Q9GKL8"	"CATL1_CHLAE"	"Cathepsin L1 (EC 3.4.22.15) (Cathepsin L) (Major excreted protein) (MEP) [Cleaved into: Cathepsin L1 heavy chain; Cathepsin L1 light chain]"	"GO:0004197; GO:0005764; GO:0046718"	"lysosome [GO:0005764]; cysteine-type endopeptidase activity [GO:0004197]; viral entry into host cell [GO:0046718]"
"PGEN_.00g101840"	3.27615934492435e-41	"Scaffold_04"	60033809	60065559	"Q8R197"	"SAST_MOUSE"	"S-acyl fatty acid synthase thioesterase, medium chain (EC 3.1.2.14) (Oleoyl-ACP hydrolase) (Thioesterase II) (Thioesterase domain-containing protein 1)"	"GO:0004320; GO:0005829; GO:0008610; GO:0016295; GO:0016296; GO:0016297; GO:0047381; GO:0051792"	"cytosol [GO:0005829]; acyl-[acyl-carrier-protein] hydrolase activity [GO:0016297]; dodecanoyl-[acyl-carrier-protein] hydrolase activity [GO:0047381]; myristoyl-[acyl-carrier-protein] hydrolase activity [GO:0016295]; oleoyl-[acyl-carrier-protein] hydrolase activity [GO:0004320]; palmitoyl-[acyl-carrier-protein] hydrolase activity [GO:0016296]; lipid biosynthetic process [GO:0008610]; medium-chain fatty acid biosynthetic process [GO:0051792]"
"PGEN_.00g130700"	8.00656793954642e-40	"Scaffold_06"	4611890	4623896	NA	NA	NA	NA	NA
"PGEN_.00g035080"	1.61335887347129e-39	"Scaffold_02"	5299978	5302086	NA	NA	NA	NA	NA
"PGEN_.00g342450"	2.38829347613209e-39	"Scaffold_18"	9065419	9065829	NA	NA	NA	NA	NA
"PGEN_.00g282120"	2.43904179317159e-39	"Scaffold_14"	14403766	14433673	"O15118"	"NPC1_HUMAN"	"NPC intracellular cholesterol transporter 1 (Niemann-Pick C1 protein)"	"GO:0001618; GO:0004888; GO:0005576; GO:0005635; GO:0005764; GO:0005765; GO:0005783; GO:0005794; GO:0005887; GO:0006486; GO:0006897; GO:0006914; GO:0007041; GO:0007628; GO:0008203; GO:0008206; GO:0015248; GO:0015485; GO:0016020; GO:0016021; GO:0016242; GO:0030301; GO:0031579; GO:0031902; GO:0032367; GO:0033344; GO:0034383; GO:0038023; GO:0042493; GO:0042632; GO:0045121; GO:0046686; GO:0046718; GO:0048471; GO:0060548; GO:0070062; GO:0071383; GO:0071404; GO:0090150; GO:1905103"	"endoplasmic reticulum [GO:0005783]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; Golgi apparatus [GO:0005794]; integral component of lysosomal membrane [GO:1905103]; integral component of membrane [GO:0016021]; integral component of plasma membrane [GO:0005887]; late endosome membrane [GO:0031902]; lysosomal membrane [GO:0005765]; lysosome [GO:0005764]; membrane [GO:0016020]; membrane raft [GO:0045121]; nuclear envelope [GO:0005635]; perinuclear region of cytoplasm [GO:0048471]; cholesterol binding [GO:0015485]; signaling receptor activity [GO:0038023]; sterol transporter activity [GO:0015248]; transmembrane signaling receptor activity [GO:0004888]; virus receptor activity [GO:0001618]; adult walking behavior [GO:0007628]; autophagy [GO:0006914]; bile acid metabolic process [GO:0008206]; cellular response to low-density lipoprotein particle stimulus [GO:0071404]; cellular response to steroid hormone stimulus [GO:0071383]; cholesterol efflux [GO:0033344]; cholesterol homeostasis [GO:0042632]; cholesterol metabolic process [GO:0008203]; cholesterol transport [GO:0030301]; endocytosis [GO:0006897]; establishment of protein localization to membrane [GO:0090150]; intracellular cholesterol transport [GO:0032367]; low-density lipoprotein particle clearance [GO:0034383]; lysosomal transport [GO:0007041]; membrane raft organization [GO:0031579]; negative regulation of cell death [GO:0060548]; negative regulation of macroautophagy [GO:0016242]; protein glycosylation [GO:0006486]; response to cadmium ion [GO:0046686]; response to drug [GO:0042493]; viral entry into host cell [GO:0046718]"
"PGEN_.00g113990"	6.55935210619287e-38	"Scaffold_05"	26812787	26830196	"A1Z6E0"	"GUS_DROME"	"Protein gustavus"	"GO:0005634; GO:0005737; GO:0005938; GO:0006511; GO:0007280; GO:0007281; GO:0007314; GO:0007315; GO:0007472; GO:0008104; GO:0019005; GO:0031466; GO:0035017; GO:0035556; GO:0043161; GO:0045495; GO:0045732; GO:0046843; GO:0048471; GO:0070449"	"cell cortex [GO:0005938]; Cul5-RING ubiquitin ligase complex [GO:0031466]; cytoplasm [GO:0005737]; elongin complex [GO:0070449]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; pole plasm [GO:0045495]; SCF ubiquitin ligase complex [GO:0019005]; cuticle pattern formation [GO:0035017]; dorsal appendage formation [GO:0046843]; germ cell development [GO:0007281]; intracellular signal transduction [GO:0035556]; oocyte anterior/posterior axis specification [GO:0007314]; pole cell migration [GO:0007280]; pole plasm assembly [GO:0007315]; positive regulation of protein catabolic process [GO:0045732]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein localization [GO:0008104]; ubiquitin-dependent protein catabolic process [GO:0006511]; wing disc morphogenesis [GO:0007472]"
"PGEN_.00g309030"	1.62873157562572e-37	"Scaffold_15"	30403444	30487440	"Q2PC93"	"SSPO_CHICK"	"SCO-spondin"	"GO:0005615; GO:0007155; GO:0007399; GO:0030154"	"extracellular space [GO:0005615]; cell adhesion [GO:0007155]; cell differentiation [GO:0030154]; nervous system development [GO:0007399]"
"PGEN_.00g032730"	7.57402440140204e-36	"Scaffold_01"	88433511	88434919	"Q552Z2"	"FNKE_DICDI"	"Probable serine/threonine-protein kinase fnkE (EC 2.7.11.1) (FNIP repeat-containing protein E)"	"GO:0004674; GO:0005524; GO:0046872"	"ATP binding [GO:0005524]; metal ion binding [GO:0046872]; protein serine/threonine kinase activity [GO:0004674]"
"PGEN_.00g295480"	1.76254021053524e-35	"Scaffold_14"	43606617	43620277	NA	NA	NA	NA	NA
"PGEN_.00g233360"	1.50659266182294e-34	"Scaffold_11"	26583481	26583714	NA	NA	NA	NA	NA
"PGEN_.00g151250"	6.21892500630422e-34	"Scaffold_06"	57564199	57565251	NA	NA	NA	NA	NA
"PGEN_.00g342460"	2.92583860881598e-33	"Scaffold_18"	9065848	9066189	NA	NA	NA	NA	NA
"PGEN_.00g295080"	2.05397350429577e-32	"Scaffold_14"	43231713	43232399	NA	NA	NA	NA	NA
"PGEN_.00g208420"	6.33634094971515e-32	"Scaffold_10"	11112293	11113880	NA	NA	NA	NA	NA
"PGEN_.00g209370"	5.5134890776708e-31	"Scaffold_10"	13964677	13984388	"Q7JQD3"	"GELS1_LUMTE"	"Gelsolin-like protein 1 (Actin-modulator) (EWAM) (EWAM-P1)"	"GO:0003779; GO:0005509; GO:0005737; GO:0005856; GO:0007275; GO:0030041; GO:0030043; GO:0045010; GO:0051014; GO:0051015; GO:0051693"	"cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; actin binding [GO:0003779]; actin filament binding [GO:0051015]; calcium ion binding [GO:0005509]; actin filament capping [GO:0051693]; actin filament fragmentation [GO:0030043]; actin filament polymerization [GO:0030041]; actin filament severing [GO:0051014]; actin nucleation [GO:0045010]; multicellular organism development [GO:0007275]"
"PGEN_.00g073800"	9.97613703607517e-31	"Scaffold_03"	44661440	44678560	NA	NA	NA	NA	NA
"PGEN_.00g164020"	1.27360345993926e-29	"Scaffold_07"	30603488	30671660	"P16066"	"ANPRA_HUMAN"	"Atrial natriuretic peptide receptor 1 (EC 4.6.1.2) (Atrial natriuretic peptide receptor type A) (ANP-A) (ANPR-A) (NPR-A) (Guanylate cyclase A) (GC-A)"	"GO:0001653; GO:0004383; GO:0004672; GO:0005524; GO:0005525; GO:0005886; GO:0006182; GO:0007165; GO:0007166; GO:0007168; GO:0007589; GO:0008217; GO:0008528; GO:0010753; GO:0016021; GO:0016525; GO:0016941; GO:0017046; GO:0019901; GO:0019934; GO:0030308; GO:0035810; GO:0035815; GO:0042417; GO:0042562; GO:0043114; GO:0043235; GO:0048662; GO:0097746; GO:1903779"	"integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; receptor complex [GO:0043235]; ATP binding [GO:0005524]; G protein-coupled peptide receptor activity [GO:0008528]; GTP binding [GO:0005525]; guanylate cyclase activity [GO:0004383]; hormone binding [GO:0042562]; natriuretic peptide receptor activity [GO:0016941]; peptide hormone binding [GO:0017046]; peptide receptor activity [GO:0001653]; protein kinase activity [GO:0004672]; protein kinase binding [GO:0019901]; body fluid secretion [GO:0007589]; cell surface receptor signaling pathway [GO:0007166]; cGMP biosynthetic process [GO:0006182]; cGMP-mediated signaling [GO:0019934]; dopamine metabolic process [GO:0042417]; negative regulation of angiogenesis [GO:0016525]; negative regulation of cell growth [GO:0030308]; negative regulation of smooth muscle cell proliferation [GO:0048662]; positive regulation of cGMP-mediated signaling [GO:0010753]; positive regulation of renal sodium excretion [GO:0035815]; positive regulation of urine volume [GO:0035810]; receptor guanylyl cyclase signaling pathway [GO:0007168]; regulation of blood pressure [GO:0008217]; regulation of blood vessel diameter [GO:0097746]; regulation of cardiac conduction [GO:1903779]; regulation of vascular permeability [GO:0043114]; signal transduction [GO:0007165]"
"PGEN_.00g116710"	8.97269359572477e-28	"Scaffold_05"	34291625	34335232	"B3EWY9"	"MLP_ACRMI"	"Mucin-like protein (Fragment)"	"GO:0005509; GO:0007160; GO:0016021"	"integral component of membrane [GO:0016021]; calcium ion binding [GO:0005509]; cell-matrix adhesion [GO:0007160]"
"PGEN_.00g215440"	1.7332979332213e-27	"Scaffold_10"	29980863	29983503	NA	NA	NA	NA	NA
"PGEN_.00g312690"	1.95261166442312e-27	"Scaffold_15"	40337744	40343589	"Q6AZB8"	"HARB1_DANRE"	"Putative nuclease HARBI1 (EC 3.1.-.-) (Harbinger transposase-derived nuclease)"	"GO:0004518; GO:0005634; GO:0005737; GO:0046872"	"cytoplasm [GO:0005737]; nucleus [GO:0005634]; metal ion binding [GO:0046872]; nuclease activity [GO:0004518]"
"PGEN_.00g346240"	1.53033791539607e-26	"Scaffold_18"	18657549	18661971	NA	NA	NA	NA	NA
"PGEN_.00g127190"	1.59134046379009e-26	"Scaffold_05"	62755943	62765086	NA	NA	NA	NA	NA
"PGEN_.00g337850"	2.87464045048805e-26	"Scaffold_17"	31636351	31656066	"Q8Q0U0"	"Y045_METMA"	"Putative ankyrin repeat protein MM_0045"	""	""
"PGEN_.00g308970"	9.25141044725216e-26	"Scaffold_15"	30256878	30261165	"Q93075"	"TATD2_HUMAN"	"Putative deoxyribonuclease TATDN2 (EC 3.1.21.-)"	"GO:0005634; GO:0005654; GO:0016888; GO:0036498; GO:0046872"	"nucleoplasm [GO:0005654]; nucleus [GO:0005634]; endodeoxyribonuclease activity, producing 5'-phosphomonoesters [GO:0016888]; metal ion binding [GO:0046872]; IRE1-mediated unfolded protein response [GO:0036498]"
"PGEN_.00g003330"	1.04663354759666e-25	"Scaffold_01"	8257067	8258104	NA	NA	NA	NA	NA
"PGEN_.00g291920"	1.50972701314974e-25	"Scaffold_14"	35980565	35989129	NA	NA	NA	NA	NA
"PGEN_.00g296000"	7.54773753077172e-25	"Scaffold_14"	44168939	44171234	"O43422"	"P52K_HUMAN"	"52 kDa repressor of the inhibitor of the protein kinase (p52rIPK) (58 kDa interferon-induced protein kinase-interacting protein) (p58IPK-interacting protein) (Death-associated protein 4) (THAP domain-containing protein 0) (THAP domain-containing protein 12)"	"GO:0000790; GO:0000981; GO:0003677; GO:0007165; GO:0008285; GO:0046872; GO:0046983"	"nuclear chromatin [GO:0000790]; DNA binding [GO:0003677]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; metal ion binding [GO:0046872]; protein dimerization activity [GO:0046983]; negative regulation of cell population proliferation [GO:0008285]; signal transduction [GO:0007165]"
"PGEN_.00g328960"	5.51916196176263e-24	"Scaffold_17"	4818154	4836910	"B3EWZ8"	"ECT_ACRMI"	"Ectin (Fragment)"	"GO:0005576"	"extracellular region [GO:0005576]"
"PGEN_.00g188760"	2.03222548629107e-23	"Scaffold_08"	55756507	55817116	"A8TX70"	"CO6A5_HUMAN"	"Collagen alpha-5(VI) chain (Collagen alpha-1(XXIX) chain) (von Willebrand factor A domain-containing protein 4)"	"GO:0005576; GO:0005581; GO:0007155; GO:0030020; GO:0062023"	"collagen trimer [GO:0005581]; collagen-containing extracellular matrix [GO:0062023]; extracellular region [GO:0005576]; extracellular matrix structural constituent conferring tensile strength [GO:0030020]; cell adhesion [GO:0007155]"
"PGEN_.00g038260"	8.44997324743996e-23	"Scaffold_02"	13711841	13715006	NA	NA	NA	NA	NA
"PGEN_.00g051380"	1.07959774202886e-22	"Scaffold_02"	50647776	50682267	"Q5RDY1"	"NPL_PONAB"	"N-acetylneuraminate lyase (NALase) (EC 4.1.3.3) (N-acetylneuraminate pyruvate-lyase) (N-acetylneuraminic acid aldolase) (Sialate lyase) (Sialate-pyruvate lyase) (Sialic acid aldolase) (Sialic acid lyase)"	"GO:0005737; GO:0005975; GO:0008747; GO:0019262"	"cytoplasm [GO:0005737]; N-acetylneuraminate lyase activity [GO:0008747]; carbohydrate metabolic process [GO:0005975]; N-acetylneuraminate catabolic process [GO:0019262]"
"PGEN_.00g285330"	3.35377711984553e-22	"Scaffold_14"	22480283	22493744	NA	NA	NA	NA	NA
