"gene"	"pval.treatment1"	"pval.treatment2"	"position"	"pval.treatment1_x_treatment2"	"pval.treatment1_x_position"	"pval.treatment2_x_position"	"pval.treatment1_x_pval.treatment2_x_position"	"adj.pval.treatment1"	"adj.pval.treatment2"	"adj.pval.treatment1_x_treatment2"	"adj.pval.treatment1_x_position"	"adj.pval.treatment2_x_position"	"adj.pval.treatment1_x_pval.treatment2_x_position"
"ID=maker-PGA_scaffold3__111_contigs__length_57743597-exonerate_protein2genome-gene-193.10;Name=maker-PGA_scaffold3__111_contigs__length_57743597-exonerate_protein2genome-gene-193.10"	2.78434677248359e-15	1.71208829863007e-13	1.27821704085792e-05	5.53746480005663e-07	0.165777811264529	0.534766754993482	0.801380664324259	1.11373870899344e-13	4.56556879634686e-12	7.38328640007551e-06	0.315767259551484	0.683515812343687	0.963642071851273
"ID=maker-PGA_scaffold4__129_contigs__length_65288255-exonerate_protein2genome-gene-267.32;Name=maker-PGA_scaffold4__129_contigs__length_65288255-exonerate_protein2genome-gene-267.32"	0.261007666834823	0.00168950187620508	0	2.23047197652509e-05	0	0	0	0.571397278006114	0.015901194128989	0.000274519627880011	0	0	0
"ID=maker-PGA_scaffold4__129_contigs__length_65288255-exonerate_protein2genome-gene-616.7;Name=maker-PGA_scaffold4__129_contigs__length_65288255-exonerate_protein2genome-gene-616.7"	0.590697953465951	0.19768808637383	0.687604329113255	0.000157780255058341	0.981108650663046	0.139568399503639	0.358674340810126	0.818208402456709	0.527265956188355	0.00180320291495247	0.997032607466221	0.2756906656862	0.597790568016877
"ID=maker-PGA_scaffold12__71_contigs__length_50438331-exonerate_est2genome-gene-462.1;Name=maker-PGA_scaffold12__71_contigs__length_50438331-exonerate_est2genome-gene-462.1"	1.23537413794e-09	0.00932303903175335	0.000184369853426308	0.000416665775997995	0.136265856721631	0.0945382908515496	0.000421519628145839	2.82371231529144e-08	0.0648559236991537	0.00444443494397862	0.269167124388408	0.191469956155037	0.00108779258876346
"ID=maker-PGA_scaffold3__111_contigs__length_57743597-exonerate_est2genome-gene-565.4;Name=maker-PGA_scaffold3__111_contigs__length_57743597-exonerate_est2genome-gene-565.4"	0.0164633727887879	0.772854312455911	0.0507026786355957	0.000602168074038971	0.478203261444379	0.184856798583236	0.461291976707475	0.101313063315618	0.929749548819142	0.00587307351153645	0.695568380282734	0.347965738509621	0.689782395076598
"ID=maker-PGA_scaffold6__104_contigs__length_61759565-exonerate_protein2genome-gene-256.9;Name=maker-PGA_scaffold6__104_contigs__length_61759565-exonerate_protein2genome-gene-256.9"	0.267842474065366	0.97624148436633	6.86079869259598e-41	0.000624014060600747	0.743391512180086	0.585378376230211	0.951960218765289	0.571397278006114	0.994102191014257	0.00587307351153645	0.895545920293673	0.720465693821798	1
"ID=maker-PGA_scaffold18__69_contigs__length_27737463-exonerate_est2genome-gene-184.0;Name=maker-PGA_scaffold18__69_contigs__length_27737463-exonerate_est2genome-gene-184.0"	0.900366478480807	0.272569671044136	0	0.000735476526174047	0	0	0	0.967262126044642	0.632045614015388	0.00653756912154708	0	0	0
"ID=maker-PGA_scaffold6__104_contigs__length_61759565-exonerate_est2genome-gene-420.1;Name=maker-PGA_scaffold6__104_contigs__length_61759565-exonerate_est2genome-gene-420.1"	0.127310464840697	0.0161163551361086	8.05660287866407e-16	0.000839705480493304	0.440287636063213	0.441553460159873	0.729041798527131	0.361781070677184	0.0889178214405994	0.0070712040462594	0.646293777707469	0.599902286983571	0.925767363209056
"ID=maker-PGA_scaffold18__69_contigs__length_27737463-exonerate_est2genome-gene-260.0;Name=maker-PGA_scaffold18__69_contigs__length_27737463-exonerate_est2genome-gene-260.0"	0.382822823059266	0.133242378097902	0.766763032128399	0.00104498086664803	0.757723847717681	0.446177325944031	0.994031217831957	0.677512644341416	0.426216329130549	0.00835984693318422	0.895545920293673	0.599902286983571	1
"ID=maker-PGA_scaffold3__111_contigs__length_57743597-exonerate_est2genome-gene-25.0;Name=maker-PGA_scaffold3__111_contigs__length_57743597-exonerate_est2genome-gene-25.0"	0.284482334658196	0.0684859064026363	0.00536289543611054	0.00151760926745565	0.249512646615082	0.294206217694752	0.846487206599612	0.583553506991172	0.267262073766385	0.0115627372758526	0.424702377217161	0.487891231710681	0.988598197488598
"ID=maker-PGA_scaffold6__104_contigs__length_61759565-exonerate_protein2genome-gene-219.15;Name=maker-PGA_scaffold6__104_contigs__length_61759565-exonerate_protein2genome-gene-219.15"	0.128466165623614	0.0500267808753565	0.000395485644066362	0.00434261880758194	0.113286700462208	0.304078365378845	0.516276207016655	0.361781070677184	0.216332025406947	0.0315826822369596	0.229441418657636	0.487891231710681	0.737537438595221
"ID=maker-PGA_scaffold18__69_contigs__length_27737463-exonerate_est2genome-gene-170.3;Name=maker-PGA_scaffold18__69_contigs__length_27737463-exonerate_est2genome-gene-170.3"	1.32750041200746e-19	1.97500910373503e-20	0.0629210545201524	0.0047004852328761	0.00289624063420007	0.0691674188350081	0.758513963800893	1.06200032960597e-17	7.9000364149401e-19	0.0326990277069642	0.00724060158550019	0.149551175859477	0.938639824053101
"ID=maker-PGA_scaffold6__104_contigs__length_61759565-exonerate_est2genome-gene-171.1;Name=maker-PGA_scaffold6__104_contigs__length_61759565-exonerate_est2genome-gene-171.1"	0.0873812441089976	0.783826129038053	3.63162543506661e-14	0.0073328719950837	0.188784290690196	0.673083950054396	0.255737992171874	0.300927911973087	0.935911795866332	0.048885813300558	0.33938748888125	0.769238800062166	0.444761725516302
