"Sample.ID"	"scaffold"	"position"	"meth"	"unmeth"	"gene"	"treatment1"	"treatment2"	"per.meth"
"EPI_175"	"PGA_scaffold17__51_contigs__length_34923512"	10221741	64	19	"PGEN_00000265"	"Low"	"Ambient"	77.1084337349398
"EPI_175"	"PGA_scaffold17__51_contigs__length_34923512"	10221767	33	43	"PGEN_00000265"	"Low"	"Ambient"	43.421052631579
"EPI_175"	"PGA_scaffold17__51_contigs__length_34923512"	10222313	29	5	"PGEN_00000265"	"Low"	"Ambient"	85.2941176470588
"EPI_175"	"PGA_scaffold17__51_contigs__length_34923512"	10222316	3	31	"PGEN_00000265"	"Low"	"Ambient"	8.82352941176471
"EPI_175"	"PGA_scaffold17__51_contigs__length_34923512"	10222354	39	9	"PGEN_00000265"	"Low"	"Ambient"	81.25
"EPI_175"	"PGA_scaffold17__51_contigs__length_34923512"	10222357	19	17	"PGEN_00000265"	"Low"	"Ambient"	52.7777777777778
"EPI_175"	"PGA_scaffold17__51_contigs__length_34923512"	10222384	3	41	"PGEN_00000265"	"Low"	"Ambient"	6.81818181818182
"EPI_175"	"PGA_scaffold17__51_contigs__length_34923512"	10222398	10	37	"PGEN_00000265"	"Low"	"Ambient"	21.2765957446809
"EPI_175"	"PGA_scaffold17__51_contigs__length_34923512"	10225628	27	4	"PGEN_00000265"	"Low"	"Ambient"	87.0967741935484
"EPI_175"	"PGA_scaffold17__51_contigs__length_34923512"	10226502	13	28	"PGEN_00000265"	"Low"	"Ambient"	31.7073170731707
"EPI_175"	"PGA_scaffold17__51_contigs__length_34923512"	10226563	12	26	"PGEN_00000265"	"Low"	"Ambient"	31.5789473684211
"EPI_175"	"PGA_scaffold17__51_contigs__length_34923512"	10226583	41	4	"PGEN_00000265"	"Low"	"Ambient"	91.1111111111111
"EPI_175"	"PGA_scaffold17__51_contigs__length_34923512"	10226611	26	12	"PGEN_00000265"	"Low"	"Ambient"	68.4210526315789
"EPI_175"	"PGA_scaffold17__51_contigs__length_34923512"	10226622	48	3	"PGEN_00000265"	"Low"	"Ambient"	94.1176470588235
"EPI_175"	"PGA_scaffold17__51_contigs__length_34923512"	10226628	19	14	"PGEN_00000265"	"Low"	"Ambient"	57.5757575757576
"EPI_175"	"PGA_scaffold17__51_contigs__length_34923512"	10226643	36	5	"PGEN_00000265"	"Low"	"Ambient"	87.8048780487805
"EPI_175"	"PGA_scaffold17__51_contigs__length_34923512"	10226648	40	2	"PGEN_00000265"	"Low"	"Ambient"	95.2380952380952
"EPI_175"	"PGA_scaffold17__51_contigs__length_34923512"	10226776	30	11	"PGEN_00000265"	"Low"	"Ambient"	73.1707317073171
"EPI_175"	"PGA_scaffold17__51_contigs__length_34923512"	17777849	3	31	"PGEN_00000451"	"Low"	"Ambient"	8.82352941176471
"EPI_175"	"PGA_scaffold17__51_contigs__length_34923512"	1885842	4	30	"PGEN_00000039"	"Low"	"Ambient"	11.7647058823529
"EPI_175"	"PGA_scaffold17__51_contigs__length_34923512"	1912281	28	18	"PGEN_00000039"	"Low"	"Ambient"	60.8695652173913
"EPI_175"	"PGA_scaffold17__51_contigs__length_34923512"	1912338	36	15	"PGEN_00000039"	"Low"	"Ambient"	70.5882352941177
"EPI_175"	"PGA_scaffold17__51_contigs__length_34923512"	1912397	28	18	"PGEN_00000039"	"Low"	"Ambient"	60.8695652173913
"EPI_175"	"PGA_scaffold17__51_contigs__length_34923512"	19937931	22	22	"PGEN_00000498"	"Low"	"Ambient"	50
"EPI_175"	"PGA_scaffold17__51_contigs__length_34923512"	19938014	3	42	"PGEN_00000498"	"Low"	"Ambient"	6.66666666666667
"EPI_175"	"PGA_scaffold17__51_contigs__length_34923512"	19938017	27	18	"PGEN_00000498"	"Low"	"Ambient"	60
"EPI_175"	"PGA_scaffold17__51_contigs__length_34923512"	19938633	33	21	"PGEN_00000498"	"Low"	"Ambient"	61.1111111111111
"EPI_175"	"PGA_scaffold17__51_contigs__length_34923512"	20167334	14	24	"PGEN_00000505"	"Low"	"Ambient"	36.8421052631579
"EPI_175"	"PGA_scaffold17__51_contigs__length_34923512"	20594967	0	58	"PGEN_00000515"	"Low"	"Ambient"	0
"EPI_175"	"PGA_scaffold17__51_contigs__length_34923512"	20594976	0	58	"PGEN_00000515"	"Low"	"Ambient"	0
"EPI_175"	"PGA_scaffold17__51_contigs__length_34923512"	20831956	0	58	"PGEN_00000520"	"Low"	"Ambient"	0
"EPI_175"	"PGA_scaffold17__51_contigs__length_34923512"	20831965	0	45	"PGEN_00000520"	"Low"	"Ambient"	0
"EPI_175"	"PGA_scaffold17__51_contigs__length_34923512"	20868327	1	27	"PGEN_00000521"	"Low"	"Ambient"	3.57142857142857
"EPI_175"	"PGA_scaffold17__51_contigs__length_34923512"	20868333	0	26	"PGEN_00000521"	"Low"	"Ambient"	0
"EPI_175"	"PGA_scaffold17__51_contigs__length_34923512"	20868337	0	25	"PGEN_00000521"	"Low"	"Ambient"	0
"EPI_175"	"PGA_scaffold17__51_contigs__length_34923512"	22718597	25	21	"PGEN_00000568"	"Low"	"Ambient"	54.3478260869565
"EPI_175"	"PGA_scaffold17__51_contigs__length_34923512"	23419182	0	55	"PGEN_00000578"	"Low"	"Ambient"	0
"EPI_175"	"PGA_scaffold17__51_contigs__length_34923512"	23419251	1	91	"PGEN_00000578"	"Low"	"Ambient"	1.08695652173913
"EPI_175"	"PGA_scaffold17__51_contigs__length_34923512"	2397318	22	10	"PGEN_00000055"	"Low"	"Ambient"	68.75
"EPI_175"	"PGA_scaffold17__51_contigs__length_34923512"	2397326	22	10	"PGEN_00000055"	"Low"	"Ambient"	68.75
"EPI_175"	"PGA_scaffold17__51_contigs__length_34923512"	2397341	18	14	"PGEN_00000055"	"Low"	"Ambient"	56.25
"EPI_175"	"PGA_scaffold17__51_contigs__length_34923512"	2397354	19	12	"PGEN_00000055"	"Low"	"Ambient"	61.2903225806452
"EPI_175"	"PGA_scaffold17__51_contigs__length_34923512"	2397393	22	8	"PGEN_00000055"	"Low"	"Ambient"	73.3333333333333
"EPI_175"	"PGA_scaffold17__51_contigs__length_34923512"	24499846	2	22	"PGEN_00000594"	"Low"	"Ambient"	8.33333333333333
"EPI_175"	"PGA_scaffold17__51_contigs__length_34923512"	24627135	0	41	"PGEN_00000598"	"Low"	"Ambient"	0
"EPI_175"	"PGA_scaffold17__51_contigs__length_34923512"	24628253	0	61	"PGEN_00000598"	"Low"	"Ambient"	0
"EPI_175"	"PGA_scaffold17__51_contigs__length_34923512"	24628326	1	59	"PGEN_00000598"	"Low"	"Ambient"	1.66666666666667
"EPI_175"	"PGA_scaffold17__51_contigs__length_34923512"	24628590	0	45	"PGEN_00000598"	"Low"	"Ambient"	0
"EPI_175"	"PGA_scaffold17__51_contigs__length_34923512"	24628634	0	38	"PGEN_00000598"	"Low"	"Ambient"	0
"EPI_175"	"PGA_scaffold17__51_contigs__length_34923512"	24628766	0	59	"PGEN_00000598"	"Low"	"Ambient"	0
"EPI_175"	"PGA_scaffold17__51_contigs__length_34923512"	24994983	51	82	"PGEN_00000616"	"Low"	"Ambient"	38.3458646616541
"EPI_175"	"PGA_scaffold17__51_contigs__length_34923512"	24995028	0	151	"PGEN_00000616"	"Low"	"Ambient"	0
"EPI_175"	"PGA_scaffold17__51_contigs__length_34923512"	24995067	19	46	"PGEN_00000616"	"Low"	"Ambient"	29.2307692307692
"EPI_175"	"PGA_scaffold17__51_contigs__length_34923512"	24995147	7	31	"PGEN_00000616"	"Low"	"Ambient"	18.4210526315789
"EPI_175"	"PGA_scaffold17__51_contigs__length_34923512"	24995174	2	39	"PGEN_00000616"	"Low"	"Ambient"	4.8780487804878
"EPI_175"	"PGA_scaffold17__51_contigs__length_34923512"	24995415	8	48	"PGEN_00000616"	"Low"	"Ambient"	14.2857142857143
"EPI_175"	"PGA_scaffold17__51_contigs__length_34923512"	24995499	7	21	"PGEN_00000616"	"Low"	"Ambient"	25
"EPI_175"	"PGA_scaffold17__51_contigs__length_34923512"	24995583	1	35	"PGEN_00000616"	"Low"	"Ambient"	2.77777777777778
"EPI_175"	"PGA_scaffold17__51_contigs__length_34923512"	24995751	1	23	"PGEN_00000616"	"Low"	"Ambient"	4.16666666666667
"EPI_175"	"PGA_scaffold17__51_contigs__length_34923512"	25317430	17	1	"PGEN_00000622"	"Low"	"Ambient"	94.4444444444444
"EPI_175"	"PGA_scaffold17__51_contigs__length_34923512"	25317438	10	12	"PGEN_00000622"	"Low"	"Ambient"	45.4545454545455
"EPI_175"	"PGA_scaffold17__51_contigs__length_34923512"	25317505	19	12	"PGEN_00000622"	"Low"	"Ambient"	61.2903225806452
"EPI_175"	"PGA_scaffold17__51_contigs__length_34923512"	25317639	14	15	"PGEN_00000622"	"Low"	"Ambient"	48.2758620689655
"EPI_175"	"PGA_scaffold17__51_contigs__length_34923512"	25317773	18	7	"PGEN_00000622"	"Low"	"Ambient"	72
"EPI_175"	"PGA_scaffold17__51_contigs__length_34923512"	26620661	4	31	"PGEN_00000653"	"Low"	"Ambient"	11.4285714285714
"EPI_175"	"PGA_scaffold17__51_contigs__length_34923512"	26775074	14	6	"PGEN_00000656"	"Low"	"Ambient"	70
"EPI_175"	"PGA_scaffold17__51_contigs__length_34923512"	26775378	18	25	"PGEN_00000656"	"Low"	"Ambient"	41.8604651162791
"EPI_175"	"PGA_scaffold17__51_contigs__length_34923512"	28330698	24	18	"PGEN_00000682"	"Low"	"Ambient"	57.1428571428571
"EPI_175"	"PGA_scaffold17__51_contigs__length_34923512"	28331859	24	43	"PGEN_00000682"	"Low"	"Ambient"	35.8208955223881
"EPI_175"	"PGA_scaffold17__51_contigs__length_34923512"	28332048	15	15	"PGEN_00000682"	"Low"	"Ambient"	50
"EPI_175"	"PGA_scaffold17__51_contigs__length_34923512"	28332093	17	10	"PGEN_00000682"	"Low"	"Ambient"	62.962962962963
"EPI_175"	"PGA_scaffold17__51_contigs__length_34923512"	28332099	15	10	"PGEN_00000682"	"Low"	"Ambient"	60
"EPI_175"	"PGA_scaffold17__51_contigs__length_34923512"	28332360	8	26	"PGEN_00000682"	"Low"	"Ambient"	23.5294117647059
"EPI_175"	"PGA_scaffold17__51_contigs__length_34923512"	28332505	40	92	"PGEN_00000682"	"Low"	"Ambient"	30.3030303030303
"EPI_175"	"PGA_scaffold17__51_contigs__length_34923512"	29820482	1	68	"PGEN_00000712"	"Low"	"Ambient"	1.44927536231884
"EPI_175"	"PGA_scaffold17__51_contigs__length_34923512"	29820547	2	106	"PGEN_00000712"	"Low"	"Ambient"	1.85185185185185
"EPI_175"	"PGA_scaffold17__51_contigs__length_34923512"	29820612	0	44	"PGEN_00000712"	"Low"	"Ambient"	0
"EPI_175"	"PGA_scaffold17__51_contigs__length_34923512"	30227823	0	29	"PGEN_00000727"	"Low"	"Ambient"	0
"EPI_175"	"PGA_scaffold17__51_contigs__length_34923512"	30227827	4	23	"PGEN_00000727"	"Low"	"Ambient"	14.8148148148148
"EPI_175"	"PGA_scaffold17__51_contigs__length_34923512"	30227991	2	47	"PGEN_00000727"	"Low"	"Ambient"	4.08163265306122
"EPI_175"	"PGA_scaffold17__51_contigs__length_34923512"	30228353	1	43	"PGEN_00000727"	"Low"	"Ambient"	2.27272727272727
"EPI_175"	"PGA_scaffold17__51_contigs__length_34923512"	30228366	0	40	"PGEN_00000727"	"Low"	"Ambient"	0
"EPI_175"	"PGA_scaffold17__51_contigs__length_34923512"	30228384	0	37	"PGEN_00000727"	"Low"	"Ambient"	0
"EPI_175"	"PGA_scaffold17__51_contigs__length_34923512"	31551202	2	86	"PGEN_00000766"	"Low"	"Ambient"	2.27272727272727
"EPI_175"	"PGA_scaffold17__51_contigs__length_34923512"	4064987	4	145	"PGEN_00000099"	"Low"	"Ambient"	2.68456375838926
"EPI_175"	"PGA_scaffold17__51_contigs__length_34923512"	4065086	1	38	"PGEN_00000099"	"Low"	"Ambient"	2.56410256410256
"EPI_175"	"PGA_scaffold17__51_contigs__length_34923512"	4233891	0	50	"PGEN_00000102"	"Low"	"Ambient"	0
"EPI_175"	"PGA_scaffold17__51_contigs__length_34923512"	4233913	0	62	"PGEN_00000102"	"Low"	"Ambient"	0
"EPI_175"	"PGA_scaffold17__51_contigs__length_34923512"	4233940	0	63	"PGEN_00000102"	"Low"	"Ambient"	0
"EPI_175"	"PGA_scaffold17__51_contigs__length_34923512"	4767343	12	16	"PGEN_00000113"	"Low"	"Ambient"	42.8571428571429
"EPI_175"	"PGA_scaffold17__51_contigs__length_34923512"	4820627	1	26	"PGEN_00000114"	"Low"	"Ambient"	3.7037037037037
"EPI_175"	"PGA_scaffold17__51_contigs__length_34923512"	4822878	29	29	"PGEN_00000114"	"Low"	"Ambient"	50
"EPI_175"	"PGA_scaffold17__51_contigs__length_34923512"	4822883	31	30	"PGEN_00000114"	"Low"	"Ambient"	50.8196721311475
"EPI_175"	"PGA_scaffold17__51_contigs__length_34923512"	4822891	25	36	"PGEN_00000114"	"Low"	"Ambient"	40.9836065573771
"EPI_175"	"PGA_scaffold17__51_contigs__length_34923512"	4822925	12	37	"PGEN_00000114"	"Low"	"Ambient"	24.4897959183673
"EPI_175"	"PGA_scaffold17__51_contigs__length_34923512"	4822946	21	28	"PGEN_00000114"	"Low"	"Ambient"	42.8571428571429
"EPI_175"	"PGA_scaffold17__51_contigs__length_34923512"	4822959	9	35	"PGEN_00000114"	"Low"	"Ambient"	20.4545454545455
"EPI_175"	"PGA_scaffold17__51_contigs__length_34923512"	4822980	13	20	"PGEN_00000114"	"Low"	"Ambient"	39.3939393939394
"EPI_175"	"PGA_scaffold17__51_contigs__length_34923512"	6184638	1	89	"PGEN_00000148"	"Low"	"Ambient"	1.11111111111111
"EPI_175"	"PGA_scaffold17__51_contigs__length_34923512"	6184655	8	127	"PGEN_00000148"	"Low"	"Ambient"	5.92592592592593
"EPI_175"	"PGA_scaffold17__51_contigs__length_34923512"	6184675	4	152	"PGEN_00000148"	"Low"	"Ambient"	2.56410256410256
"EPI_175"	"PGA_scaffold17__51_contigs__length_34923512"	6184695	1	166	"PGEN_00000148"	"Low"	"Ambient"	0.598802395209581
"EPI_175"	"PGA_scaffold17__51_contigs__length_34923512"	6184715	0	141	"PGEN_00000148"	"Low"	"Ambient"	0
"EPI_175"	"PGA_scaffold17__51_contigs__length_34923512"	6184735	1	112	"PGEN_00000148"	"Low"	"Ambient"	0.884955752212389
"EPI_175"	"PGA_scaffold17__51_contigs__length_34923512"	6184755	4	74	"PGEN_00000148"	"Low"	"Ambient"	5.12820512820513
"EPI_175"	"PGA_scaffold17__51_contigs__length_34923512"	6184775	2	102	"PGEN_00000148"	"Low"	"Ambient"	1.92307692307692
"EPI_175"	"PGA_scaffold17__51_contigs__length_34923512"	8390572	1	44	"PGEN_00000211"	"Low"	"Ambient"	2.22222222222222
"EPI_175"	"PGA_scaffold17__51_contigs__length_34923512"	8390575	1	45	"PGEN_00000211"	"Low"	"Ambient"	2.17391304347826
"EPI_175"	"PGA_scaffold17__51_contigs__length_34923512"	8390608	0	34	"PGEN_00000211"	"Low"	"Ambient"	0
"EPI_175"	"PGA_scaffold17__51_contigs__length_34923512"	8671040	1	38	"PGEN_00000216"	"Low"	"Ambient"	2.56410256410256
"EPI_175"	"PGA_scaffold17__51_contigs__length_34923512"	8671108	13	32	"PGEN_00000216"	"Low"	"Ambient"	28.8888888888889
"EPI_175"	"PGA_scaffold17__51_contigs__length_34923512"	9223199	37	1	"PGEN_00000233"	"Low"	"Ambient"	97.3684210526316
"EPI_175"	"PGA_scaffold17__51_contigs__length_34923512"	9223203	36	2	"PGEN_00000233"	"Low"	"Ambient"	94.7368421052632
"EPI_175"	"PGA_scaffold17__51_contigs__length_34923512"	9223213	28	11	"PGEN_00000233"	"Low"	"Ambient"	71.7948717948718
"EPI_175"	"PGA_scaffold17__51_contigs__length_34923512"	9223221	37	2	"PGEN_00000233"	"Low"	"Ambient"	94.8717948717949
"EPI_175"	"PGA_scaffold17__51_contigs__length_34923512"	9223245	36	1	"PGEN_00000233"	"Low"	"Ambient"	97.2972972972973
"EPI_175"	"PGA_scaffold17__51_contigs__length_34923512"	9223249	36	1	"PGEN_00000233"	"Low"	"Ambient"	97.2972972972973
"EPI_175"	"PGA_scaffold17__51_contigs__length_34923512"	9223268	37	1	"PGEN_00000233"	"Low"	"Ambient"	97.3684210526316
"EPI_175"	"PGA_scaffold18__69_contigs__length_27737463"	11397584	1	80	"PGEN_00001233"	"Low"	"Ambient"	1.23456790123457
"EPI_175"	"PGA_scaffold18__69_contigs__length_27737463"	11397595	3	99	"PGEN_00001233"	"Low"	"Ambient"	2.94117647058824
"EPI_175"	"PGA_scaffold18__69_contigs__length_27737463"	11397611	0	139	"PGEN_00001233"	"Low"	"Ambient"	0
"EPI_175"	"PGA_scaffold18__69_contigs__length_27737463"	11397621	0	171	"PGEN_00001233"	"Low"	"Ambient"	0
"EPI_175"	"PGA_scaffold18__69_contigs__length_27737463"	11397660	0	195	"PGEN_00001233"	"Low"	"Ambient"	0
"EPI_175"	"PGA_scaffold18__69_contigs__length_27737463"	11397677	0	181	"PGEN_00001233"	"Low"	"Ambient"	0
"EPI_175"	"PGA_scaffold18__69_contigs__length_27737463"	11397688	4	178	"PGEN_00001233"	"Low"	"Ambient"	2.1978021978022
"EPI_175"	"PGA_scaffold18__69_contigs__length_27737463"	11398142	0	74	"PGEN_00001233"	"Low"	"Ambient"	0
"EPI_175"	"PGA_scaffold18__69_contigs__length_27737463"	11398153	1	68	"PGEN_00001233"	"Low"	"Ambient"	1.44927536231884
"EPI_175"	"PGA_scaffold18__69_contigs__length_27737463"	11398404	2	401	"PGEN_00001233"	"Low"	"Ambient"	0.496277915632754
"EPI_175"	"PGA_scaffold18__69_contigs__length_27737463"	11398432	8	509	"PGEN_00001233"	"Low"	"Ambient"	1.54738878143133
"EPI_175"	"PGA_scaffold18__69_contigs__length_27737463"	11398497	5	400	"PGEN_00001233"	"Low"	"Ambient"	1.23456790123457
"EPI_175"	"PGA_scaffold18__69_contigs__length_27737463"	11398514	0	381	"PGEN_00001233"	"Low"	"Ambient"	0
"EPI_175"	"PGA_scaffold18__69_contigs__length_27737463"	11398525	6	345	"PGEN_00001233"	"Low"	"Ambient"	1.70940170940171
"EPI_175"	"PGA_scaffold18__69_contigs__length_27737463"	11398541	2	62	"PGEN_00001233"	"Low"	"Ambient"	3.125
"EPI_175"	"PGA_scaffold18__69_contigs__length_27737463"	11398590	1	204	"PGEN_00001233"	"Low"	"Ambient"	0.48780487804878
"EPI_175"	"PGA_scaffold18__69_contigs__length_27737463"	11398607	0	213	"PGEN_00001233"	"Low"	"Ambient"	0
"EPI_175"	"PGA_scaffold18__69_contigs__length_27737463"	11398618	1	207	"PGEN_00001233"	"Low"	"Ambient"	0.480769230769231
"EPI_175"	"PGA_scaffold18__69_contigs__length_27737463"	11398634	0	210	"PGEN_00001233"	"Low"	"Ambient"	0
"EPI_175"	"PGA_scaffold18__69_contigs__length_27737463"	11398683	2	142	"PGEN_00001233"	"Low"	"Ambient"	1.38888888888889
"EPI_175"	"PGA_scaffold18__69_contigs__length_27737463"	11398700	0	135	"PGEN_00001233"	"Low"	"Ambient"	0
"EPI_175"	"PGA_scaffold18__69_contigs__length_27737463"	11398727	1	87	"PGEN_00001233"	"Low"	"Ambient"	1.13636363636364
"EPI_175"	"PGA_scaffold18__69_contigs__length_27737463"	11400361	0	22	"PGEN_00001233"	"Low"	"Ambient"	0
"EPI_175"	"PGA_scaffold18__69_contigs__length_27737463"	11400364	0	22	"PGEN_00001233"	"Low"	"Ambient"	0
"EPI_175"	"PGA_scaffold18__69_contigs__length_27737463"	11400386	0	22	"PGEN_00001233"	"Low"	"Ambient"	0
"EPI_175"	"PGA_scaffold18__69_contigs__length_27737463"	11400392	0	22	"PGEN_00001233"	"Low"	"Ambient"	0
"EPI_175"	"PGA_scaffold18__69_contigs__length_27737463"	11412242	2	78	"PGEN_00001235"	"Low"	"Ambient"	2.5
"EPI_175"	"PGA_scaffold18__69_contigs__length_27737463"	11412296	5	93	"PGEN_00001235"	"Low"	"Ambient"	5.10204081632653
"EPI_175"	"PGA_scaffold18__69_contigs__length_27737463"	11827805	0	39	"PGEN_00001246"	"Low"	"Ambient"	0
"EPI_175"	"PGA_scaffold18__69_contigs__length_27737463"	13466903	15	7	"PGEN_00001291"	"Low"	"Ambient"	68.1818181818182
"EPI_175"	"PGA_scaffold18__69_contigs__length_27737463"	13594600	0	37	"PGEN_00001295"	"Low"	"Ambient"	0
"EPI_175"	"PGA_scaffold18__69_contigs__length_27737463"	13594645	0	45	"PGEN_00001295"	"Low"	"Ambient"	0
"EPI_175"	"PGA_scaffold18__69_contigs__length_27737463"	13594825	0	48	"PGEN_00001295"	"Low"	"Ambient"	0
"EPI_175"	"PGA_scaffold18__69_contigs__length_27737463"	13594858	0	53	"PGEN_00001295"	"Low"	"Ambient"	0
"EPI_175"	"PGA_scaffold18__69_contigs__length_27737463"	13594870	0	48	"PGEN_00001295"	"Low"	"Ambient"	0
"EPI_175"	"PGA_scaffold18__69_contigs__length_27737463"	15946304	28	16	"PGEN_00001361"	"Low"	"Ambient"	63.6363636363636
"EPI_175"	"PGA_scaffold18__69_contigs__length_27737463"	15946386	41	36	"PGEN_00001361"	"Low"	"Ambient"	53.2467532467532
"EPI_175"	"PGA_scaffold18__69_contigs__length_27737463"	16947759	14	77	"PGEN_00001386"	"Low"	"Ambient"	15.3846153846154
"EPI_175"	"PGA_scaffold18__69_contigs__length_27737463"	16953263	3	29	"PGEN_00001386"	"Low"	"Ambient"	9.375
"EPI_175"	"PGA_scaffold18__69_contigs__length_27737463"	17032790	1	50	"PGEN_00001391"	"Low"	"Ambient"	1.96078431372549
"EPI_175"	"PGA_scaffold18__69_contigs__length_27737463"	17032800	2	50	"PGEN_00001391"	"Low"	"Ambient"	3.84615384615385
"EPI_175"	"PGA_scaffold18__69_contigs__length_27737463"	17032844	0	46	"PGEN_00001391"	"Low"	"Ambient"	0
"EPI_175"	"PGA_scaffold18__69_contigs__length_27737463"	17303010	33	11	"PGEN_00001398"	"Low"	"Ambient"	75
"EPI_175"	"PGA_scaffold18__69_contigs__length_27737463"	17407220	0	26	"PGEN_00001401"	"Low"	"Ambient"	0
"EPI_175"	"PGA_scaffold18__69_contigs__length_27737463"	17407271	0	151	"PGEN_00001401"	"Low"	"Ambient"	0
"EPI_175"	"PGA_scaffold18__69_contigs__length_27737463"	17407611	0	77	"PGEN_00001401"	"Low"	"Ambient"	0
"EPI_175"	"PGA_scaffold18__69_contigs__length_27737463"	17407633	2	70	"PGEN_00001401"	"Low"	"Ambient"	2.77777777777778
"EPI_175"	"PGA_scaffold18__69_contigs__length_27737463"	17407662	2	73	"PGEN_00001401"	"Low"	"Ambient"	2.66666666666667
"EPI_175"	"PGA_scaffold18__69_contigs__length_27737463"	17407735	1	39	"PGEN_00001401"	"Low"	"Ambient"	2.5
"EPI_175"	"PGA_scaffold18__69_contigs__length_27737463"	18080478	4	48	"PGEN_00001422"	"Low"	"Ambient"	7.69230769230769
"EPI_175"	"PGA_scaffold18__69_contigs__length_27737463"	18080520	1	64	"PGEN_00001422"	"Low"	"Ambient"	1.53846153846154
"EPI_175"	"PGA_scaffold18__69_contigs__length_27737463"	18080562	1	49	"PGEN_00001422"	"Low"	"Ambient"	2
"EPI_175"	"PGA_scaffold18__69_contigs__length_27737463"	18080688	1	55	"PGEN_00001422"	"Low"	"Ambient"	1.78571428571429
"EPI_175"	"PGA_scaffold18__69_contigs__length_27737463"	18434943	19	19	"PGEN_00001430"	"Low"	"Ambient"	50
