"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","reason","matches","identifier","name","namespace","description","class"
"104","GO:0019933",0.011556858272528,0.998316627305424,4,19,NA,NA,"MATCH",1,"GO:0019933","cAMP-mediated signaling","BP","Any intracellular signal transduction in which the signal is passed on within the cell via cyclic AMP (cAMP). Includes production of cAMP, and downstream effectors that further transmit the signal within the cell.","GOTerm"
"175","GO:0045088",0.00647202650263894,0.999227906102121,4,16,NA,NA,"MATCH",1,"GO:0045088","regulation of innate immune response","BP","Any process that modulates the frequency, rate or extent of the innate immune response, the organism's first line of defense against infection.","GOTerm"
"176","GO:0045165",0.0146802091088999,0.997686409654329,4,20,NA,NA,"MATCH",1,"GO:0045165","cell fate commitment","BP","The commitment of cells to specific cell fates and their capacity to differentiate into particular kinds of cells. Positional information is established through protein signals that emanate from a localized source within a cell (the initial one-cell zygote) or within a developmental field.","GOTerm"
"201","GO:0050680",0.0326959031684642,0.993235530081749,4,25,NA,NA,"MATCH",1,"GO:0050680","negative regulation of epithelial cell proliferation","BP","Any process that stops, prevents or reduces the rate or extent of epithelial cell proliferation.","GOTerm"
"203","GO:0050727",0.0355330393753415,0.992424087306259,4,26,NA,NA,"MATCH",1,"GO:0050727","regulation of inflammatory response","BP","Any process that modulates the frequency, rate or extent of the inflammatory response, the immediate defensive reaction (by vertebrate tissue) to infection or injury caused by chemical or physical agents.","GOTerm"
"18","GO:0003429",0.0146927884672658,0.998526802193549,3,11,"growth plate cartilage chondrocyte morphogenesis","BP","MATCH",1,"GO:0003429","growth plate cartilage chondrocyte morphogenesis","BP","The process in which the structures of a chondrocyte in the growth plate cartilage are generated and organized.","GOTerm"
"60","GO:0007589",0.00731230553962696,0.999466400081467,3,9,NA,NA,"MATCH",1,"GO:0007589","body fluid secretion","BP","The controlled release of a fluid by a cell or tissue in an animal.","GOTerm"
"73","GO:0009755",0.0474401731718565,0.991899724879245,3,17,NA,NA,"MATCH",1,"GO:0009755","hormone-mediated signaling pathway","BP","A series of molecular signals mediated by the detection of a hormone.","GOTerm"
"83","GO:0010753",0.0342402606282521,0.994952023816217,3,15,NA,NA,"MATCH",1,"GO:0010753","positive regulation of cGMP-mediated signaling","BP","Any process that increases the rate, frequency or extent of cGMP-mediated signaling. cGMP-mediated signaling is a series of molecular signals in which a cell uses cyclic GMP to convert an extracellular signal into a response.","GOTerm"
"86","GO:0010832",0.0177727326456396,0.998046394265482,3,12,NA,NA,"MATCH",1,"GO:0010832","negative regulation of myotube differentiation","BP","Any process that decreases the frequency, rate or extent of myotube differentiation. Myotube differentiation is the process in which a relatively unspecialized cell acquires specialized features of a myotube cell. Myotubes are multinucleated cells that are formed when proliferating myoblasts exit the cell cycle, differentiate and fuse.","GOTerm"
"96","GO:0016199",0.04716413336351,0.991965670320424,3,17,NA,NA,"MATCH",1,"GO:0016199","axon midline choice point recognition","BP","The recognition of molecules at the central nervous system midline choice point by an axon growth cone; this choice point determines whether the growth cone will cross the midline.","GOTerm"
"108","GO:0022604",0.0344213711665774,0.994914799059626,3,15,NA,NA,"MATCH",1,"GO:0022604","regulation of cell morphogenesis","BP","Any process that modulates the frequency, rate or extent of cell morphogenesis. Cell morphogenesis is the developmental process in which the shape of a cell is generated and organized.","GOTerm"
"114","GO:0031116",0.0342295336790859,0.994954226055313,3,15,NA,NA,"MATCH",1,"GO:0031116","positive regulation of microtubule polymerization","BP","Any process that activates or increases the frequency, rate or extent of microtubule polymerization.","GOTerm"
"160","GO:0042177",0.029303110555595,0.995979952540475,3,14,NA,NA,"MATCH",1,"GO:0042177","negative regulation of protein catabolic process","BP","Any process that stops, prevents, or reduces the frequency, rate or extent of the chemical reactions and pathways resulting in the breakdown of a protein by the destruction of the native, active configuration, with or without the hydrolysis of peptide bonds.","GOTerm"
"164","GO:0042417",0.0170402208032777,0.998156584786981,3,12,NA,NA,"MATCH",1,"GO:0042417","dopamine metabolic process","BP","The chemical reactions and pathways involving dopamine, a catecholamine neurotransmitter and a metabolic precursor of noradrenaline and adrenaline.","GOTerm"
"183","GO:0045880",0.0343553275818536,0.994928382762436,3,15,NA,NA,"MATCH",1,"GO:0045880","positive regulation of smoothened signaling pathway","BP","Any process that activates or increases the frequency, rate or extent of smoothened signaling.","GOTerm"
"193","GO:0048662",0.0408361324578384,0.993484911709251,3,16,NA,NA,"MATCH",1,"GO:0048662","negative regulation of smooth muscle cell proliferation","BP","Any process that stops, prevents or reduces the rate or extent of smooth muscle cell proliferation.","GOTerm"
"195","GO:0048709",0.0192937914747341,0.997811868788142,3,12,NA,NA,"MATCH",1,"GO:0048709","oligodendrocyte differentiation","BP","The process in which a relatively unspecialized cell acquires the specialized features of an oligodendrocyte. An oligodendrocyte is a type of glial cell involved in myelinating the axons of neurons in the central nervous system.","GOTerm"
"221","GO:0060285",0.0139626215383378,0.998626628635374,3,11,NA,NA,"MATCH",1,"GO:0060285","cilium-dependent cell motility","BP","Cell motility due to the motion of one or more eukaryotic cilia. A eukaryotic cilium is a specialized organelle that consists of a filiform extrusion of the cell surface. Each cilium is bounded by an extrusion of the cytoplasmic (plasma) membrane, and contains a regular longitudinal array of microtubules, anchored basally in a centriole.","GOTerm"
"251","GO:0070830",0.0181935182877031,0.997982278222991,3,12,NA,NA,"MATCH",1,"GO:0070830","bicellular tight junction assembly","BP","The aggregation, arrangement and bonding together of a set of components to form a tight junction, an occluding cell-cell junction that is composed of a branching network of sealing strands that completely encircles the apical end of each cell in an epithelial sheet.","GOTerm"
"254","GO:0071300",0.0210880993964463,0.997485499636147,3,13,NA,NA,"MATCH",1,"GO:0071300","cellular response to retinoic acid","BP","Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a retinoic acid stimulus.","GOTerm"
"309","GO:1903779",0.0143546117675013,0.998573282979155,3,11,NA,NA,"MATCH",1,"GO:1903779","regulation of cardiac conduction","BP","Any process that modulates the frequency, rate or extent of cardiac conduction.","GOTerm"
"328","GO:2000377",0.0139714386311801,0.99862543505656,3,11,NA,NA,"MATCH",1,"GO:2000377","regulation of reactive oxygen species metabolic process","BP","Any process that modulates the frequency, rate or extent of reactive oxygen species metabolic process.","GOTerm"
"8","GO:0001763",0.0136711610151068,0.999537780574239,2,4,NA,NA,"MATCH",1,"GO:0001763","morphogenesis of a branching structure","BP","The process in which the anatomical structures of branches are generated and organized. A branch is a division or offshoot from a main stem. Examples in animals would include blood vessels, nerves, lymphatics and other endothelial or epithelial tubes.","GOTerm"
"9","GO:0001868",0.0225799187812164,0.998844988319407,2,5,"regulation of complement activation, lectin pathway","BP","MATCH",1,"GO:0001868","regulation of complement activation, lectin pathway","BP","Any process that modulates the frequency, rate or extent of the lectin pathway of complement activation.","GOTerm"
"10","GO:0001886",0.023481558918711,0.998773172129772,2,5,NA,NA,"MATCH",1,"GO:0001886","endothelial cell morphogenesis","BP","The change in form (cell shape and size) that occurs during the differentiation of an endothelial cell.","GOTerm"
"50","GO:0006939",0.0325539959854225,0.997797244078112,2,6,NA,NA,"MATCH",1,"GO:0006939","smooth muscle contraction","BP","A process in which force is generated within smooth muscle tissue, resulting in a change in muscle geometry. Force generation involves a chemo-mechanical energy conversion step that is carried out by the actin/myosin complex activity, which generates force through ATP hydrolysis. Smooth muscle differs from striated muscle in the much higher actin/myosin ratio, the absence of conspicuous sarcomeres and the ability to contract to a much smaller fraction of its resting length.","GOTerm"
"55","GO:0007221",0.0221735589252271,0.99887684208692,2,5,NA,NA,"MATCH",1,"GO:0007221","positive regulation of transcription of Notch receptor target","BP","The activation of transcription of specific genes as a result of Notch signaling, mediated by the Notch intracellular domain.","GOTerm"
"56","GO:0007223",0.0209507662766887,0.99897074303998,2,5,NA,NA,"MATCH",1,"GO:0007223","Wnt signaling pathway, calcium modulating pathway","BP","The series of molecular signals initiated by binding of a Wnt protein to a receptor on the surface of the target cell where activated receptors leads to an increase in intracellular calcium and activation of protein kinase C (PKC).","GOTerm"
"57","GO:0007303",0.00667216225221584,0.999890085490856,2,3,NA,NA,"MATCH",1,"GO:0007303","cytoplasmic transport, nurse cell to oocyte","BP","The directed movement of cytoplasmic constituents synthesized in the nurse cells to the oocyte.","GOTerm"
"62","GO:0007638",0.0425426669356279,0.996488182216877,2,7,NA,NA,"MATCH",1,"GO:0007638","mechanosensory behavior","BP","Behavior that is dependent upon the sensation of a mechanical stimulus.","GOTerm"
"63","GO:0008090",0.0435079187314738,0.9963636325973,2,7,NA,NA,"MATCH",1,"GO:0008090","retrograde axonal transport","BP","The directed movement of organelles or molecules along microtubules from the cell periphery toward the cell body in nerve cell axons.","GOTerm"
"78","GO:0009966",0.0426413136558446,0.996475527127822,2,7,NA,NA,"MATCH",1,"GO:0009966","regulation of signal transduction","BP","Any process that modulates the frequency, rate or extent of signal transduction.","GOTerm"
"79","GO:0010185",0.0225799187812164,0.998844988319407,2,5,NA,NA,"MATCH",1,"GO:0010185","regulation of cellular defense response","BP","Any process that modulates the frequency, rate or extent of cellular defense response.","GOTerm"
"84","GO:0010801",0.0217785008141639,0.998907501322955,2,5,NA,NA,"MATCH",1,"GO:0010801","negative regulation of peptidyl-threonine phosphorylation","BP","Any process that decreases the frequency, rate or extent of peptidyl-threonine phosphorylation. Peptidyl-threonine phosphorylation is the phosphorylation of peptidyl-threonine to form peptidyl-O-phospho-L-threonine.","GOTerm"
"85","GO:0010803",0.0320191606892734,0.997852970669928,2,6,NA,NA,"MATCH",1,"GO:0010803","regulation of tumor necrosis factor-mediated signaling pathway","BP","Any process that modulates the rate or extent of the tumor necrosis factor-mediated signaling pathway. The tumor necrosis factor-mediated signaling pathway is the series of molecular signals generated as a consequence of tumor necrosis factor binding to a cell surface receptor.","GOTerm"
"87","GO:0010882",0.0459711212409478,0.996038588277349,2,7,NA,NA,"MATCH",1,"GO:0010882","regulation of cardiac muscle contraction by calcium ion signaling","BP","Any process that modulates the frequency, rate or extent of cardiac muscle contraction by changing the calcium ion signals that trigger contraction.","GOTerm"
"94","GO:0015810",0.0142329706643911,0.999508342362936,2,4,NA,NA,"MATCH",1,"GO:0015810","aspartate transmembrane transport","BP","The process in which aspartate is transported across a lipid bilayer, from one side of a membrane to the other.","GOTerm"
"98","GO:0016458",0.00712573538191081,0.999878484170971,2,3,NA,NA,"MATCH",1,"GO:0016458","gene silencing","BP","Any process carried out at the cellular level that results in either long-term transcriptional repression via action on chromatin structure or RNA mediated, post-transcriptional repression of gene expression.","GOTerm"
"106","GO:0021587",0.0313522927107683,0.997921721967065,2,6,NA,NA,"MATCH",1,"GO:0021587","cerebellum morphogenesis","BP","The process in which the anatomical structure of the cerebellum is generated and organized. The cerebellum is the portion of the brain in the back of the head between the cerebrum and the pons. The cerebellum controls balance for walking and standing, modulates the force and range of movement and is involved in the learning of motor skills.","GOTerm"
"107","GO:0021785",0.00691112383137382,0.999884024244774,2,3,NA,NA,"MATCH",1,"GO:0021785","branchiomotor neuron axon guidance","BP","The process in which a branchiomotor neuron growth cone is directed to a specific target site. Branchiomotor neurons are located in the hindbrain and innervate branchial arch-derived muscles that control jaw movements, facial expression, the larynx, and the pharynx.","GOTerm"
"110","GO:0030502",0.00249834796918254,1,2,2,NA,NA,"MATCH",1,"GO:0030502","negative regulation of bone mineralization","BP","Any process that stops, prevents, or reduces the frequency, rate or extent of bone mineralization.","GOTerm"
"121","GO:0032480",0.0420536061483144,0.996550673832311,2,7,NA,NA,"MATCH",1,"GO:0032480","negative regulation of type I interferon production","BP","Any process that stops, prevents, or reduces the frequency, rate, or extent of type I interferon production. Type I interferons include the interferon-alpha, beta, delta, episilon, zeta, kappa, tau, and omega gene families.","GOTerm"
"122","GO:0032729",0.0216476737090806,0.998917586977741,2,5,NA,NA,"MATCH",1,"GO:0032729","positive regulation of interferon-gamma production","BP","Any process that activates or increases the frequency, rate, or extent of interferon-gamma production. Interferon-gamma is also known as type II interferon.","GOTerm"
"123","GO:0032743",0.0351303914643098,0.997521576945598,2,6,NA,NA,"MATCH",1,"GO:0032743","positive regulation of interleukin-2 production","BP","Any process that activates or increases the frequency, rate, or extent of interleukin-2 production.","GOTerm"
"129","GO:0033235",0.0141041279074469,0.999515150589914,2,4,NA,NA,"MATCH",1,"GO:0033235","positive regulation of protein sumoylation","BP","Any process that activates or increases the frequency, rate or extent of the addition of SUMO groups to a protein.","GOTerm"
"130","GO:0033262",0.0134344583726515,0.999549989102561,2,4,NA,NA,"MATCH",1,"GO:0033262","regulation of nuclear cell cycle DNA replication","BP","Any process that modulates the frequency, rate or extent of The DNA-dependent DNA replication that occurs in the nucleus of eukaryotic organisms as part of the cell cycle.","GOTerm"
"133","GO:0033627",0.041185783165669,0.996660541007305,2,7,NA,NA,"MATCH",1,"GO:0033627","cell adhesion mediated by integrin","BP","The attachment of a cell, either to another cell or to an underlying substrate such as the extracellular matrix, via an integrin, a heterodimeric adhesion receptor formed by the non-covalent association of particular alpha and beta subunits.","GOTerm"
"141","GO:0035116",0.0219501022333576,0.998894221383689,2,5,NA,NA,"MATCH",1,"GO:0035116","embryonic hindlimb morphogenesis","BP","The process, occurring in the embryo, by which the anatomical structures of the hindlimbs are generated and organized. The hindlimbs are the posterior limbs of an animal.","GOTerm"
"144","GO:0035278",0.0227397446670762,0.998832372161574,2,5,NA,NA,"MATCH",1,"GO:0035278","miRNA mediated inhibition of translation","BP","The process in which microRNAs (miRNAs) block the translation of target mRNAs into proteins. Once incorporated into a RNA-induced silencing complex (RISC), a miRNA will typically mediate repression of translation if the miRNA imperfectly base-pairs with the 3' untranslated regions of target mRNAs","GOTerm"
"151","GO:0035666",0.00705384963985029,0.999880349947592,2,3,NA,NA,"MATCH",1,"GO:0035666","TRIF-dependent toll-like receptor signaling pathway","BP","Any series of molecular signals generated as a consequence of binding to a toll-like receptor where the TRIF adaptor mediates transduction of the signal. Toll-like receptors directly bind pattern motifs from a variety of microbial sources to initiate innate immune response.","GOTerm"
"152","GO:0035815",0.0298626661200159,0.998072329566896,2,6,NA,NA,"MATCH",1,"GO:0035815","positive regulation of renal sodium excretion","BP","Any process that increases the amount of sodium excreted in urine over a unit of time.","GOTerm"
"158","GO:0042113",0.0434933472944892,0.996365524700535,2,7,NA,NA,"MATCH",1,"GO:0042113","B cell activation","BP","The change in morphology and behavior of a mature or immature B cell resulting from exposure to a mitogen, cytokine, chemokine, cellular ligand, or an antigen for which it is specific.","GOTerm"
"169","GO:0043114",0.0403387401950235,0.996766508568003,2,7,NA,NA,"MATCH",1,"GO:0043114","regulation of vascular permeability","BP","Any process that modulates the extent to which blood vessels can be pervaded by fluid.","GOTerm"
"170","GO:0043271",0.0311509660832096,0.997942317305261,2,6,NA,NA,"MATCH",1,"GO:0043271","negative regulation of ion transport","BP","Any process that stops, prevents, or reduces the frequency, rate or extent of the directed movement of charged atoms or small charged molecules into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore.","GOTerm"
"171","GO:0043486",0.00732354183539614,0.999873298136915,2,3,NA,NA,"MATCH",1,"GO:0043486","histone exchange","BP","The replacement, within chromatin, of resident histones or histone subunits with alternative, sometimes variant, histones or subunits.","GOTerm"
"172","GO:0043951",0.0406031403425658,0.996733566459451,2,7,NA,NA,"MATCH",1,"GO:0043951","negative regulation of cAMP-mediated signaling","BP","Any process which stops, prevents, or reduces the frequency, rate or extent of cAMP-mediated signaling, a series of molecular signals in which a cell uses cyclic AMP to convert an extracellular signal into a response.","GOTerm"
"179","GO:0045579",0.0310149489340933,0.997956189281124,2,6,NA,NA,"MATCH",1,"GO:0045579","positive regulation of B cell differentiation","BP","Any process that activates or increases the frequency, rate or extent of B cell differentiation.","GOTerm"
"180","GO:0045744",0.014211415948968,0.999509483694395,2,4,NA,NA,"MATCH",1,"GO:0045744","negative regulation of G protein-coupled receptor signaling pathway","BP","Any process that stops, prevents, or reduces the frequency, rate or extent of G protein-coupled receptor signaling pathway.","GOTerm"
"194","GO:0048667",0.0138763959344656,0.999527101440813,2,4,NA,NA,"MATCH",1,"GO:0048667","cell morphogenesis involved in neuron differentiation","BP","The process in which the structures of a neuron are generated and organized. This process occurs while the initially relatively unspecialized cell is acquiring the specialized features of a neuron.","GOTerm"
"196","GO:0048754",0.0441180173208949,0.996284085115744,2,7,NA,NA,"MATCH",1,"GO:0048754","branching morphogenesis of an epithelial tube","BP","The process in which the anatomical structures of branches in an epithelial tube are generated and organized. A tube is a long hollow cylinder.","GOTerm"
"204","GO:0050892",0.0452862737005954,0.996129993091308,2,7,NA,NA,"MATCH",1,"GO:0050892","intestinal absorption","BP","Any process in which nutrients are taken up from the contents of the intestine.","GOTerm"
"206","GO:0051090",0.042151575963709,0.996538188536404,2,7,NA,NA,"MATCH",1,"GO:0051090","regulation of DNA-binding transcription factor activity","BP","Any process that modulates the frequency, rate or extent of the activity of a transcription factor, any factor involved in the initiation or regulation of transcription.","GOTerm"
"210","GO:0051660",0.00248014290868854,1,2,2,NA,NA,"MATCH",1,"GO:0051660","establishment of centrosome localization","BP","The directed movement of the centrosome to a specific location.","GOTerm"
"214","GO:0055013",0.0143051576665121,0.999504513164203,2,4,NA,NA,"MATCH",1,"GO:0055013","cardiac muscle cell development","BP","The process whose specific outcome is the progression of a cardiac muscle cell over time, from its formation to the mature state.","GOTerm"
"216","GO:0060027",0.00636338976763819,0.999897747148745,2,3,NA,NA,"MATCH",1,"GO:0060027","convergent extension involved in gastrulation","BP","The morphogenetic process in which an epithelium narrows along one axis and lengthens in a perpendicular axis usually resulting in the formation of the three primary germ layers, ectoderm, mesoderm and endoderm.","GOTerm"
"222","GO:0060340",0.0065372747877722,0.9998934563066,2,3,NA,NA,"MATCH",1,"GO:0060340","positive regulation of type I interferon-mediated signaling pathway","BP","Any process that increases the rate, frequency or extent of a type I interferon-mediated signaling pathway. A type I interferon-mediated signaling pathway is the series of molecular events generated as a consequence of a type I interferon binding to a cell surface receptor.","GOTerm"
"223","GO:0060392",0.0321521433602783,0.997839163365824,2,6,NA,NA,"MATCH",1,"GO:0060392","negative regulation of SMAD protein signal transduction","BP","Any process that decreases the rate, frequency or extent of the SMAD protein signaling pathway. Pathway-restricted SMAD proteins and common-partner SMAD proteins are involved in the transforming growth factor beta receptor signaling pathways.","GOTerm"
"225","GO:0060453",0.00793776260471631,0.999856716582248,2,3,NA,NA,"MATCH",1,"GO:0060453","regulation of gastric acid secretion","BP","Any process that modulates the rate frequency or extent of gastric secretion. Gastric secretion is the regulated release of gastric acid (hydrochloric acid) by parietal or oxyntic cells during digestion.","GOTerm"
"226","GO:0060544",0.0223754963827987,0.998861052695763,2,5,NA,NA,"MATCH",1,"GO:0060544","regulation of necroptotic process","BP","Any process that modulates the rate, frequency or extent of a necroptotic process, a necrotic cell death process that results from the activation of endogenous cellular processes, such as signaling involving death domain receptors or Toll-like receptors.","GOTerm"
"230","GO:0060740",0.00678977514638062,0.999887116489755,2,3,NA,NA,"MATCH",1,"GO:0060740","prostate gland epithelium morphogenesis","BP","The process in which the anatomical structures of epithelia of the prostate gland are generated and organized. An epithelium consists of closely packed cells arranged in one or more layers, that covers the outer surfaces of the body or lines any internal cavity or tube.","GOTerm"
"231","GO:0060760",0.0203951320880674,0.999012430546814,2,5,NA,NA,"MATCH",1,"GO:0060760","positive regulation of response to cytokine stimulus","BP","Any process that increases the rate, frequency, or extent of a response to cytokine stimulus.","GOTerm"
"234","GO:0061028",0.0311692127127116,0.997940453788653,2,6,NA,NA,"MATCH",1,"GO:0061028","establishment of endothelial barrier","BP","The establishment of a barrier between endothelial cell layers, such as those in the brain, lung or intestine, to exert specific and selective control over the passage of water and solutes, thus allowing formation and maintenance of compartments that differ in fluid and solute composition.","GOTerm"
"235","GO:0061333",0.0128323546785243,0.99958051715963,2,4,NA,NA,"MATCH",1,"GO:0061333","renal tubule morphogenesis","BP","The process in which the renal tubule is generated by specification of cell fate, through the maintenance of cell polarity, regulated cell proliferation and morphogenetic cell rearrangements, shape changes and growth. A renal tubule is a tube that filters, re-absorbs and secretes substances to rid an organism of waste and to play a role in fluid homeostasis.","GOTerm"
"245","GO:0070293",0.0151797933269011,0.999457284976776,2,4,NA,NA,"MATCH",1,"GO:0070293","renal absorption","BP","A renal system process in which water, ions, glucose and proteins are taken up from the collecting ducts, glomerulus and proximal and distal loops of the nephron. In non-mammalian species, absorption may occur in related structures (e.g. protein absorption is observed in nephrocytes in Drosophila, see PMID:23264686).","GOTerm"
"246","GO:0070417",0.0309599924777415,0.997961784427104,2,6,NA,NA,"MATCH",1,"GO:0070417","cellular response to cold","BP","Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a cold stimulus, a temperature stimulus below the optimal temperature for that organism.","GOTerm"
"252","GO:0070886",0.0417858437669211,0.996584712568993,2,7,NA,NA,"MATCH",1,"GO:0070886","positive regulation of calcineurin-NFAT signaling cascade","BP","Any process that activates or increases the frequency, rate or extent of signaling via the calcineurin-NFAT signaling cascade.","GOTerm"
"253","GO:0070989",0.0218200594080827,0.998904290473179,2,5,NA,NA,"MATCH",1,"GO:0070989","oxidative demethylation","BP","The process of removing one or more methyl groups from a molecule, involving the oxidation (i.e. electron loss) of one or more atoms in the substrate.","GOTerm"
"255","GO:0071404",0.00705951002006615,0.999880203401274,2,3,NA,NA,"MATCH",1,"GO:0071404","cellular response to low-density lipoprotein particle stimulus","BP","Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a low-density lipoprotein particle stimulus.","GOTerm"
"256","GO:0071498",0.0134983734522216,0.999546703966971,2,4,NA,NA,"MATCH",1,"GO:0071498","cellular response to fluid shear stress","BP","Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a fluid shear stress stimulus. Fluid shear stress is the force acting on an object in a system where the fluid is moving across a solid surface.","GOTerm"
"260","GO:0071872",0.00724231667773035,0.999875436873932,2,3,NA,NA,"MATCH",1,"GO:0071872","cellular response to epinephrine stimulus","BP","Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an epinephrine stimulus. Epinephrine is a catecholamine that has the formula C9H13NO3; it is secreted by the adrenal medulla to act as a hormone, and released by certain neurons to act as a neurotransmitter active in the central nervous system.","GOTerm"
"261","GO:0072102",0.00648110399187652,0.999894849137189,2,3,NA,NA,"MATCH",1,"GO:0072102","glomerulus morphogenesis","BP","The process in which the anatomical structures of the glomerulus are generated and organized. The glomerulus is a capillary tuft surrounded by Bowman's capsule in nephrons of the vertebrate kidney.","GOTerm"
"262","GO:0072160",0.00648110399187652,0.999894849137189,2,3,NA,NA,"MATCH",1,"GO:0072160","nephron tubule epithelial cell differentiation","BP","The process in which relatively unspecialized cells acquire specialized structural and/or functional features that characterize the cells of the nephron tubule as it progresses from its formation to the mature state.","GOTerm"
"267","GO:0080111",0.00645757603323903,0.999895430636628,2,3,NA,NA,"MATCH",1,"GO:0080111","DNA demethylation","BP","The removal of a methyl group from one or more nucleotides within an DNA molecule.","GOTerm"
"268","GO:0086009",0.00793776260471631,0.999856716582248,2,3,NA,NA,"MATCH",1,"GO:0086009","membrane repolarization","BP","The process in which ions are transported across a membrane such that the membrane potential changes in the repolarizing direction, toward the steady state potential. For example, the repolarization during an action potential is from a positive membrane potential towards a negative resting potential.","GOTerm"
"274","GO:0086091",0.0441125373102816,0.996284802455284,2,7,NA,NA,"MATCH",1,"GO:0086091","regulation of heart rate by cardiac conduction","BP","A cardiac conduction process that modulates the frequency or rate of heart contraction.","GOTerm"
