"Sample.ID"	"scaffold"	"position"	"meth"	"unmeth"	"gene"	"treatment"
"EPI_119"	"PGA_scaffold17__51_contigs__length_34923512"	10221741	58	7	"PGEN_00000265"	"Day10"
"EPI_119"	"PGA_scaffold17__51_contigs__length_34923512"	10221767	29	27	"PGEN_00000265"	"Day10"
"EPI_119"	"PGA_scaffold17__51_contigs__length_34923512"	10222313	21	0	"PGEN_00000265"	"Day10"
"EPI_119"	"PGA_scaffold17__51_contigs__length_34923512"	10222316	4	18	"PGEN_00000265"	"Day10"
"EPI_119"	"PGA_scaffold17__51_contigs__length_34923512"	10222354	48	5	"PGEN_00000265"	"Day10"
"EPI_119"	"PGA_scaffold17__51_contigs__length_34923512"	10222357	28	13	"PGEN_00000265"	"Day10"
"EPI_119"	"PGA_scaffold17__51_contigs__length_34923512"	10222384	6	52	"PGEN_00000265"	"Day10"
"EPI_119"	"PGA_scaffold17__51_contigs__length_34923512"	10222398	22	39	"PGEN_00000265"	"Day10"
"EPI_119"	"PGA_scaffold17__51_contigs__length_34923512"	10225628	43	7	"PGEN_00000265"	"Day10"
"EPI_119"	"PGA_scaffold17__51_contigs__length_34923512"	10226502	8	38	"PGEN_00000265"	"Day10"
"EPI_119"	"PGA_scaffold17__51_contigs__length_34923512"	10226563	14	34	"PGEN_00000265"	"Day10"
"EPI_119"	"PGA_scaffold17__51_contigs__length_34923512"	10226583	37	4	"PGEN_00000265"	"Day10"
"EPI_119"	"PGA_scaffold17__51_contigs__length_34923512"	10226611	32	18	"PGEN_00000265"	"Day10"
"EPI_119"	"PGA_scaffold17__51_contigs__length_34923512"	10226622	48	6	"PGEN_00000265"	"Day10"
"EPI_119"	"PGA_scaffold17__51_contigs__length_34923512"	10226628	24	13	"PGEN_00000265"	"Day10"
"EPI_119"	"PGA_scaffold17__51_contigs__length_34923512"	10226643	34	5	"PGEN_00000265"	"Day10"
"EPI_119"	"PGA_scaffold17__51_contigs__length_34923512"	10226648	41	3	"PGEN_00000265"	"Day10"
"EPI_119"	"PGA_scaffold17__51_contigs__length_34923512"	10226776	30	9	"PGEN_00000265"	"Day10"
"EPI_119"	"PGA_scaffold17__51_contigs__length_34923512"	17777849	2	27	"PGEN_00000451"	"Day10"
"EPI_119"	"PGA_scaffold17__51_contigs__length_34923512"	1885842	7	24	"PGEN_00000039"	"Day10"
"EPI_119"	"PGA_scaffold17__51_contigs__length_34923512"	1912281	33	17	"PGEN_00000039"	"Day10"
"EPI_119"	"PGA_scaffold17__51_contigs__length_34923512"	1912338	37	11	"PGEN_00000039"	"Day10"
"EPI_119"	"PGA_scaffold17__51_contigs__length_34923512"	1912397	27	26	"PGEN_00000039"	"Day10"
"EPI_119"	"PGA_scaffold17__51_contigs__length_34923512"	19937931	21	16	"PGEN_00000498"	"Day10"
"EPI_119"	"PGA_scaffold17__51_contigs__length_34923512"	19938014	2	41	"PGEN_00000498"	"Day10"
"EPI_119"	"PGA_scaffold17__51_contigs__length_34923512"	19938017	27	17	"PGEN_00000498"	"Day10"
"EPI_119"	"PGA_scaffold17__51_contigs__length_34923512"	19938633	38	9	"PGEN_00000498"	"Day10"
"EPI_119"	"PGA_scaffold17__51_contigs__length_34923512"	20167334	24	15	"PGEN_00000505"	"Day10"
"EPI_119"	"PGA_scaffold17__51_contigs__length_34923512"	20594967	0	62	"PGEN_00000515"	"Day10"
"EPI_119"	"PGA_scaffold17__51_contigs__length_34923512"	20594976	0	64	"PGEN_00000515"	"Day10"
"EPI_119"	"PGA_scaffold17__51_contigs__length_34923512"	20831956	0	37	"PGEN_00000520"	"Day10"
"EPI_119"	"PGA_scaffold17__51_contigs__length_34923512"	20831965	0	29	"PGEN_00000520"	"Day10"
"EPI_119"	"PGA_scaffold17__51_contigs__length_34923512"	20868327	1	43	"PGEN_00000521"	"Day10"
"EPI_119"	"PGA_scaffold17__51_contigs__length_34923512"	20868333	0	40	"PGEN_00000521"	"Day10"
"EPI_119"	"PGA_scaffold17__51_contigs__length_34923512"	20868337	0	39	"PGEN_00000521"	"Day10"
"EPI_119"	"PGA_scaffold17__51_contigs__length_34923512"	22718597	13	23	"PGEN_00000568"	"Day10"
"EPI_119"	"PGA_scaffold17__51_contigs__length_34923512"	23419182	1	50	"PGEN_00000578"	"Day10"
"EPI_119"	"PGA_scaffold17__51_contigs__length_34923512"	23419251	0	86	"PGEN_00000578"	"Day10"
"EPI_119"	"PGA_scaffold17__51_contigs__length_34923512"	2397318	24	6	"PGEN_00000055"	"Day10"
"EPI_119"	"PGA_scaffold17__51_contigs__length_34923512"	2397326	23	7	"PGEN_00000055"	"Day10"
"EPI_119"	"PGA_scaffold17__51_contigs__length_34923512"	2397341	22	7	"PGEN_00000055"	"Day10"
"EPI_119"	"PGA_scaffold17__51_contigs__length_34923512"	2397354	20	9	"PGEN_00000055"	"Day10"
"EPI_119"	"PGA_scaffold17__51_contigs__length_34923512"	2397393	23	7	"PGEN_00000055"	"Day10"
"EPI_119"	"PGA_scaffold17__51_contigs__length_34923512"	24499846	10	20	"PGEN_00000594"	"Day10"
"EPI_119"	"PGA_scaffold17__51_contigs__length_34923512"	24627135	0	48	"PGEN_00000598"	"Day10"
"EPI_119"	"PGA_scaffold17__51_contigs__length_34923512"	24628253	0	94	"PGEN_00000598"	"Day10"
"EPI_119"	"PGA_scaffold17__51_contigs__length_34923512"	24628326	1	88	"PGEN_00000598"	"Day10"
"EPI_119"	"PGA_scaffold17__51_contigs__length_34923512"	24628590	0	39	"PGEN_00000598"	"Day10"
"EPI_119"	"PGA_scaffold17__51_contigs__length_34923512"	24628634	0	29	"PGEN_00000598"	"Day10"
"EPI_119"	"PGA_scaffold17__51_contigs__length_34923512"	24628766	0	68	"PGEN_00000598"	"Day10"
"EPI_119"	"PGA_scaffold17__51_contigs__length_34923512"	24994983	48	83	"PGEN_00000616"	"Day10"
"EPI_119"	"PGA_scaffold17__51_contigs__length_34923512"	24995028	0	146	"PGEN_00000616"	"Day10"
"EPI_119"	"PGA_scaffold17__51_contigs__length_34923512"	24995067	20	41	"PGEN_00000616"	"Day10"
"EPI_119"	"PGA_scaffold17__51_contigs__length_34923512"	24995147	4	28	"PGEN_00000616"	"Day10"
"EPI_119"	"PGA_scaffold17__51_contigs__length_34923512"	24995174	0	39	"PGEN_00000616"	"Day10"
"EPI_119"	"PGA_scaffold17__51_contigs__length_34923512"	24995415	28	42	"PGEN_00000616"	"Day10"
"EPI_119"	"PGA_scaffold17__51_contigs__length_34923512"	24995499	7	47	"PGEN_00000616"	"Day10"
"EPI_119"	"PGA_scaffold17__51_contigs__length_34923512"	24995583	5	39	"PGEN_00000616"	"Day10"
"EPI_119"	"PGA_scaffold17__51_contigs__length_34923512"	24995751	3	22	"PGEN_00000616"	"Day10"
"EPI_119"	"PGA_scaffold17__51_contigs__length_34923512"	25317430	27	1	"PGEN_00000622"	"Day10"
"EPI_119"	"PGA_scaffold17__51_contigs__length_34923512"	25317438	22	12	"PGEN_00000622"	"Day10"
"EPI_119"	"PGA_scaffold17__51_contigs__length_34923512"	25317505	15	25	"PGEN_00000622"	"Day10"
"EPI_119"	"PGA_scaffold17__51_contigs__length_34923512"	25317639	26	14	"PGEN_00000622"	"Day10"
"EPI_119"	"PGA_scaffold17__51_contigs__length_34923512"	25317773	10	16	"PGEN_00000622"	"Day10"
"EPI_119"	"PGA_scaffold17__51_contigs__length_34923512"	26620661	5	35	"PGEN_00000653"	"Day10"
"EPI_119"	"PGA_scaffold17__51_contigs__length_34923512"	26775074	5	10	"PGEN_00000656"	"Day10"
"EPI_119"	"PGA_scaffold17__51_contigs__length_34923512"	26775378	9	28	"PGEN_00000656"	"Day10"
"EPI_119"	"PGA_scaffold17__51_contigs__length_34923512"	28330698	15	13	"PGEN_00000682"	"Day10"
"EPI_119"	"PGA_scaffold17__51_contigs__length_34923512"	28331859	19	12	"PGEN_00000682"	"Day10"
"EPI_119"	"PGA_scaffold17__51_contigs__length_34923512"	28332048	13	24	"PGEN_00000682"	"Day10"
"EPI_119"	"PGA_scaffold17__51_contigs__length_34923512"	28332093	25	5	"PGEN_00000682"	"Day10"
"EPI_119"	"PGA_scaffold17__51_contigs__length_34923512"	28332099	17	14	"PGEN_00000682"	"Day10"
"EPI_119"	"PGA_scaffold17__51_contigs__length_34923512"	28332360	9	23	"PGEN_00000682"	"Day10"
"EPI_119"	"PGA_scaffold17__51_contigs__length_34923512"	28332505	17	89	"PGEN_00000682"	"Day10"
"EPI_119"	"PGA_scaffold17__51_contigs__length_34923512"	29820482	3	108	"PGEN_00000712"	"Day10"
"EPI_119"	"PGA_scaffold17__51_contigs__length_34923512"	29820547	1	126	"PGEN_00000712"	"Day10"
"EPI_119"	"PGA_scaffold17__51_contigs__length_34923512"	29820612	1	62	"PGEN_00000712"	"Day10"
"EPI_119"	"PGA_scaffold17__51_contigs__length_34923512"	30227823	0	29	"PGEN_00000727"	"Day10"
"EPI_119"	"PGA_scaffold17__51_contigs__length_34923512"	30227827	4	29	"PGEN_00000727"	"Day10"
"EPI_119"	"PGA_scaffold17__51_contigs__length_34923512"	30227991	1	44	"PGEN_00000727"	"Day10"
"EPI_119"	"PGA_scaffold17__51_contigs__length_34923512"	30228353	0	54	"PGEN_00000727"	"Day10"
"EPI_119"	"PGA_scaffold17__51_contigs__length_34923512"	30228366	0	48	"PGEN_00000727"	"Day10"
"EPI_119"	"PGA_scaffold17__51_contigs__length_34923512"	30228384	2	50	"PGEN_00000727"	"Day10"
"EPI_119"	"PGA_scaffold17__51_contigs__length_34923512"	31551202	6	124	"PGEN_00000766"	"Day10"
"EPI_119"	"PGA_scaffold17__51_contigs__length_34923512"	4064987	1	70	"PGEN_00000099"	"Day10"
"EPI_119"	"PGA_scaffold17__51_contigs__length_34923512"	4065086	0	28	"PGEN_00000099"	"Day10"
"EPI_119"	"PGA_scaffold17__51_contigs__length_34923512"	4233891	0	29	"PGEN_00000102"	"Day10"
"EPI_119"	"PGA_scaffold17__51_contigs__length_34923512"	4233913	0	33	"PGEN_00000102"	"Day10"
"EPI_119"	"PGA_scaffold17__51_contigs__length_34923512"	4233940	0	36	"PGEN_00000102"	"Day10"
"EPI_119"	"PGA_scaffold17__51_contigs__length_34923512"	4767343	23	36	"PGEN_00000113"	"Day10"
"EPI_119"	"PGA_scaffold17__51_contigs__length_34923512"	4820627	0	26	"PGEN_00000114"	"Day10"
"EPI_119"	"PGA_scaffold17__51_contigs__length_34923512"	4822878	36	10	"PGEN_00000114"	"Day10"
"EPI_119"	"PGA_scaffold17__51_contigs__length_34923512"	4822883	45	7	"PGEN_00000114"	"Day10"
"EPI_119"	"PGA_scaffold17__51_contigs__length_34923512"	4822891	32	14	"PGEN_00000114"	"Day10"
"EPI_119"	"PGA_scaffold17__51_contigs__length_34923512"	4822925	8	30	"PGEN_00000114"	"Day10"
"EPI_119"	"PGA_scaffold17__51_contigs__length_34923512"	4822946	27	9	"PGEN_00000114"	"Day10"
"EPI_119"	"PGA_scaffold17__51_contigs__length_34923512"	4822959	13	18	"PGEN_00000114"	"Day10"
"EPI_119"	"PGA_scaffold17__51_contigs__length_34923512"	4822980	23	2	"PGEN_00000114"	"Day10"
"EPI_119"	"PGA_scaffold17__51_contigs__length_34923512"	6184638	3	67	"PGEN_00000148"	"Day10"
"EPI_119"	"PGA_scaffold17__51_contigs__length_34923512"	6184655	1	87	"PGEN_00000148"	"Day10"
"EPI_119"	"PGA_scaffold17__51_contigs__length_34923512"	6184675	1	83	"PGEN_00000148"	"Day10"
"EPI_119"	"PGA_scaffold17__51_contigs__length_34923512"	6184695	3	87	"PGEN_00000148"	"Day10"
"EPI_119"	"PGA_scaffold17__51_contigs__length_34923512"	6184715	0	71	"PGEN_00000148"	"Day10"
"EPI_119"	"PGA_scaffold17__51_contigs__length_34923512"	6184735	1	47	"PGEN_00000148"	"Day10"
"EPI_119"	"PGA_scaffold17__51_contigs__length_34923512"	6184755	2	42	"PGEN_00000148"	"Day10"
"EPI_119"	"PGA_scaffold17__51_contigs__length_34923512"	6184775	5	64	"PGEN_00000148"	"Day10"
"EPI_119"	"PGA_scaffold17__51_contigs__length_34923512"	8390572	0	78	"PGEN_00000211"	"Day10"
"EPI_119"	"PGA_scaffold17__51_contigs__length_34923512"	8390575	0	77	"PGEN_00000211"	"Day10"
"EPI_119"	"PGA_scaffold17__51_contigs__length_34923512"	8390608	2	76	"PGEN_00000211"	"Day10"
"EPI_119"	"PGA_scaffold17__51_contigs__length_34923512"	8671040	0	35	"PGEN_00000216"	"Day10"
"EPI_119"	"PGA_scaffold17__51_contigs__length_34923512"	8671108	3	36	"PGEN_00000216"	"Day10"
"EPI_119"	"PGA_scaffold17__51_contigs__length_34923512"	9223199	33	2	"PGEN_00000233"	"Day10"
"EPI_119"	"PGA_scaffold17__51_contigs__length_34923512"	9223203	34	1	"PGEN_00000233"	"Day10"
"EPI_119"	"PGA_scaffold17__51_contigs__length_34923512"	9223213	30	4	"PGEN_00000233"	"Day10"
"EPI_119"	"PGA_scaffold17__51_contigs__length_34923512"	9223221	33	2	"PGEN_00000233"	"Day10"
"EPI_119"	"PGA_scaffold17__51_contigs__length_34923512"	9223245	33	1	"PGEN_00000233"	"Day10"
"EPI_119"	"PGA_scaffold17__51_contigs__length_34923512"	9223249	32	3	"PGEN_00000233"	"Day10"
"EPI_119"	"PGA_scaffold17__51_contigs__length_34923512"	9223268	36	2	"PGEN_00000233"	"Day10"
"EPI_119"	"PGA_scaffold18__69_contigs__length_27737463"	11397584	0	70	"PGEN_00001233"	"Day10"
"EPI_119"	"PGA_scaffold18__69_contigs__length_27737463"	11397595	0	87	"PGEN_00001233"	"Day10"
"EPI_119"	"PGA_scaffold18__69_contigs__length_27737463"	11397611	2	134	"PGEN_00001233"	"Day10"
"EPI_119"	"PGA_scaffold18__69_contigs__length_27737463"	11397621	0	182	"PGEN_00001233"	"Day10"
"EPI_119"	"PGA_scaffold18__69_contigs__length_27737463"	11397660	0	202	"PGEN_00001233"	"Day10"
"EPI_119"	"PGA_scaffold18__69_contigs__length_27737463"	11397677	1	196	"PGEN_00001233"	"Day10"
"EPI_119"	"PGA_scaffold18__69_contigs__length_27737463"	11397688	3	194	"PGEN_00001233"	"Day10"
"EPI_119"	"PGA_scaffold18__69_contigs__length_27737463"	11398142	0	82	"PGEN_00001233"	"Day10"
"EPI_119"	"PGA_scaffold18__69_contigs__length_27737463"	11398153	0	78	"PGEN_00001233"	"Day10"
"EPI_119"	"PGA_scaffold18__69_contigs__length_27737463"	11398404	3	399	"PGEN_00001233"	"Day10"
"EPI_119"	"PGA_scaffold18__69_contigs__length_27737463"	11398432	5	533	"PGEN_00001233"	"Day10"
"EPI_119"	"PGA_scaffold18__69_contigs__length_27737463"	11398497	0	417	"PGEN_00001233"	"Day10"
"EPI_119"	"PGA_scaffold18__69_contigs__length_27737463"	11398514	0	384	"PGEN_00001233"	"Day10"
"EPI_119"	"PGA_scaffold18__69_contigs__length_27737463"	11398525	2	345	"PGEN_00001233"	"Day10"
"EPI_119"	"PGA_scaffold18__69_contigs__length_27737463"	11398541	1	45	"PGEN_00001233"	"Day10"
"EPI_119"	"PGA_scaffold18__69_contigs__length_27737463"	11398590	1	176	"PGEN_00001233"	"Day10"
"EPI_119"	"PGA_scaffold18__69_contigs__length_27737463"	11398607	0	183	"PGEN_00001233"	"Day10"
"EPI_119"	"PGA_scaffold18__69_contigs__length_27737463"	11398618	1	198	"PGEN_00001233"	"Day10"
"EPI_119"	"PGA_scaffold18__69_contigs__length_27737463"	11398634	1	193	"PGEN_00001233"	"Day10"
"EPI_119"	"PGA_scaffold18__69_contigs__length_27737463"	11398683	0	128	"PGEN_00001233"	"Day10"
"EPI_119"	"PGA_scaffold18__69_contigs__length_27737463"	11398700	0	110	"PGEN_00001233"	"Day10"
"EPI_119"	"PGA_scaffold18__69_contigs__length_27737463"	11398727	0	72	"PGEN_00001233"	"Day10"
"EPI_119"	"PGA_scaffold18__69_contigs__length_27737463"	11400361	0	39	"PGEN_00001233"	"Day10"
"EPI_119"	"PGA_scaffold18__69_contigs__length_27737463"	11400364	0	40	"PGEN_00001233"	"Day10"
"EPI_119"	"PGA_scaffold18__69_contigs__length_27737463"	11400386	0	40	"PGEN_00001233"	"Day10"
"EPI_119"	"PGA_scaffold18__69_contigs__length_27737463"	11400392	0	40	"PGEN_00001233"	"Day10"
"EPI_119"	"PGA_scaffold18__69_contigs__length_27737463"	11412242	2	95	"PGEN_00001235"	"Day10"
"EPI_119"	"PGA_scaffold18__69_contigs__length_27737463"	11412296	2	110	"PGEN_00001235"	"Day10"
"EPI_119"	"PGA_scaffold18__69_contigs__length_27737463"	11827805	0	27	"PGEN_00001246"	"Day10"
"EPI_119"	"PGA_scaffold18__69_contigs__length_27737463"	13466903	10	7	"PGEN_00001291"	"Day10"
"EPI_119"	"PGA_scaffold18__69_contigs__length_27737463"	13594600	1	53	"PGEN_00001295"	"Day10"
"EPI_119"	"PGA_scaffold18__69_contigs__length_27737463"	13594645	0	59	"PGEN_00001295"	"Day10"
"EPI_119"	"PGA_scaffold18__69_contigs__length_27737463"	13594825	0	64	"PGEN_00001295"	"Day10"
"EPI_119"	"PGA_scaffold18__69_contigs__length_27737463"	13594858	0	80	"PGEN_00001295"	"Day10"
"EPI_119"	"PGA_scaffold18__69_contigs__length_27737463"	13594870	2	72	"PGEN_00001295"	"Day10"
"EPI_119"	"PGA_scaffold18__69_contigs__length_27737463"	15946304	26	17	"PGEN_00001361"	"Day10"
"EPI_119"	"PGA_scaffold18__69_contigs__length_27737463"	15946386	35	38	"PGEN_00001361"	"Day10"
"EPI_119"	"PGA_scaffold18__69_contigs__length_27737463"	16947759	16	92	"PGEN_00001386"	"Day10"
"EPI_119"	"PGA_scaffold18__69_contigs__length_27737463"	16953263	7	32	"PGEN_00001386"	"Day10"
"EPI_119"	"PGA_scaffold18__69_contigs__length_27737463"	17032790	0	40	"PGEN_00001391"	"Day10"
"EPI_119"	"PGA_scaffold18__69_contigs__length_27737463"	17032800	1	41	"PGEN_00001391"	"Day10"
"EPI_119"	"PGA_scaffold18__69_contigs__length_27737463"	17032844	1	35	"PGEN_00001391"	"Day10"
"EPI_119"	"PGA_scaffold18__69_contigs__length_27737463"	17303010	24	13	"PGEN_00001398"	"Day10"
"EPI_119"	"PGA_scaffold18__69_contigs__length_27737463"	17407220	0	37	"PGEN_00001401"	"Day10"
"EPI_119"	"PGA_scaffold18__69_contigs__length_27737463"	17407271	0	162	"PGEN_00001401"	"Day10"
"EPI_119"	"PGA_scaffold18__69_contigs__length_27737463"	17407611	2	83	"PGEN_00001401"	"Day10"
"EPI_119"	"PGA_scaffold18__69_contigs__length_27737463"	17407633	1	74	"PGEN_00001401"	"Day10"
"EPI_119"	"PGA_scaffold18__69_contigs__length_27737463"	17407662	1	82	"PGEN_00001401"	"Day10"
"EPI_119"	"PGA_scaffold18__69_contigs__length_27737463"	17407735	1	35	"PGEN_00001401"	"Day10"
"EPI_119"	"PGA_scaffold18__69_contigs__length_27737463"	18080478	0	41	"PGEN_00001422"	"Day10"
"EPI_119"	"PGA_scaffold18__69_contigs__length_27737463"	18080520	0	57	"PGEN_00001422"	"Day10"
"EPI_119"	"PGA_scaffold18__69_contigs__length_27737463"	18080562	0	44	"PGEN_00001422"	"Day10"
"EPI_119"	"PGA_scaffold18__69_contigs__length_27737463"	18080688	0	42	"PGEN_00001422"	"Day10"
"EPI_119"	"PGA_scaffold18__69_contigs__length_27737463"	18434943	15	14	"PGEN_00001430"	"Day10"
"EPI_119"	"PGA_scaffold18__69_contigs__length_27737463"	19775906	0	248	"PGEN_00001470"	"Day10"
"EPI_119"	"PGA_scaffold18__69_contigs__length_27737463"	19775960	0	180	"PGEN_00001470"	"Day10"
"EPI_119"	"PGA_scaffold18__69_contigs__length_27737463"	19775998	25	95	"PGEN_00001470"	"Day10"
"EPI_119"	"PGA_scaffold18__69_contigs__length_27737463"	19898232	1	77	"PGEN_00001480"	"Day10"
"EPI_119"	"PGA_scaffold18__69_contigs__length_27737463"	19922096	1	68	"PGEN_00001480"	"Day10"
"EPI_119"	"PGA_scaffold18__69_contigs__length_27737463"	19922134	1	54	"PGEN_00001480"	"Day10"
"EPI_119"	"PGA_scaffold18__69_contigs__length_27737463"	19922186	1	73	"PGEN_00001480"	"Day10"
"EPI_119"	"PGA_scaffold18__69_contigs__length_27737463"	19922225	1	71	"PGEN_00001480"	"Day10"
"EPI_119"	"PGA_scaffold18__69_contigs__length_27737463"	20351222	0	47	"PGEN_00001492"	"Day10"
"EPI_119"	"PGA_scaffold18__69_contigs__length_27737463"	20351237	0	46	"PGEN_00001492"	"Day10"
"EPI_119"	"PGA_scaffold18__69_contigs__length_27737463"	20351269	1	46	"PGEN_00001492"	"Day10"
"EPI_119"	"PGA_scaffold18__69_contigs__length_27737463"	2230985	3	58	"PGEN_00000937"	"Day10"
"EPI_119"	"PGA_scaffold18__69_contigs__length_27737463"	2231256	0	29	"PGEN_00000937"	"Day10"
"EPI_119"	"PGA_scaffold18__69_contigs__length_27737463"	25609641	1	48	"PGEN_00001642"	"Day10"
"EPI_119"	"PGA_scaffold18__69_contigs__length_27737463"	25694319	0	58	"PGEN_00001648"	"Day10"
"EPI_119"	"PGA_scaffold18__69_contigs__length_27737463"	25694364	0	64	"PGEN_00001648"	"Day10"
"EPI_119"	"PGA_scaffold18__69_contigs__length_27737463"	25743871	0	58	"PGEN_00001648"	"Day10"
"EPI_119"	"PGA_scaffold18__69_contigs__length_27737463"	25743888	12	47	"PGEN_00001648"	"Day10"
"EPI_119"	"PGA_scaffold18__69_contigs__length_27737463"	25743916	0	59	"PGEN_00001648"	"Day10"
"EPI_119"	"PGA_scaffold18__69_contigs__length_27737463"	25743933	1	44	"PGEN_00001648"	"Day10"
"EPI_119"	"PGA_scaffold18__69_contigs__length_27737463"	25744006	0	44	"PGEN_00001648"	"Day10"
"EPI_119"	"PGA_scaffold18__69_contigs__length_27737463"	25744051	0	104	"PGEN_00001648"	"Day10"
"EPI_119"	"PGA_scaffold18__69_contigs__length_27737463"	25744068	12	83	"PGEN_00001648"	"Day10"
"EPI_119"	"PGA_scaffold18__69_contigs__length_27737463"	25744096	0	133	"PGEN_00001648"	"Day10"
"EPI_119"	"PGA_scaffold18__69_contigs__length_27737463"	25744113	16	92	"PGEN_00001648"	"Day10"
"EPI_119"	"PGA_scaffold18__69_contigs__length_27737463"	25744141	0	80	"PGEN_00001648"	"Day10"
"EPI_119"	"PGA_scaffold18__69_contigs__length_27737463"	25744158	8	51	"PGEN_00001648"	"Day10"
"EPI_119"	"PGA_scaffold18__69_contigs__length_27737463"	25754815	0	60	"PGEN_00001648"	"Day10"
"EPI_119"	"PGA_scaffold18__69_contigs__length_27737463"	25754905	0	67	"PGEN_00001648"	"Day10"
"EPI_119"	"PGA_scaffold18__69_contigs__length_27737463"	25754950	1	54	"PGEN_00001648"	"Day10"
"EPI_119"	"PGA_scaffold18__69_contigs__length_27737463"	25755040	0	33	"PGEN_00001648"	"Day10"
"EPI_119"	"PGA_scaffold18__69_contigs__length_27737463"	26060091	0	46	"PGEN_00001659"	"Day10"
"EPI_119"	"PGA_scaffold18__69_contigs__length_27737463"	26060369	0	46	"PGEN_00001659"	"Day10"
"EPI_119"	"PGA_scaffold18__69_contigs__length_27737463"	26060385	0	48	"PGEN_00001659"	"Day10"
"EPI_119"	"PGA_scaffold18__69_contigs__length_27737463"	3675515	0	24	"PGEN_00000981"	"Day10"
"EPI_119"	"PGA_scaffold18__69_contigs__length_27737463"	3675543	0	23	"PGEN_00000981"	"Day10"
"EPI_119"	"PGA_scaffold18__69_contigs__length_27737463"	3675550	0	25	"PGEN_00000981"	"Day10"
"EPI_119"	"PGA_scaffold18__69_contigs__length_27737463"	3675618	0	30	"PGEN_00000981"	"Day10"
"EPI_119"	"PGA_scaffold18__69_contigs__length_27737463"	3675651	0	49	"PGEN_00000981"	"Day10"
"EPI_119"	"PGA_scaffold18__69_contigs__length_27737463"	3675679	0	36	"PGEN_00000981"	"Day10"
"EPI_119"	"PGA_scaffold18__69_contigs__length_27737463"	3675686	0	47	"PGEN_00000981"	"Day10"
"EPI_119"	"PGA_scaffold18__69_contigs__length_27737463"	4453535	18	31	"PGEN_00000998"	"Day10"
"EPI_119"	"PGA_scaffold18__69_contigs__length_27737463"	4453541	3	45	"PGEN_00000998"	"Day10"
