"uniprot.id"	"gene"	"adj.pval.TimePoint"	"start"	"end"	"score"	"Match.ID"	"m_start"	"m_end"	"E.value"	"identity"	"al"	"protein.name.short"	"protein.name.long"	"gene.names"	"organism"	"GO.IDs"
NA	"PGEN_.00g130700"	1.05260471320184e-121	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"PGEN_.00g151250"	5.41271958176223e-114	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"PGEN_.00g127230"	1.40174707796809e-112	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Q29485"	"PGEN_.00g345410"	3.83864382622833e-111	191	367	153	"sp|Q29485|PLMN_ERIEU"	290	454	4.47e-09	25.824	182	"PLMN_ERIEU"	"Plasminogen (EC 3.4.21.7) [Cleaved into: Plasmin heavy chain A; Activation peptide; Plasmin heavy chain A, short form; Plasmin light chain B]"	"PLG"	"Erinaceus europaeus (Western European hedgehog)"	"GO:0004252; GO:0005576; GO:0007596; GO:0042730; GO:0048771"
"P97346"	"PGEN_.00g043790"	4.75168588945436e-108	172	305	310	"sp|P97346|NXN_MOUSE"	7	138	2.67e-33	41.045	134	"NXN_MOUSE"	"Nucleoredoxin (EC 1.8.1.8) (Protein Red-1)"	"Nxn Gn25"	"Mus musculus (Mouse)"	"GO:0001701; GO:0004791; GO:0005623; GO:0005634; GO:0005829; GO:0016055; GO:0030154; GO:0030178; GO:0031397; GO:0045454; GO:0047134; GO:0072358"
NA	"PGEN_.00g328520"	5.74127038388987e-107	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"P50164"	"PGEN_.00g279140"	7.56069926421227e-92	14	253	355	"sp|P50164|TRN2_HYONI"	72	316	8.26e-39	34.413	247	"TRN2_HYONI"	"Tropinone reductase 2 (EC 1.1.1.236) (Tropinone reductase II) (TR-II)"	"TR2"	"Hyoscyamus niger (Black henbane)"	"GO:0009710; GO:0050358"
NA	"PGEN_.00g003330"	3.45574859342774e-90	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"PGEN_.00g068720"	3.67345121866876e-87	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"PGEN_.00g278820"	5.06226950678214e-81	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"PGEN_.00g145190"	2.49967380323552e-77	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"PGEN_.00g150000"	7.82332619854142e-77	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"O01761"	"PGEN_.00g334400"	3.47144968777338e-76	3165	3683	575	"sp|O01761|UNC89_CAEEL"	1746	2315	5.97e-57	29.655	580	"UNC89_CAEEL"	"Muscle M-line assembly protein unc-89 (Obscurin) (Uncoordinated protein 89)"	"unc-89 C09D1.1"	"Caenorhabditis elegans"	"GO:0004672; GO:0005089; GO:0005524; GO:0010628; GO:0014722; GO:0017048; GO:0019902; GO:0030241; GO:0031034; GO:0031430; GO:0031672; GO:0034613; GO:0040017; GO:0045214; GO:0045989; GO:0060298; GO:0071688; GO:0090736; GO:1905552; GO:1905905"
NA	"PGEN_.00g220460"	8.48616386740243e-75	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"PGEN_.00g271690"	1.29811483692623e-67	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"PGEN_.00g185930"	5.07289792656047e-62	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"PGEN_.00g284710"	2.85954404980038e-59	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"PGEN_.00g233360"	4.19921072134147e-55	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Q5R6S0"	"PGEN_.00g279730"	1.61440643883242e-54	1	556	1232	"sp|Q5R6S0|ABHGA_PONAB"	1	522	8.34e-164	43.447	557	"ABHGA_PONAB"	"Phosphatidylserine lipase ABHD16A (EC 3.1.-.-) (Alpha/beta hydrolase domain-containing protein 16A) (Abhydrolase domain-containing protein 16A) (HLA-B-associated transcript 5 homolog) (Monoacylglycerol lipase ABHD16A) (EC 3.1.1.23)"	"ABHD16A BAT5"	"Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)"	"GO:0004620; GO:0006660; GO:0016021; GO:0047372; GO:0052651; GO:1905344"
NA	"PGEN_.00g201860"	7.73686867797902e-52	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Q9VZZ4"	"PGEN_.00g263900"	7.74014841511932e-51	878	1325	576	"sp|Q9VZZ4|PXDN_DROME"	125	544	2.08e-62	33.261	463	"PXDN_DROME"	"Peroxidasin (EC 1.11.1.7)"	"Pxn CG12002"	"Drosophila melanogaster (Fruit fly)"	"GO:0004601; GO:0005615; GO:0006909; GO:0006979; GO:0019806; GO:0020037; GO:0030198; GO:0030199; GO:0031012; GO:0042744; GO:0046872; GO:0062023; GO:0070831"
NA	"PGEN_.00g204300"	3.06398929049189e-50	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Q68CJ6"	"PGEN_.00g036880"	2.52484936858866e-49	150	408	265	"sp|Q68CJ6|SLIP_HUMAN"	9	276	2.54e-22	29.286	280	"SLIP_HUMAN"	"Nuclear GTPase SLIP-GC (EC 3.6.1.-) (Speckled-like pattern in the germinal center)"	"NUGGC C8orf80 HMFN0672"	"Homo sapiens (Human)"	"GO:0003924; GO:0005525; GO:0016607; GO:0033262; GO:0043066; GO:0071222"
"Q2HJF4"	"PGEN_.00g051430"	2.78939718873042e-49	3	286	778	"sp|Q2HJF4|PBLD_BOVIN"	10	291	1.39e-102	55.594	286	"PBLD_BOVIN"	"Phenazine biosynthesis-like domain-containing protein (EC 5.1.-.-)"	"PBLD MAWBP"	"Bos taurus (Bovine)"	"GO:0005737; GO:0009058; GO:0010633; GO:0010719; GO:0016853; GO:0030277; GO:0030512; GO:0042802; GO:0050680; GO:0060392; GO:0060394"
"Q61165"	"PGEN_.00g277910"	1.26583732874301e-48	41	597	785	"sp|Q61165|SL9A1_MOUSE"	58	621	5.45e-91	39.292	565	"SL9A1_MOUSE"	"Sodium/hydrogen exchanger 1 (Na(+)/H(+) exchanger 1) (NHE-1) (Solute carrier family 9 member 1)"	"Slc9a1 Nhe1"	"Mus musculus (Mouse)"	"GO:0002026; GO:0005516; GO:0005623; GO:0005654; GO:0005737; GO:0005739; GO:0005783; GO:0005789; GO:0005886; GO:0005887; GO:0006814; GO:0006883; GO:0006885; GO:0009986; GO:0010447; GO:0010613; GO:0010882; GO:0014070; GO:0014704; GO:0015385; GO:0015386; GO:0016020; GO:0016323; GO:0016324; GO:0030307; GO:0030315; GO:0030346; GO:0032869; GO:0035794; GO:0035994; GO:0036376; GO:0042383; GO:0043065; GO:0043066; GO:0045121; GO:0045760; GO:0045944; GO:0048306; GO:0048471; GO:0051259; GO:0051453; GO:0051930; GO:0055007; GO:0070417; GO:0070886; GO:0070997; GO:0071236; GO:0071257; GO:0071456; GO:0071468; GO:0071805; GO:0071872; GO:0086003; GO:0086092; GO:0090533; GO:0098719; GO:0098735; GO:1902533; GO:1902600; GO:1903281"
NA	"PGEN_.00g104730"	4.8481018020901e-47	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"B3EWZ8"	"PGEN_.00g328960"	4.38672850267166e-45	36	217	288	"sp|B3EWZ8|ECT_ACRMI"	100	272	2.33e-28	34.615	182	"ECT_ACRMI"	"Ectin (Fragment)"	""	"Acropora millepora (Staghorn coral) (Heteropora millepora)"	"GO:0005576"
NA	"PGEN_.00g160750"	4.70766078779676e-45	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"P21894"	"PGEN_.00g183880"	7.58858916926281e-45	1	101	477	"sp|P21894|SYAC_BOMMO"	110	210	1e-48	80.198	101	"SYAC_BOMMO"	"Alanine--tRNA ligase, cytoplasmic (EC 6.1.1.7) (Alanyl-tRNA synthetase) (AlaRS)"	""	"Bombyx mori (Silk moth)"	"GO:0000049; GO:0004813; GO:0005524; GO:0005737; GO:0006419; GO:0008270"
NA	"PGEN_.00g108700"	1.3943799030081e-44	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Q5U3U3"	"PGEN_.00g213350"	2.70489617688528e-41	17	667	1814	"sp|Q5U3U3|CPT2_DANRE"	15	641	0	52.824	655	"CPT2_DANRE"	"Carnitine O-palmitoyltransferase 2, mitochondrial (EC 2.3.1.21) (Carnitine palmitoyltransferase II) (CPT II)"	"cpt2 si:ch211-216k22.1 zgc:101627"	"Danio rerio (Zebrafish) (Brachydanio rerio)"	"GO:0004095; GO:0005739; GO:0005743; GO:0006635"
"Q4PJX1"	"PGEN_.00g291910"	9.08017793478094e-41	1	368	463	"sp|Q4PJX1|ODR4_MOUSE"	1	354	1.37e-51	30.946	391	"ODR4_MOUSE"	"Protein odr-4 homolog (mODR-4)"	"Odr4"	"Mus musculus (Mouse)"	"GO:0008104; GO:0016021"
NA	"PGEN_.00g164830"	2.46156805125071e-40	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Q552Z2"	"PGEN_.00g032730"	8.89397971404575e-40	83	344	182	"sp|Q552Z2|FNKE_DICDI"	19	283	5.85e-13	26.415	265	"FNKE_DICDI"	"Probable serine/threonine-protein kinase fnkE (EC 2.7.11.1) (FNIP repeat-containing protein E)"	"fnkE FNIPK-E DDB_G0275879"	"Dictyostelium discoideum (Slime mold)"	"GO:0004674; GO:0005524; GO:0046872"
NA	"PGEN_.00g087850"	2.84600128550413e-38	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Q3L254"	"PGEN_.00g208580"	3.44135537573527e-38	5	349	996	"sp|Q3L254|WNT7B_CHICK"	9	352	7.69e-134	55.908	347	"WNT7B_CHICK"	"Protein Wnt-7b"	"WNT7B"	"Gallus gallus (Chicken)"	"GO:0005109; GO:0005615; GO:0016055; GO:0021871; GO:0030182; GO:0045165; GO:0046330; GO:0048018; GO:0048144; GO:0060070; GO:0070307; GO:0071300; GO:0072089"
NA	"PGEN_.00g003320"	1.59481242422849e-37	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"PGEN_.00g024960"	3.36707282490552e-36	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"PGEN_.00g077070"	1.33392584911406e-34	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"PGEN_.00g168070"	4.99109974852143e-34	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"P0C605"	"PGEN_.00g035770"	5.31361990950926e-34	29	192	456	"sp|P0C605|KGP1_MOUSE"	35	200	6.95e-52	57.396	169	"KGP1_MOUSE"	"cGMP-dependent protein kinase 1 (cGK 1) (cGK1) (EC 2.7.11.12) (cGMP-dependent protein kinase I) (cGKI)"	"Prkg1 Prkg1b Prkgr1a Prkgr1b"	"Mus musculus (Mouse)"	"GO:0001669; GO:0001764; GO:0004672; GO:0004674; GO:0004692; GO:0005246; GO:0005524; GO:0005623; GO:0005654; GO:0005737; GO:0005794; GO:0005829; GO:0005886; GO:0006468; GO:0007165; GO:0007204; GO:0010920; GO:0014050; GO:0014912; GO:0016020; GO:0016358; GO:0019934; GO:0030553; GO:0030900; GO:0042753; GO:0042802; GO:0043087; GO:0045822; GO:0045986; GO:0048273; GO:0060087; GO:0061049; GO:0090331; GO:0097755; GO:1902608; GO:1904706; GO:1904753; GO:2000224"
"Q5U504"	"PGEN_.00g271680"	5.87986405125717e-34	34	266	180	"sp|Q5U504|KLH40_XENLA"	99	330	2.32e-12	22.363	237	"KLH40_XENLA"	"Kelch-like protein 40 (Kelch repeat and BTB domain-containing protein 5)"	"klhl40 kbtbd5"	"Xenopus laevis (African clawed frog)"	"GO:0005737; GO:0031397; GO:0031398; GO:0031463; GO:0031672; GO:0031674; GO:0032436; GO:0048741; GO:0098528"
"Q6NT16"	"PGEN_.00g302860"	7.42832456063055e-34	125	452	199	"sp|Q6NT16|S18B1_HUMAN"	308	615	5.64e-15	27.247	356	"S18B1_HUMAN"	"MFS-type transporter SLC18B1 (Solute carrier family 18 member B1)"	"SLC18B1 C6orf192"	"Homo sapiens (Human)"	"GO:0016021; GO:0055085"
"O88873"	"PGEN_.00g305680"	1.57856954683257e-31	106	336	306	"sp|O88873|GMEB2_RAT"	88	365	6.69e-29	27.66	282	"GMEB2_RAT"	"Glucocorticoid modulatory element-binding protein 2 (GMEB-2)"	"Gmeb2"	"Rattus norvegicus (Rat)"	"GO:0000978; GO:0000981; GO:0001228; GO:0003713; GO:0005634; GO:0005737; GO:0006357; GO:0043565; GO:0045944; GO:0046872"
NA	"PGEN_.00g090230"	2.25028718704061e-31	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"PGEN_.00g049230"	4.94568216572991e-31	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"B3EWY9"	"PGEN_.00g116710"	1.43536221535731e-30	314	1384	698	"sp|B3EWY9|MLP_ACRMI"	1375	2432	4.6e-72	25.364	1167	"MLP_ACRMI"	"Mucin-like protein (Fragment)"	""	"Acropora millepora (Staghorn coral) (Heteropora millepora)"	"GO:0005509; GO:0007160; GO:0016021"
NA	"PGEN_.00g150310"	1.97469011784261e-30	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"PGEN_.00g231770"	2.26977564142679e-29	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"PGEN_.00g017320"	5.65418030119939e-29	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"PGEN_.00g120380"	1.01790965415937e-28	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Q8ZXT3"	"PGEN_.00g000280"	2.39895019298755e-28	4	153	210	"sp|Q8ZXT3|Y1111_PYRAE"	853	1012	1.1e-17	38.75	160	"Y1111_PYRAE"	"Uncharacterized protein PAE1111"	"PAE1111"	"Pyrobaculum aerophilum (strain ATCC 51768 / IM2 / DSM 7523 / JCM 9630 / NBRC 100827)"	""
NA	"PGEN_.00g299000"	3.1035075234234e-28	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"PGEN_.00g143270"	7.12142792033779e-28	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"P16066"	"PGEN_.00g164020"	3.72928784832445e-27	58	1056	1467	"sp|P16066|ANPRA_HUMAN"	164	1180	0	35.943	1060	"ANPRA_HUMAN"	"Atrial natriuretic peptide receptor 1 (EC 4.6.1.2) (Atrial natriuretic peptide receptor type A) (ANP-A) (ANPR-A) (NPR-A) (Guanylate cyclase A) (GC-A)"	"NPR1 ANPRA"	"Homo sapiens (Human)"	"GO:0001653; GO:0004383; GO:0004672; GO:0005524; GO:0005525; GO:0005886; GO:0006182; GO:0007165; GO:0007166; GO:0007168; GO:0007589; GO:0008217; GO:0008528; GO:0010753; GO:0016021; GO:0016525; GO:0016941; GO:0017046; GO:0019901; GO:0019934; GO:0030308; GO:0035810; GO:0035815; GO:0042417; GO:0042562; GO:0043114; GO:0043235; GO:0048662; GO:0097746; GO:1903779"
NA	"PGEN_.00g026390"	2.25285267184595e-26	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"PGEN_.00g100950"	2.37051245268965e-26	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"PGEN_.00g203100"	1.16506097047165e-25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"PGEN_.00g342450"	4.50773502430739e-24	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Q2TAD9"	"PGEN_.00g175550"	3.60996491775544e-23	48	363	1017	"sp|Q2TAD9|CYR1B_XENLA"	33	347	9.03e-137	56.329	316	"CYR1B_XENLA"	"Cysteine and histidine-rich protein 1-B"	"cyhr1-b"	"Xenopus laevis (African clawed frog)"	"GO:0005737; GO:0008270"
"P61315"	"PGEN_.00g129780"	4.02438692681737e-23	66	335	294	"sp|P61315|G3ST3_MOUSE"	107	367	5.73e-28	28.315	279	"G3ST3_MOUSE"	"Galactose-3-O-sulfotransferase 3 (Gal3ST-3) (EC 2.8.2.-) (Beta-galactose-3-O-sulfotransferase 3) (Gal-beta-1, 3-GalNAc 3'-sulfotransferase 3)"	"Gal3st3"	"Mus musculus (Mouse)"	"GO:0001733; GO:0009247; GO:0016021; GO:0032580; GO:0050694"
"P82251"	"PGEN_.00g186170"	1.06701242209091e-22	251	486	634	"sp|P82251|BAT1_HUMAN"	188	421	2.3e-76	54.622	238	"BAT1_HUMAN"	"b(0,+)-type amino acid transporter 1 (b(0,+)AT1) (Glycoprotein-associated amino acid transporter b0,+AT1) (Solute carrier family 7 member 9)"	"SLC7A9 BAT1"	"Homo sapiens (Human)"	"GO:0005886; GO:0005887; GO:0006865; GO:0015175; GO:0015179; GO:0015184; GO:0015804; GO:0015811; GO:0016324; GO:0031526; GO:0042605; GO:0050900; GO:0065003"
NA	"PGEN_.00g291920"	5.96778592042356e-22	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Q5WA50"	"PGEN_.00g202890"	1.15388767130997e-21	35	154	143	"sp|Q5WA50|CTR2_OCTVU"	18	142	9.18e-10	35.156	128	"CTR2_OCTVU"	"Cephalotocin receptor 2"	"CTR2"	"Octopus vulgaris (Common octopus)"	"GO:0005000; GO:0005886; GO:0007186; GO:0016021; GO:0016500; GO:0046887"
"Q3UCV8"	"PGEN_.00g153580"	2.39439941170542e-21	81	322	440	"sp|Q3UCV8|OTUL_MOUSE"	664	910	1.38e-46	37.349	249	"OTUL_MOUSE"	"Ubiquitin thioesterase otulin (EC 3.4.19.12) (Deubiquitinating enzyme otulin) (OTU domain-containing deubiquitinase with linear linkage specificity) (Ubiquitin thioesterase Gumby)"	"Otulin Fam105b Gum"	"Mus musculus (Mouse)"	"GO:0002040; GO:0004843; GO:0005737; GO:0008234; GO:0010803; GO:0016055; GO:0032088; GO:0045087; GO:0050728; GO:0060828; GO:0070431; GO:1990108"
"Q0VAA2"	"PGEN_.00g329510"	9.43931985268908e-21	86	472	585	"sp|Q0VAA2|LR74A_HUMAN"	182	571	7.25e-67	32.234	394	"LR74A_HUMAN"	"Leucine-rich repeat-containing protein 74A (Leucine-rich repeat-containing protein 74)"	"LRRC74A C14orf166B LRRC74"	"Homo sapiens (Human)"	""
"P00522"	"PGEN_.00g279870"	1.00007705019208e-20	105	639	2066	"sp|P00522|ABL_DROME"	27	519	0	68.411	535	"ABL_DROME"	"Tyrosine-protein kinase Abl (EC 2.7.10.2) (D-ash) (Protein abelson)"	"Abl ABL-1 Dash CG4032"	"Drosophila melanogaster (Fruit fly)"	"GO:0001764; GO:0003382; GO:0003401; GO:0004713; GO:0004715; GO:0005524; GO:0005737; GO:0005829; GO:0005911; GO:0005912; GO:0005927; GO:0005938; GO:0007268; GO:0007303; GO:0007370; GO:0007391; GO:0007409; GO:0007411; GO:0007417; GO:0007419; GO:0007611; GO:0008045; GO:0008064; GO:0008360; GO:0010592; GO:0010977; GO:0016199; GO:0018108; GO:0019897; GO:0021785; GO:0030424; GO:0031647; GO:0032880; GO:0045179; GO:0045202; GO:0045886; GO:0046777; GO:0046827; GO:0048749; GO:0048813; GO:0072499"
NA	"PGEN_.00g103590"	1.89510585621586e-20	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"PGEN_.00g127570"	1.92564645832372e-20	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"PGEN_.00g194760"	2.21138482827122e-20	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"PGEN_.00g139610"	2.63638739386629e-20	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"P13360"	"PGEN_.00g253880"	4.16950690483677e-20	435	519	386	"sp|P13360|GLAS_DROME"	279	363	8.19e-40	82.353	85	"GLAS_DROME"	"Protein glass"	"gl CG7672"	"Drosophila melanogaster (Fruit fly)"	"GO:0000981; GO:0001745; GO:0001751; GO:0001752; GO:0003677; GO:0005634; GO:0006355; GO:0007601; GO:0007605; GO:0009649; GO:0010114; GO:0035271; GO:0043153; GO:0045944; GO:0046530; GO:0046872; GO:0060086"
"Q6WV19"	"PGEN_.00g201390"	4.16950690483677e-20	371	633	475	"sp|Q6WV19|GALT2_DROME"	294	559	1.14e-50	37.868	272	"GALT2_DROME"	"Polypeptide N-acetylgalactosaminyltransferase 2 (pp-GaNTase 2) (EC 2.4.1.41) (Protein-UDP acetylgalactosaminyltransferase 2) (UDP-GalNAc:polypeptide N-acetylgalactosaminyltransferase 2)"	"Pgant2 CG3254"	"Drosophila melanogaster (Fruit fly)"	"GO:0000139; GO:0004653; GO:0005794; GO:0005795; GO:0006486; GO:0009312; GO:0016021; GO:0030246; GO:0046872"
NA	"PGEN_.00g299840"	4.86076650924282e-20	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Q86UB9"	"PGEN_.00g068950"	6.09739178182803e-20	38	450	835	"sp|Q86UB9|TM135_HUMAN"	28	409	4.85e-107	42.926	417	"TM135_HUMAN"	"Transmembrane protein 135 (Peroxisomal membrane protein 52) (PMP52)"	"TMEM135"	"Homo sapiens (Human)"	"GO:0005777; GO:0005778; GO:0005811; GO:0007031; GO:0009409; GO:0016021; GO:0031966; GO:0032094; GO:0090140"
NA	"PGEN_.00g294360"	1.55942079473501e-19	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Q5XPI4"	"PGEN_.00g216290"	1.56551692080345e-19	745	1300	1198	"sp|Q5XPI4|RN123_HUMAN"	169	684	1.28e-147	40.82	561	"RN123_HUMAN"	"E3 ubiquitin-protein ligase RNF123 (EC 2.3.2.27) (Kip1 ubiquitination-promoting complex protein 1) (RING finger protein 123) (RING-type E3 ubiquitin transferase RNF123)"	"RNF123 KPC1 FP1477"	"Homo sapiens (Human)"	"GO:0004842; GO:0005737; GO:0005829; GO:0016579; GO:0031965; GO:0046872; GO:0051603"
NA	"PGEN_.00g316050"	2.37463116745763e-19	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"PGEN_.00g210020"	5.61693264619856e-19	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"PGEN_.00g295480"	1.89124305172689e-18	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"P61315"	"PGEN_.00g134400"	2.15854749325072e-18	66	399	329	"sp|P61315|G3ST3_MOUSE"	93	408	9.67e-33	30.484	351	"G3ST3_MOUSE"	"Galactose-3-O-sulfotransferase 3 (Gal3ST-3) (EC 2.8.2.-) (Beta-galactose-3-O-sulfotransferase 3) (Gal-beta-1, 3-GalNAc 3'-sulfotransferase 3)"	"Gal3st3"	"Mus musculus (Mouse)"	"GO:0001733; GO:0009247; GO:0016021; GO:0032580; GO:0050694"
