"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","reason","matches","identifier","name","namespace","description","class"
"68","GO:0008670",0.0455163637645436,1,1,1,NA,NA,"MATCH",1,"GO:0008670","2,4-dienoyl-CoA reductase (NADPH) activity","MF","Catalysis of the reaction: trans-2,3-didehydroacyl-CoA + NADP+ = trans,trans-2,3,4,5-tetradehydroacyl-CoA + NADPH + H+.","GOTerm"
"90","GO:0015165",0.0493778610315132,1,1,1,NA,NA,"MATCH",1,"GO:0015165","pyrimidine nucleotide-sugar transmembrane transporter activity","MF","Enables the transfer of a pyrimidine nucleotide-sugar from one side of a membrane to the other. Pyrimidine nucleotide-sugars are pyrimidine nucleotides in glycosidic linkage with a monosaccharide or monosaccharide derivative.","GOTerm"
"92","GO:0015292",0.0495199232892138,1,1,1,NA,NA,"MATCH",1,"GO:0015292","uniporter activity","MF","Catalysis of the transport of a single molecular species across a membrane; transport is independent of the movement of any other molecular species.","GOTerm"
"97","GO:0016297",0.045201508921467,1,1,1,NA,NA,"MATCH",1,"GO:0016297","acyl-[acyl-carrier-protein] hydrolase activity","MF","Catalysis of the reaction: acyl-[acyl-carrier protein] + H2O = [acyl-carrier protein] + a fatty acid.","GOTerm"
"100","GO:0016790",0.0466329528409623,1,1,1,"thiolester hydrolase activity","MF","MATCH",1,"GO:0016790","thiolester hydrolase activity","MF","Catalysis of the reaction: RCO-SR' + H2O = RCOOH + HSR'. This reaction is the hydrolysis of a thiolester bond, an ester formed from a carboxylic acid and a thiol (i.e., RCO-SR'), such as that found in acetyl-coenzyme A.","GOTerm"
"103","GO:0019783",0.0455379503878717,1,1,1,NA,NA,"MATCH",1,"GO:0019783","ubiquitin-like protein-specific protease activity","MF","Catalysis of the hydrolysis of peptide or isopeptide bonds within small proteins such as ubiquitin or ubiquitin-like proteins (e.g. APG8, ISG15, NEDD8, SUMO), or between the small protein and a larger protein to which it has been conjugated.","GOTerm"
"118","GO:0032027",0.0493796516539536,1,1,1,NA,NA,"MATCH",1,"GO:0032027","myosin light chain binding","MF","Interacting selectively and non-covalently with a light chain of a myosin complex.","GOTerm"
"124","GO:0032795",0.0452577622777152,1,1,1,NA,NA,"MATCH",1,"GO:0032795","heterotrimeric G-protein binding","MF","Interacting selectively and non-covalently with a heterotrimeric G-protein.","GOTerm"
"186","GO:0047186",0.0472161937812214,1,1,1,NA,NA,"MATCH",1,"GO:0047186","N-acetylneuraminate 7-O(or 9-O)-acetyltransferase activity","MF","Catalysis of the reaction: N-acetylneuraminate + acetyl-CoA = N-acetyl-7-O(or 9-O)-acetylneuraminate + CoA.","GOTerm"
"187","GO:0047381",0.045201508921467,1,1,1,NA,NA,"MATCH",1,"GO:0047381","dodecanoyl-[acyl-carrier-protein] hydrolase activity","MF","Catalysis of the reaction: H2O + dodecanoyl-[acyl-carrier protein] = dodecanoate + [acyl-carrier protein].","GOTerm"
"188","GO:0047442",0.0493630439655286,1,1,1,NA,NA,"MATCH",1,"GO:0047442","17-alpha-hydroxyprogesterone aldolase activity","MF","Catalysis of the reaction: 17-alpha-hydroxyprogesterone = acetaldehyde + 4-androstene-3,17-dione.","GOTerm"
"199","GO:0050188",0.0484670367275842,1,1,1,NA,NA,"MATCH",1,"GO:0050188","phosphoenolpyruvate mutase activity","MF","Catalysis of the reaction: phosphoenolpyruvate = 3-phosphonopyruvate.","GOTerm"
"200","GO:0050358",0.0491066916856203,1,1,1,NA,NA,"MATCH",1,"GO:0050358","tropinone reductase activity","MF","Catalysis of the reaction: NADP(+) + pseudotropine = H(+) + NADPH + tropinone.","GOTerm"
"243","GO:0070224",0.0471410371464165,1,1,1,NA,NA,"MATCH",1,"GO:0070224","sulfide:quinone oxidoreductase activity","MF","Catalysis of the reaction: hydrogen sulfide + a quinone = S0 + a hydroquinone.","GOTerm"
"249","GO:0070551",0.0464519523481748,1,1,1,NA,NA,"MATCH",1,"GO:0070551","endoribonuclease activity, cleaving siRNA-paired mRNA","MF","Catalysis of the endonucleolytic cleavage of the mRNA in a double-stranded RNA molecule formed by the base pairing of an mRNA with an siRNA, yielding 5'-phosphomonoesters.","GOTerm"
"250","GO:0070579",0.0460345291595944,1,1,1,NA,NA,"MATCH",1,"GO:0070579","methylcytosine dioxygenase activity","MF","Catalysis of the reaction: methylcytosine + 2-oxoglutarate + O2 = 5-hydroxymethylcytosine + succinate + CO2.","GOTerm"
"273","GO:0086056",0.0452375172417794,1,1,1,NA,NA,"MATCH",1,"GO:0086056","voltage-gated calcium channel activity involved in AV node cell action potential","MF","Enables the transmembrane transfer of a calcium ion by a voltage-gated channel across the plasma membrane of an AV node cardiac muscle cell that contributes to the depolarization phase of an action potential. A voltage-gated channel is a channel whose open state is dependent on the voltage across the membrane in which it is embedded.","GOTerm"
"279","GO:0090624",0.0464519523481748,1,1,1,NA,NA,"MATCH",1,"GO:0090624","endoribonuclease activity, cleaving miRNA-paired mRNA","MF","Catalysis of the endonucleolytic cleavage of the mRNA in a double-stranded RNA molecule formed by the base pairing of an mRNA with an miRNA.","GOTerm"
"291","GO:0099635",0.0452375172417794,1,1,1,NA,NA,"MATCH",1,"GO:0099635","voltage-gated calcium channel activity involved in positive regulation of presynaptic cytosolic calcium levels","MF","Positive regulation of presynaptic cytosolic calcium ion concentrations via the directed movement of calcium ions across the plasma-membrane into the cytosol via the action of voltage-gated calcium ion channels.  This is the first step in synaptic transmission","GOTerm"
"292","GO:0102043",0.0497296892347847,1,1,1,NA,NA,"MATCH",1,"GO:0102043","isopentenyl phosphate kinase activity","MF","Catalysis of the reaction: isopentenyl phosphate(2-) + ATP(4-) <=> isopentenyl diphosphate(3-) + ADP(3-)","GOTerm"
"293","GO:0103053",0.0460345291595944,1,1,1,NA,NA,"MATCH",1,"GO:0103053","1-ethyladenine demethylase activity","MF","Catalysis of the reaction: 1-ethyladenine + O2 + 2-oxoglutarate(2-) <=> adenine + carbon dioxide + acetaldehyde + succinate","GOTerm"
"303","GO:1902379",0.045566954750469,1,1,1,NA,NA,"MATCH",1,"GO:1902379","chemoattractant activity involved in axon guidance","MF","Any chemoattractant activity that is involved in axon guidance.","GOTerm"
"321","GO:1990599",0.0476329613583147,1,1,1,NA,NA,"MATCH",1,"GO:1990599","3' overhang single-stranded DNA endodeoxyribonuclease activity","MF","Catalysis of the hydrolysis of ester linkages within 3' overhang single-stranded deoxyribonucleic acid by creating internal breaks.","GOTerm"
"324","GO:1990984",0.0460345291595944,1,1,1,NA,NA,"MATCH",1,"GO:1990984","tRNA demethylase activity","MF","Catalysis of the removal of a methyl group from one or more positions within a tRNA molecule.","GOTerm"
