"","GO.IDs","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","GO.Term","GO.Slim.Term","Cat"
"26","GO:0048026",0.0222570802921185,0.997333035306876,3,12,"positive regulation of mRNA splicing, via spliceosome","BP","positive regulation of nuclear mRNA splicing, via spliceosome","RNA metabolism","P"
"27","GO:0060070",0.000102541382412675,0.999985268069908,9,28,"canonical Wnt signaling pathway","BP","Wnt receptor signaling pathway through beta-catenin","signal transduction","P"
"28","GO:0016055",0.000386911007199896,0.99987570231695,17,93,"Wnt signaling pathway","BP","Wnt receptor signaling pathway","signal transduction","P"
"29","GO:0030514",0.0214377383803927,0.994342486694792,6,33,"negative regulation of BMP signaling pathway","BP","negative regulation of BMP signaling pathway","signal transduction","P"
"30","GO:0035024",0.0276744318306049,0.996654387781201,3,9,"negative regulation of Rho protein signal transduction","BP","negative regulation of Rho protein signal transduction","signal transduction","P"
"31","GO:0030048",0.0434882545848694,0.993957961104903,3,8,"actin filament-based movement","BP","actin filament-based movement","transport","P"
"32","GO:0051028",0.0471208246405829,0.984687270610234,6,43,"mRNA transport","BP","mRNA transport","transport","P"
"33","GO:0072383",0.00214008319653098,0.999846003494523,4,9,"plus-end-directed vesicle transport along microtubule","BP",NA,NA,NA
"34","GO:0071300",0.0173620719400521,0.997409362556406,4,12,"cellular response to retinoic acid","BP",NA,NA,NA
"35","GO:1903204",0.0204358502120296,0.997896536883405,3,8,"negative regulation of oxidative stress-induced neuron death","BP",NA,NA,NA
"36","GO:0090090",0.0276874442170529,0.991184671749498,7,46,"negative regulation of canonical Wnt signaling pathway","BP",NA,NA,NA
"37","GO:0035815",0.0466880023153214,0.996143681539139,2,6,"positive regulation of renal sodium excretion","BP",NA,NA,NA
"38","GO:0045298",0.032333157901349,0.997819777768778,2,6,"tubulin complex","CC","tubulin complex","cytoskeleton","C"
"39","GO:0031985",0.00714292256104023,0.999148152937605,4,14,"Golgi cisterna","CC","Golgi cisterna","ER/Golgi","C"
"40","GO:0000124",0.0121846916519819,0.998924711733277,3,9,"SAGA complex","CC","SAGA complex","nucleus","C"
"41","GO:0005643",0.0160410156819149,0.99602319604245,6,34,"nuclear pore","CC","nuclear pore","nucleus","C"
"42","GO:0097149",0.0079254189787189,0.999404050990738,3,9,"centralspindlin complex","CC",NA,NA,NA
"43","GO:0097381",0.0127421120902966,0.998856446321793,3,9,"photoreceptor disc membrane","CC",NA,NA,NA
"44","GO:0099524",0.0473861026146554,0.996053449512272,2,6,"postsynaptic cytosol","CC",NA,NA,NA
"45","GO:0004672",0.0401874384979477,0.980093679427237,14,116,"protein kinase activity","MF","protein kinase activity","kinase activity","F"
"46","GO:0050694",0.00087792353437894,0.999948080255612,4,10,"galactose 3-O-sulfotransferase activity","MF","galactose 3-O-sulfotransferase activity","other molecular function","F"
"47","GO:0001733",0.00283377176265956,0.999745549292042,4,13,"galactosylceramide sulfotransferase activity","MF","galactosylceramide sulfotransferase activity","other molecular function","F"
"48","GO:0001537",0.0178190485275615,0.998077294328615,3,11,"N-acetylgalactosamine 4-O-sulfotransferase activity","MF","N-acetylgalactosamine 4-O-sulfotransferase activity","other molecular function","F"
"49","GO:0051219",0.0196391999189372,0.996830551017249,4,14,"phosphoprotein binding","MF","phosphoprotein binding","other molecular function","F"
"50","GO:0004518",0.0213698799941792,0.995108811908985,5,33,"nuclease activity","MF","nuclease activity","other molecular function","F"
"51","GO:0008094",0.0346373394291668,0.994991128603619,3,13,"DNA-dependent ATPase activity","MF","DNA-dependent ATPase activity","other molecular function","F"
"52","GO:0017147",0.0469359419006942,0.989533252485555,4,18,"Wnt-protein binding","MF","Wnt-protein binding","other molecular function","F"
"53","GO:0042813",0.0213068281076623,0.996473760275838,4,14,"Wnt-activated receptor activity","MF","Wnt receptor activity","signal transduction activity","F"
"54","GO:0005109",0.0463363041248029,0.989710257431864,4,18,"frizzled binding","MF","frizzled binding","signal transduction activity","F"
"55","GO:0048037",0.0430791493019475,0.99659761715,2,6,NA,NA,"cofactor binding","other molecular function","F"
"56","GO:0072358",0.0305889460964619,0.996030585464289,3,10,NA,NA,NA,NA,NA
